Time,root.GunPointMaleVersusFemale.d0.s0
224,359.54167
225,416.5
226,427.33168
227,433.79821
228,442.32474
229,459.37558
230,479.89645
231,500.68721
232,518.26656
233,530.37883
234,535.40371
235,539.72811
236,541.60495
237,541.19037
238,542.39235
239,543.81374
240,544.28021
241,544.36237
242,544.49947
243,544.5911
244,544.58725
245,544.42279
246,544.375
247,545.62541
248,544.70403
249,544.53905
250,543.68527
251,544.31466
252,543.93555
253,540.65632
254,538.37411
255,532.59487
256,524.03989
257,511.91458
258,498.43658
259,484.68468
260,471.27011
261,457.84871
262,447.63993
263,437.8266
264,423.26712
265,416.86503
266,409.95522
267,388.48795
268,370.68792
269,354.0245
270,337.74203
271,326.7301
272,317.17806
273,309.54379
274,302.66517
275,298.4368
276,295.811
277,294.57119
278,294.31869
279,294.98981
280,295.70915
281,296.12708
282,296.91852
283,297.38063
284,298.48473
285,299.67066
286,300.81097
287,302.26324
288,303.46784
289,304.32588
290,304.77828
291,305.11117
292,305.33183
293,305.93211
294,306.57778
295,307.56319
296,308.37633
297,309.2716
298,309.868
299,310.39643
300,936.26004
301,936.22066
302,936.19012
303,936.07046
304,935.8909
305,935.76257
306,935.64421
307,935.56356
308,935.50514
309,936.81343
310,943.44504
311,959.87059
312,986.08665
313,1020.4415
314,1063.0495
315,1104.8207
316,1143.5775
317,1177.5658
318,1208.1023
319,1235.588
320,1261.5108
321,1283.6187
322,1303.7996
323,1325.5509
324,1343.3911
325,1358.6818
326,1371.3639
327,1381.6958
328,1388.3162
329,1392.48
330,1393.647
331,1393.6685
332,1394.017
333,1394.654
334,1395.5963
335,1396.9623
336,1397.539
337,1396.7801
338,1394.996
339,1389.5801
340,1379.536
341,1363.5741
342,1341.2042
343,1314.3117
344,1284.9411
345,1255.7506
346,1228.2581
347,1203.6892
348,1183.5664
349,1166.1791
350,1149.4379
351,1130.7681
352,1110.0283
353,1087.5731
354,1064.1001
355,1040.4504
356,1016.0328
357,990.65075
358,966.95098
359,944.47904
360,925.14948
361,915.98431
362,915.54779
363,917.7066
364,919.3361
365,919.90772
366,920.11295
367,920.3815
368,920.76429
369,921.20647
370,921.71813
371,922.31563
372,922.86837
373,923.50132
374,924.06119
375,924.3816
376,924.59454
377,924.68289
378,924.65853
379,924.5435
380,924.24645
381,924.24357
382,924.20865
383,924.13978
384,924.08066
385,923.92964
386,923.67012
387,923.25384
388,922.99353
389,922.93514
390,922.79186
391,922.80888
392,923.19022
393,923.42613
394,923.67786
395,923.84505
396,923.90333
397,923.91986
398,923.9386
399,923.88759
400,923.71518
401,923.44223
402,923.13542
403,922.69815
404,922.35684
405,922.0
406,921.52776
407,921.0151
408,920.6516
409,920.03897
410,919.53036
411,918.94134
412,918.20367
413,917.55779
414,916.92822
415,916.27445
416,915.6543
417,915.26941
418,914.89765
419,914.75957
420,914.66184
421,914.67473
422,914.50132
423,914.3354
424,914.2549
425,914.27089
426,914.3946
427,914.59065
428,914.79363
429,914.89631
430,914.96761
431,915.08746
432,915.17163
433,915.24658
434,915.26467
435,915.25355
436,915.21725
437,915.05374
438,914.88365
439,914.70205
440,914.58678
441,914.36198
442,914.10643
443,913.86207
444,913.71484
445,913.54626
446,913.36486
447,913.2369
448,913.10565
449,913.0082
450,321.98813
451,321.90856
452,321.92405
453,321.87417
454,321.78143
455,321.88815
456,322.04407
457,322.01882
458,322.08852
459,322.24624
460,322.11211
461,322.28039
462,322.50082
463,322.57951
464,322.57096
465,322.6536
466,322.65576
467,322.69704
468,322.57426
469,322.56683
470,322.46343
471,322.56329
472,322.22976
473,322.3916
474,322.2799
475,322.17459
476,322.05441
477,322.0749
478,322.06843
479,322.1841
480,321.98871
481,322.0
482,321.92314
483,321.75499
484,321.81774
485,321.86776
486,321.89557
487,321.6846
488,321.6119
489,321.65177
490,321.49916
491,321.40534
492,321.30333
493,321.23886
494,321.26891
495,322.7598
496,327.10718
497,335.90887
498,355.69565
499,386.07143
500,386.07143
501,386.07143
502,386.07143
503,448.8024
504,461.45437
505,474.784
506,489.75486
507,505.70467
508,521.75937
509,530.4937
510,535.25764
511,535.55214
512,537.70729
513,537.81521
514,538.48605
515,539.48995
516,540.45616
517,540.43925
518,540.35737
519,539.74551
520,540.57585
521,540.63191
522,541.17831
523,540.56797
524,540.90466
525,540.87734
526,540.82256
527,540.90965
528,540.63963
529,540.14826
530,539.90329
531,539.85109
532,539.23134
533,538.29127
534,537.21091
535,535.25346
536,531.8
537,527.03218
538,518.94843
539,508.37813
540,495.58603
541,484.50551
542,474.00732
543,464.76761
544,455.62791
545,446.35529
546,436.80592
547,424.48352
548,407.93363
549,389.2339
550,366.66478
551,349.20513
552,333.89241
553,322.57155
554,313.30696
555,305.88756
556,299.83179
557,297.36515
558,296.79877
559,296.91835
560,298.15743
561,300.62989
562,302.58465
563,304.31422
564,305.95235
565,306.93488
566,308.05996
567,309.0155
568,309.48743
569,309.85843
570,310.43671
571,310.45542
572,311.01478
573,310.95401
574,310.92972
575,310.73227
576,311.06846
577,311.14133
578,311.32905
579,311.54081
580,311.6542
581,311.94425
582,312.00772
583,312.31223
584,312.35063
585,312.38434
586,312.49082
587,312.48227
588,312.41619
589,312.59368
590,312.58638
591,312.55524
592,312.53986
593,312.51977
594,312.58941
595,312.57613
596,312.5573
597,312.64796
598,312.66404
599,312.5665
600,249.09707
601,248.60723
602,248.90619
603,249.54671
604,250.06503
605,250.95534
606,252.61824
607,254.01473
608,255.2286
609,255.938
610,256.60606
611,257.01092
612,258.00464
613,258.90238
614,260.34039
615,261.78144
616,262.28474
617,262.47211
618,261.73337
619,260.22082
620,259.09702
621,258.25314
622,258.16349
623,258.50578
624,259.75664
625,260.45749
626,261.76618
627,264.35771
628,265.65589
629,265.19943
630,264.97296
631,265.43137
632,267.78963
633,271.0087
634,274.77697
635,279.43104
636,282.33531
637,283.87205
638,285.92944
639,288.98093
640,295.20321
641,306.00972
642,321.92816
643,336.75381
644,358.0
645,381.48276
646,407.55319
647,424.08696
648,441.63593
649,460.52546
650,479.11409
651,495.65798
652,510.84014
653,519.93495
654,525.18506
655,526.72879
656,527.79598
657,527.74214
658,527.02023
659,526.86164
660,526.95824
661,526.49732
662,525.81881
663,525.5885
664,525.73565
665,525.54642
666,525.42637
667,524.61598
668,523.9907
669,522.04215
670,517.58185
671,509.27302
672,496.39833
673,480.23758
674,462.64635
675,442.94363
676,423.64187
677,405.31602
678,386.75183
679,371.66137
680,356.16132
681,341.16455
682,330.35709
683,319.48467
684,310.53836
685,305.37796
686,301.60586
687,299.10911
688,297.36507
689,295.8964
690,295.87786
691,295.38581
692,295.00203
693,294.34926
694,293.60026
695,292.94763
696,291.9695
697,291.7948
698,291.6005
699,291.94488
700,291.90215
701,291.06235
702,290.03332
703,289.01237
704,286.83429
705,282.90185
706,278.05192
707,273.10294
708,269.46346
709,267.42296
710,266.85573
711,266.98337
712,267.42319
713,267.20265
714,266.85237
715,266.81804
716,266.89703
717,267.19115
718,267.48608
719,268.335
720,269.34929
721,269.62757
722,270.43164
723,271.36114
724,272.08532
725,272.31399
726,272.42375
727,272.46225
728,272.40031
729,272.42775
730,272.14857
731,271.73551
732,271.5983
733,271.20909
734,271.03233
735,270.89836
736,270.69383
737,270.83054
738,270.83026
739,270.87487
740,270.96588
741,270.97912
742,271.09995
743,271.22332
744,271.31858
745,271.32767
746,271.30297
747,271.09043
748,271.08534
749,270.81828
750,295.12416
751,295.01498
752,294.77358
753,294.88675
754,294.86472
755,294.71577
756,294.23613
757,293.54507
758,292.90861
759,292.57969
760,292.41226
761,292.07864
762,291.59105
763,291.24564
764,290.21718
765,289.27582
766,288.04734
767,287.10397
768,286.3342
769,285.70494
770,285.6487
771,285.55431
772,285.5989
773,285.63273
774,285.89676
775,285.85284
776,286.15034
777,286.5111
778,286.51277
779,286.87506
780,287.17951
781,287.80652
782,289.21202
783,292.02508
784,297.2457
785,306.17607
786,315.33641
787,326.87908
788,335.696
789,335.696
790,335.696
791,397.54348
792,422.36007
793,434.07417
794,445.72594
795,457.65728
796,472.62074
797,489.22963
798,503.99096
799,518.62465
800,526.09665
801,529.66133
802,531.00551
803,532.96167
804,534.22441
805,534.52519
806,535.25203
807,535.9694
808,536.84263
809,536.89873
810,537.1805
811,537.37368
812,536.575
813,537.03257
814,537.74881
815,537.14836
816,536.69761
817,535.02941
818,533.11438
819,529.63187
820,524.33031
821,516.71776
822,508.31789
823,497.00131
824,485.50608
825,474.37667
826,463.00112
827,453.28329
828,442.87857
829,430.21024
830,420.44769
831,409.0
832,399.51
833,380.24031
834,354.22222
835,335.62828
836,320.66267
837,308.27662
838,293.59825
839,281.43622
840,274.34833
841,271.29215
842,270.89533
843,271.57094
844,273.10812
845,274.8142
846,276.55467
847,278.45882
848,280.48954
849,282.90743
850,283.83685
851,284.26244
852,284.31063
853,284.41333
854,284.37668
855,284.29906
856,284.13181
857,284.21451
858,284.25443
859,284.20534
860,284.06716
861,283.92793
862,283.72973
863,283.39806
864,283.10043
865,282.74905
866,282.46757
867,281.82443
868,281.70754
869,281.34802
870,281.05127
871,280.30184
872,280.18906
873,279.86329
874,279.65931
875,279.42532
876,279.35654
877,279.1421
878,278.95666
879,279.03337
880,278.84339
881,278.74706
882,278.84939
883,278.73566
884,278.7401
885,278.86227
886,278.99536
887,279.3178
888,279.51994
889,279.61662
890,280.17263
891,280.18916
892,280.57555
893,280.8347
894,281.1725
895,281.60438
896,282.07047
897,282.49188
898,282.5029
899,282.54603
900,330.39342
901,330.19952
902,330.1645
903,330.25322
904,330.22258
905,330.40163
906,330.47481
907,330.44499
908,330.53234
909,330.68498
910,330.73159
911,330.67159
912,330.61052
913,330.77759
914,330.8366
915,330.85278
916,331.17371
917,331.56384
918,332.0675
919,332.63486
920,333.18691
921,334.44693
922,334.71154
923,335.05141
924,335.24821
925,335.53785
926,335.98962
927,336.15
928,336.23616
929,336.39078
930,336.66967
931,336.64122
932,336.56966
933,336.68204
934,336.77181
935,336.71358
936,336.60248
937,336.50448
938,336.3371
939,336.16813
940,335.71302
941,335.50518
942,335.56082
943,336.79677
944,341.11424
945,349.2837
946,363.74627
947,382.49771
948,412.45714
949,428.58333
950,438.53901
951,448.82488
952,459.75713
953,470.58104
954,482.43266
955,496.46242
956,511.31178
957,524.21865
958,532.00298
959,535.95788
960,537.91063
961,539.20699
962,539.95455
963,540.09091
964,540.59307
965,541.51587
966,541.56136
967,542.08991
968,542.77455
969,543.34591
970,543.13964
971,543.19465
972,543.43066
973,543.66
974,543.63694
975,543.74074
976,544.26434
977,544.1168
978,543.7195
979,543.78324
980,543.92252
981,543.83729
982,543.59726
983,542.40073
984,539.83059
985,536.44424
986,530.98392
987,522.5919
988,510.36784
989,497.59628
990,485.04167
991,473.39826
992,462.79456
993,454.0034
994,443.82969
995,432.01767
996,421.06911
997,401.62366
998,376.80103
999,355.34085
1000,337.02941
1001,321.60808
1002,310.52694
1003,304.26963
1004,301.02228
1005,300.03604
1006,300.10334
1007,300.96078
1008,301.86109
1009,303.02599
1010,303.88943
1011,304.50621
1012,304.71419
1013,305.04681
1014,305.31941
1015,305.47527
1016,305.81216
1017,306.36729
1018,307.05007
1019,308.12214
1020,308.70977
1021,309.11565
1022,309.41231
1023,309.3905
1024,309.46914
1025,309.6993
1026,309.7624
1027,309.63912
1028,309.66086
1029,309.59351
1030,309.58091
1031,309.47799
1032,309.32329
1033,309.20459
1034,309.32476
1035,309.39508
1036,309.75221
1037,309.93405
1038,310.33245
1039,310.54794
1040,310.68938
1041,310.95759
1042,311.17632
1043,311.19327
1044,311.25134
1045,311.18903
1046,311.05988
1047,310.93717
1048,310.99197
1049,311.2634
1050,913.70876
1051,913.81401
1052,913.90052
1053,914.11799
1054,914.29993
1055,914.4133
1056,914.54548
1057,914.81119
1058,915.13271
1059,915.28111
1060,915.327
1061,915.74279
1062,918.95353
1063,929.18642
1064,949.90498
1065,977.72525
1066,1011.0808
1067,1049.1233
1068,1087.3364
1069,1123.1658
1070,1155.7165
1071,1185.3483
1072,1213.8624
1073,1240.7776
1074,1265.9578
1075,1290.3063
1076,1314.3753
1077,1334.7091
1078,1351.6367
1079,1365.796
1080,1377.5132
1081,1387.3735
1082,1394.0257
1083,1399.1107
1084,1398.9488
1085,1398.3151
1086,1398.141
1087,1397.8862
1088,1397.9642
1089,1398.1711
1090,1398.2915
1091,1397.8585
1092,1397.2539
1093,1396.9903
1094,1396.4541
1095,1395.2999
1096,1392.2341
1097,1384.8267
1098,1371.2231
1099,1352.6976
1100,1329.4521
1101,1302.5617
1102,1273.6818
1103,1244.6627
1104,1216.6558
1105,1192.2922
1106,1171.9372
1107,1154.008
1108,1138.3509
1109,1121.2417
1110,1102.8498
1111,1083.7936
1112,1064.4471
1113,1045.7789
1114,1027.8329
1115,1010.195
1116,991.38056
1117,972.65874
1118,952.69033
1119,932.22973
1120,914.79669
1121,905.84203
1122,904.45957
1123,906.32193
1124,909.36985
1125,911.26083
1126,911.73817
1127,912.10391
1128,912.86764
1129,913.74592
1130,914.58348
1131,915.273
1132,915.85098
1133,916.11787
1134,916.32446
1135,916.65167
1136,917.0776
1137,917.61205
1138,918.28831
1139,918.66153
1140,918.8923
1141,918.94455
1142,918.85839
1143,918.70196
1144,918.53898
1145,918.36338
1146,918.13583
1147,918.04206
1148,917.91553
1149,917.80043
1150,917.71916
1151,917.53311
1152,917.24772
1153,916.90642
1154,916.679
1155,916.45819
1156,916.39911
1157,916.42568
1158,916.43772
1159,916.62517
1160,916.73337
1161,916.82622
1162,917.05524
1163,917.34004
1164,917.57781
1165,917.95845
1166,918.35109
1167,918.6358
1168,918.84465
1169,919.07024
1170,919.22662
1171,919.37234
1172,919.51129
1173,919.57334
1174,919.62742
1175,919.68891
1176,919.71879
1177,919.80178
1178,919.94285
1179,920.02761
1180,920.12007
1181,920.20712
1182,920.3287
1183,920.4486
1184,920.57867
1185,920.81255
1186,921.05331
1187,921.3401
1188,921.71745
1189,922.1738
1190,922.569
1191,922.83915
1192,922.99906
1193,923.21522
1194,923.25741
1195,923.19958
1196,923.11058
1197,923.11303
1198,923.10591
1199,923.1321
1200,334.72563
1201,334.75607
1202,334.73944
1203,334.82653
1204,334.69007
1205,334.54928
1206,334.29816
1207,334.16301
1208,333.66429
1209,333.31963
1210,333.38405
1211,333.05584
1212,332.99175
1213,333.07508
1214,333.17544
1215,333.07305
1216,333.42396
1217,333.1838
1218,333.28229
1219,333.19167
1220,333.18314
1221,333.08727
1222,333.29908
1223,333.14536
1224,333.13061
1225,333.11043
1226,333.01301
1227,332.85085
1228,333.27812
1229,333.06014
1230,333.01316
1231,333.19339
1232,332.95692
1233,332.92371
1234,332.56231
1235,332.63858
1236,332.36831
1237,332.52462
1238,332.47453
1239,332.429
1240,332.49598
1241,332.47337
1242,332.40533
1243,333.32473
1244,336.46918
1245,343.37433
1246,358.10463
1247,377.74176
1248,377.74176
1249,377.74176
1250,377.74176
1251,445.22378
1252,463.56213
1253,475.37433
1254,491.22344
1255,505.55157
1256,519.93983
1257,530.68868
1258,538.71514
1259,543.06603
1260,545.67576
1261,544.3664
1262,546.21688
1263,547.1097
1264,547.5166
1265,547.42612
1266,547.83624
1267,547.86842
1268,548.01263
1269,546.95238
1270,547.99023
1271,547.88035
1272,547.02461
1273,548.27234
1274,548.125
1275,548.65638
1276,546.40217
1277,547.57445
1278,546.34457
1279,546.51146
1280,546.22786
1281,545.28366
1282,542.49943
1283,537.56884
1284,530.43775
1285,520.0503
1286,508.10405
1287,495.88905
1288,484.95225
1289,474.26877
1290,464.63428
1291,454.77913
1292,444.35294
1293,438.5
1294,427.23558
1295,410.43119
1296,396.62295
1297,384.12617
1298,371.28882
1299,358.13622
1300,346.22788
1301,336.1367
1302,328.96654
1303,324.09464
1304,322.00642
1305,322.23293
1306,324.30409
1307,326.68726
1308,328.91618
1309,331.13199
1310,332.78911
1311,333.33181
1312,334.02186
1313,334.5148
1314,334.9817
1315,336.0268
1316,337.45125
1317,339.11233
1318,340.92974
1319,342.45046
1320,343.7945
1321,344.69727
1322,345.29496
1323,345.39331
1324,345.55263
1325,345.36364
1326,345.35847
1327,345.51662
1328,345.79027
1329,346.36116
1330,347.49376
1331,348.65744
1332,349.27664
1333,349.72816
1334,350.11646
1335,350.20284
1336,350.23546
1337,350.00671
1338,349.78618
1339,349.38749
1340,349.52486
1341,349.34995
1342,349.37912
1343,349.29445
1344,349.2783
1345,349.30979
1346,348.96168
1347,348.26438
1348,346.99723
1349,346.17834
1350,269.01868
1351,269.44242
1352,269.70388
1353,270.04886
1354,270.91748
1355,271.63724
1356,272.84702
1357,274.63922
1358,276.56728
1359,278.51605
1360,280.77719
1361,282.74103
1362,284.27746
1363,285.72631
1364,286.75882
1365,287.50967
1366,288.28737
1367,288.51143
1368,289.02674
1369,289.75388
1370,289.42485
1371,288.74722
1372,288.13474
1373,286.90765
1374,284.57062
1375,282.3956
1376,279.36982
1377,276.80898
1378,275.44833
1379,276.91298
1380,279.88455
1381,283.70106
1382,287.94277
1383,289.73065
1384,291.79738
1385,295.42382
1386,300.61495
1387,309.79041
1388,322.08114
1389,337.52834
1390,359.90068
1391,380.2045
1392,398.49682
1393,415.65492
1394,433.22024
1395,450.82139
1396,470.45
1397,489.2233
1398,509.43952
1399,521.60973
1400,526.37099
1401,529.09249
1402,530.30233
1403,531.194
1404,531.50291
1405,531.88516
1406,532.35511
1407,532.81286
1408,533.1495
1409,533.73404
1410,533.56579
1411,533.62542
1412,533.61157
1413,533.27732
1414,533.09701
1415,532.30937
1416,530.07686
1417,525.45038
1418,515.03175
1419,503.1798
1420,486.65498
1421,468.92351
1422,448.63138
1423,428.00652
1424,407.78297
1425,389.1854
1426,369.71922
1427,353.64013
1428,336.97083
1429,325.15125
1430,314.37775
1431,306.15747
1432,299.176
1433,294.69546
1434,291.65034
1435,289.21558
1436,287.19312
1437,285.8236
1438,284.93412
1439,283.83578
1440,283.12007
1441,282.79284
1442,282.17114
1443,282.0024
1444,281.53771
1445,280.56967
1446,279.96562
1447,280.18055
1448,282.46305
1449,284.79543
1450,287.51847
1451,289.85503
1452,290.22009
1453,290.05979
1454,287.81721
1455,284.64461
1456,279.94936
1457,273.52678
1458,267.05537
1459,262.88673
1460,261.33979
1461,260.76709
1462,261.18197
1463,261.88065
1464,262.55699
1465,263.34698
1466,263.70761
1467,263.6691
1468,263.6823
1469,263.61542
1470,263.50609
1471,263.32501
1472,262.844
1473,262.32396
1474,261.86088
1475,261.16297
1476,260.43315
1477,259.98966
1478,259.70055
1479,259.43663
1480,259.17068
1481,259.22947
1482,259.2589
1483,259.13014
1484,259.07161
1485,259.23762
1486,259.53596
1487,259.89342
1488,260.86297
1489,261.85858
1490,262.55664
1491,263.54341
1492,264.20046
1493,264.18627
1494,264.36249
1495,264.53383
1496,264.28859
1497,264.3385
1498,264.36019
1499,264.55634
1500,917.07556
1501,917.02856
1502,916.92716
1503,916.87246
1504,916.83784
1505,916.53233
1506,916.2676
1507,916.02326
1508,916.00595
1509,915.66237
1510,915.50157
1511,915.46537
1512,915.44036
1513,915.62532
1514,916.54709
1515,920.2469
1516,930.09703
1517,951.04295
1518,979.8037
1519,1013.544
1520,1051.9218
1521,1090.7755
1522,1126.8629
1523,1158.763
1524,1187.8124
1525,1215.0029
1526,1238.8992
1527,1261.8007
1528,1285.3841
1529,1307.89
1530,1328.8224
1531,1347.7769
1532,1364.635
1533,1378.1583
1534,1388.4619
1535,1395.1691
1536,1397.3068
1537,1396.5994
1538,1396.0148
1539,1396.0958
1540,1396.1781
1541,1396.6296
1542,1397.5487
1543,1397.9078
1544,1397.9468
1545,1397.8365
1546,1397.4803
1547,1396.85
1548,1396.229
1549,1394.3791
1550,1389.9142
1551,1379.2768
1552,1359.6209
1553,1333.198
1554,1302.6461
1555,1270.3707
1556,1239.1518
1557,1211.6277
1558,1189.6306
1559,1168.896
1560,1148.4484
1561,1124.966
1562,1099.8365
1563,1074.7987
1564,1048.6401
1565,1022.3407
1566,996.19749
1567,970.62347
1568,945.40667
1569,921.64226
1570,900.89447
1571,886.15324
1572,883.0302
1573,884.78032
1574,889.99182
1575,895.13152
1576,897.84154
1577,899.34254
1578,900.40217
1579,901.27438
1580,901.67045
1581,901.86267
1582,902.06419
1583,902.28311
1584,902.62273
1585,902.99452
1586,903.3549
1587,903.4624
1588,903.49806
1589,903.37672
1590,903.18552
1591,903.11016
1592,903.01861
1593,903.06603
1594,903.18344
1595,903.51865
1596,903.72752
1597,903.83485
1598,903.91352
1599,903.92797
1600,903.91919
1601,903.91518
1602,903.90967
1603,903.88763
1604,903.86897
1605,903.85879
1606,903.83517
1607,903.71153
1608,903.48818
1609,903.20677
1610,902.88597
1611,902.58354
1612,902.37521
1613,902.1553
1614,901.91866
1615,901.77624
1616,901.67671
1617,901.66182
1618,901.70717
1619,901.94948
1620,902.13732
1621,902.32025
1622,902.53732
1623,902.70506
1624,902.82408
1625,902.84304
1626,902.84976
1627,902.88475
1628,902.93385
1629,902.95366
1630,902.99693
1631,903.06033
1632,903.12299
1633,903.1782
1634,903.2722
1635,903.31288
1636,903.44841
1637,903.60811
1638,903.89208
1639,904.17952
1640,904.38017
1641,904.58707
1642,904.78091
1643,904.97877
1644,905.19015
1645,905.39183
1646,905.64655
1647,905.83274
1648,906.02988
1649,906.3019
1650,922.7143
1651,922.67292
1652,922.67102
1653,922.63956
1654,922.57236
1655,922.48279
1656,922.46083
1657,922.45807
1658,922.45469
1659,922.43613
1660,922.41584
1661,922.3641
1662,922.38297
1663,922.42626
1664,922.46631
1665,922.5172
1666,922.50352
1667,923.17663
1668,929.17294
1669,943.64778
1670,966.80249
1671,996.45646
1672,1029.9978
1673,1065.9514
1674,1101.5357
1675,1133.7807
1676,1163.6657
1677,1191.0089
1678,1217.4043
1679,1242.0104
1680,1266.3364
1681,1289.8377
1682,1314.0255
1683,1334.5247
1684,1352.616
1685,1367.4186
1686,1379.4838
1687,1389.6373
1688,1395.3353
1689,1397.2159
1690,1396.6412
1691,1396.3821
1692,1395.5812
1693,1395.1318
1694,1395.1493
1695,1394.8186
1696,1394.9497
1697,1394.6368
1698,1394.3756
1699,1393.6269
1700,1392.9626
1701,1391.6345
1702,1389.1596
1703,1382.2874
1704,1368.4068
1705,1346.8705
1706,1319.5402
1707,1287.1561
1708,1252.2906
1709,1218.9627
1710,1188.3065
1711,1165.9669
1712,1146.1063
1713,1128.1373
1714,1107.7779
1715,1087.4312
1716,1065.584
1717,1041.7821
1718,1017.1714
1719,992.85053
1720,964.87011
1721,935.17646
1722,908.44739
1723,890.80113
1724,885.54828
1725,885.98632
1726,891.71495
1727,898.31673
1728,902.8277
1729,906.3143
1730,908.63094
1731,910.51097
1732,912.12487
1733,913.70543
1734,914.64394
1735,915.07827
1736,914.79676
1737,914.26813
1738,913.38232
1739,912.488
1740,911.9355
1741,911.83955
1742,911.98453
1743,912.47593
1744,912.86127
1745,913.03805
1746,913.1008
1747,913.14753
1748,913.17894
1749,913.24882
1750,913.35933
1751,913.53445
1752,913.70384
1753,913.99205
1754,914.36859
1755,914.65888
1756,914.86249
1757,915.0178
1758,915.15658
1759,915.22099
1760,915.2136
1761,915.19141
1762,915.17833
1763,915.12363
1764,915.07079
1765,915.03198
1766,914.9354
1767,914.75708
1768,914.56685
1769,914.2846
1770,914.01343
1771,913.705
1772,913.49619
1773,913.34013
1774,913.25872
1775,913.27231
1776,913.26587
1777,913.2355
1778,913.21878
1779,913.24287
1780,913.21893
1781,913.08558
1782,912.90354
1783,912.75073
1784,912.63001
1785,912.50424
1786,912.28901
1787,912.09565
1788,912.08929
1789,912.02187
1790,912.00073
1791,911.99668
1792,911.95475
1793,911.83216
1794,911.68693
1795,911.5531
1796,911.45688
1797,911.41982
1798,911.30394
1799,911.20498
1800,927.14394
1801,926.81926
1802,926.50513
1803,926.44673
1804,926.34891
1805,926.38844
1806,926.4146
1807,926.65603
1808,926.82767
1809,926.99326
1810,927.21116
1811,927.49936
1812,927.77063
1813,930.15519
1814,937.67666
1815,954.83328
1816,983.32501
1817,1022.0919
1818,1069.1007
1819,1117.2963
1820,1162.2088
1821,1201.2711
1822,1235.3563
1823,1264.0268
1824,1288.8316
1825,1310.8895
1826,1330.6214
1827,1347.4745
1828,1360.7007
1829,1373.21
1830,1383.0907
1831,1391.9362
1832,1397.8704
1833,1402.7607
1834,1404.104
1835,1404.268
1836,1404.9899
1837,1405.2229
1838,1405.1696
1839,1404.7532
1840,1405.2166
1841,1405.3752
1842,1404.9769
1843,1404.033
1844,1401.907
1845,1397.4754
1846,1388.7087
1847,1371.829
1848,1347.4869
