Time,root.Adiac.d0.s0
225,-1.3640516
226,-1.292445
227,-1.2271407
228,-1.1665092
229,-1.093553
230,-1.0183741
231,-0.94152705
232,-0.86336478
233,-0.78956851
234,-0.70927509
235,-0.62818187
236,-0.54655443
237,-0.46867309
238,-0.38598961
239,-0.3030109
240,-0.22063207
241,-0.13962055
242,-0.055828828
243,0.028115267
244,0.11219323
245,0.19372577
246,0.27813113
247,0.3602567
248,0.44490861
249,0.52954967
250,0.6123603
251,0.67994285
252,0.76492799
253,0.8482579
254,0.93211092
255,1.0015147
256,1.0867092
257,1.1705643
258,1.2548121
259,1.3244142
260,1.4086248
261,1.4919505
262,1.575197
263,1.6492124
264,1.6699733
265,1.6537193
266,1.6409527
267,1.5633884
268,1.48028
269,1.3972312
270,1.328715
271,1.2434657
272,1.1596779
273,1.0747107
274,0.990968
275,0.90589424
276,0.82155825
277,0.73769402
278,0.65458736
279,0.56998991
280,0.48524625
281,0.41824241
282,0.3336995
283,0.24923796
284,0.16756613
285,0.083407019
286,-0.00062801352
287,-0.081325625
288,-0.16490599
289,-0.24464169
290,-0.32760501
291,-0.41027432
292,-0.49260705
293,-0.56984744
294,-0.65101162
295,-0.73155158
296,-0.81135143
297,-0.88879878
298,-0.96116532
299,-1.0368788
300,-1.11067
301,-1.1819827
302,-1.2500555
303,-1.2916983
304,-1.3495906
305,-1.4000632
306,-1.4408844
307,-1.4690805
308,-1.4826813
309,-1.4804312
310,-1.4625387
311,-1.4302759
312,-1.3865095
313,-1.3337434
314,-1.2740992
315,-1.2091497
316,-1.1403015
317,-1.068488
318,-1.0154402
319,-0.93922692
320,-0.86160502
321,-0.78286454
322,-0.70321696
323,-0.62788234
324,-0.5465653
325,-0.48109807
326,-0.40168743
327,-0.31898141
328,-0.23813234
329,-0.15621597
330,-0.07261749
331,0.011154583
332,0.092161493
333,0.17633181
334,0.25802414
335,0.34249535
336,0.42474538
337,0.50944657
338,0.59393435
339,0.67535212
340,0.76012029
341,0.84344565
342,0.92854799
343,1.0121627
344,1.09736
345,1.182578
346,1.2662915
347,1.3505713
348,1.4351601
349,1.5197372
350,1.6025179
351,1.6701904
352,1.722342
353,1.6953288
354,1.6569459
355,1.6063123
356,1.5118241
357,1.4141477
358,1.3136877
359,1.2132338
360,1.1129779
361,1.0150805
362,0.9204374
363,0.82782913
364,0.74044537
365,0.65783695
366,0.58566374
367,0.50090457
368,0.41718764
369,0.33458205
370,0.24821434
371,0.16388957
372,0.079398174
373,-0.0074599386
374,-0.088978143
375,-0.17940213
376,-0.2603247
377,-0.34648029
378,-0.42355649
379,-0.5063605
380,-0.57123574
381,-0.65419275
382,-0.71821198
383,-0.79647383
384,-0.86811361
385,-0.93525724
386,-0.98426294
387,-1.0497962
388,-1.0994418
389,-1.1552539
390,-1.1928212
391,-1.2362527
392,-1.2726531
393,-1.2875469
394,-1.3077428
395,-1.3192984
396,-1.3219495
397,-1.3155979
398,-1.3144691
399,-1.29051
400,-1.2585615
401,-1.2320283
402,-1.1978556
403,-1.1447266
404,-1.098308
405,-1.0541981
406,-0.98666257
407,-0.92055751
408,-0.87076114
409,-0.79337393
410,-0.72206174
411,-0.64788024
412,-0.57123356
413,-0.49755567
414,-0.42424921
415,-0.3379785
416,-0.25722151
417,-0.17281654
418,-0.090731508
419,-0.0038368939
420,0.084940919
421,0.17013163
422,0.25661681
423,0.34337874
424,0.42696204
425,0.51238129
426,0.5967314
427,0.68292012
428,0.76871537
429,0.85917197
430,0.95328453
431,1.049589
432,1.1477807
433,1.2470752
434,1.3473858
435,1.4466801
436,1.54458
437,1.6404896
438,1.6871044
439,1.721671
440,1.7238679
441,1.7134701
442,1.6798872
443,1.588315
444,1.4914938
445,1.4064079
446,1.307222
447,1.206705
448,1.1215175
449,1.0230931
450,0.92826064
451,0.84915147
452,0.76076708
453,0.67861604
454,0.59596669
455,0.51490203
456,0.42839293
457,0.34478212
458,0.2595117
459,0.17447044
460,0.086635379
461,-0.0010628031
462,-0.087286142
463,-0.17511004
464,-0.2622896
465,-0.34483022
466,-0.43265489
467,-0.51930306
468,-0.5970839
469,-0.68053067
470,-0.75382175
471,-0.83302315
472,-0.90984696
473,-0.98039466
474,-1.0443064
475,-1.1107727
476,-1.1728622
477,-1.2178313
478,-1.2684465
479,-1.3124185
480,-1.3307194
481,-1.3598714
482,-1.3802663
483,-1.3914636
484,-1.393054
485,-1.3851312
486,-1.3677469
487,-1.3428814
488,-1.320102
489,-1.2775669
490,-1.2402499
491,-1.1843822
492,-1.143313
493,-1.0777554
494,-1.0081494
495,-0.94463328
496,-0.86823443
497,-0.79717136
498,-0.71640035
499,-0.64075652
500,-0.55555253
501,-0.48841473
502,-0.40268794
503,-0.31787439
504,-0.24673137
505,-0.16012057
506,-0.069467567
507,0.017894999
508,0.10142744
509,0.1908966
510,0.27607744
511,0.36404617
512,0.45174329
513,0.53393427
514,0.61327044
515,0.69932637
516,0.7833598
517,0.87570565
518,0.96917263
519,1.0655982
520,1.1647503
521,1.2639241
522,1.3643032
523,1.4635114
524,1.5473074
525,1.6418088
526,1.6949728
527,1.7084884
528,1.7262632
529,1.6598361
530,1.5731083
531,1.4962643
532,1.4090704
533,1.3324427
534,1.2457422
535,1.1588819
536,1.0733612
537,0.9871649
538,0.90084991
539,0.81537794
540,0.73020791
541,0.644131
542,0.5582142
543,0.48400556
544,0.39967097
545,0.32502409
546,0.24011882
547,0.15549505
548,0.071186839
549,-0.012764317
550,-0.095128559
551,-0.17940387
552,-0.26197229
553,-0.3439385
554,-0.42521292
555,-0.50568469
556,-0.58520986
557,-0.66519254
558,-0.74480711
559,-0.82069568
560,-0.8947401
561,-0.97170428
562,-1.0412802
563,-1.1136107
564,-1.1685676
565,-1.2340878
566,-1.2870839
567,-1.3411015
568,-1.3874754
569,-1.4243427
570,-1.4398339
571,-1.4522213
572,-1.4511086
573,-1.4363885
574,-1.4092392
575,-1.3712164
576,-1.3240139
577,-1.2770954
578,-1.2160573
579,-1.1503919
580,-1.0810555
581,-1.0126142
582,-0.93950097
583,-0.86274768
584,-0.78704112
585,-0.70926606
586,-0.62856385
587,-0.55071017
588,-0.47171942
589,-0.38872444
590,-0.30797898
591,-0.22664655
592,-0.14467073
593,-0.059642655
594,0.023240939
595,0.096592061
596,0.18029251
597,0.26435118
598,0.34872865
599,0.43339216
600,0.51831439
601,0.60255123
602,0.68883362
603,0.77302229
604,0.85883021
605,0.94386843
606,1.0297814
607,1.1048867
608,1.190734
609,1.2672148
610,1.3527942
611,1.4399789
612,1.5265837
613,1.6117391
614,1.6972752
615,1.7471311
616,1.7153311
617,1.6282
618,1.541246
619,1.4539081
620,1.3669245
621,1.2798763
622,1.1929186
623,1.107066
624,1.0208627
625,0.94177965
626,0.85844553
627,0.77291102
628,0.6967438
629,0.61171563
630,0.53718304
631,0.45146708
632,0.36594977
633,0.28226888
634,0.19623386
635,0.12272742
636,0.03836738
637,-0.04509198
638,-0.12922977
639,-0.21028829
640,-0.29460295
641,-0.37413079
642,-0.44545696
643,-0.52895273
644,-0.60863292
645,-0.67760604
646,-0.75489182
647,-0.82137848
648,-0.90013146
649,-0.97236045
650,-1.0474557
651,-1.1142208
652,-1.1789996
653,-1.2419686
654,-1.2875743
655,-1.3415367
656,-1.3878426
657,-1.4150457
658,-1.4399951
659,-1.4522761
660,-1.4510266
661,-1.436202
662,-1.4089583
663,-1.3708543
664,-1.3235692
665,-1.2689252
666,-1.215513
667,-1.1498066
668,-1.0804446
669,-1.0137745
670,-0.93884791
671,-0.86354174
672,-0.78830082
673,-0.70857596
674,-0.63174911
675,-0.55360939
676,-0.47100608
677,-0.39103548
678,-0.3102259
679,-0.22869573
680,-0.14646769
681,-0.062044865
682,0.021643645
683,0.10511794
684,0.18897985
685,0.27318646
686,0.35770021
687,0.44248979
688,0.52752853
689,0.60636142
690,0.68681822
691,0.77244136
692,0.85832607
693,0.94321296
694,1.0284051
695,1.1144395
696,1.1996077
697,1.2753798
698,1.3622581
699,1.4485665
700,1.5351311
701,1.6221583
702,1.7078382
703,1.7390266
704,1.7789757
705,1.7612025
706,1.7030841
707,1.610572
708,1.4920881
709,1.3686543
710,1.2447607
711,1.1209
712,1.0107618
713,0.90016819
714,0.78576565
715,0.67865903
716,0.5796521
717,0.50174727
718,0.41544408
719,0.33271169
720,0.27374039
721,0.18653645
722,0.096383854
723,0.0089316559
724,-0.074871025
725,-0.15473158
726,-0.23034137
727,-0.30764791
728,-0.398139
729,-0.4867682
730,-0.52266643
731,-0.59381176
732,-0.66718573
733,-0.7251479
734,-0.77890289
735,-0.8412151
736,-0.89845313
737,-0.95025745
738,-0.99949046
739,-1.0361287
740,-1.0753941
741,-1.1159948
742,-1.156217
743,-1.1692452
744,-1.174798
745,-1.1938524
746,-1.1844768
747,-1.2100082
748,-1.2069387
749,-1.1964545
750,-1.1786655
751,-1.153747
752,-1.1219092
753,-1.1034656
754,-1.0544659
755,-1.0214686
756,-0.9696026
757,-0.90750313
758,-0.85824785
759,-0.81614391
760,-0.76389621
761,-0.71465502
762,-0.64023978
763,-0.58188478
764,-0.50450737
765,-0.4249196
766,-0.35290822
767,-0.28908731
768,-0.20876726
769,-0.13596884
770,-0.048567774
771,0.031992985
772,0.11633708
773,0.19936115
774,0.27983892
775,0.35812622
776,0.4375587
777,0.48165358
778,0.57715517
779,0.67286109
780,0.77436705
781,0.88860371
782,1.0117928
783,1.1143252
784,1.2377771
785,1.3639414
786,1.4854898
787,1.6044069
788,1.7075238
789,1.7808246
790,1.825778
791,1.8009298
792,1.8003041
793,1.7963034
794,1.7557365
795,1.6613794
796,1.5447465
797,1.4230277
798,1.3040393
799,1.1829775
800,1.0626077
801,0.94805382
802,0.83544654
803,0.73153005
804,0.63254481
805,0.53783726
806,0.45869834
807,0.36860438
808,0.27670838
809,0.18601401
810,0.10069456
811,0.0074810515
812,-0.08510412
813,-0.16447282
814,-0.25067797
815,-0.33357022
816,-0.4231052
817,-0.51107608
818,-0.58258934
819,-0.6685915
820,-0.7323847
821,-0.79882951
822,-0.88299783
823,-0.9337205
824,-0.97633227
825,-1.060667
826,-1.0937583
827,-1.1465088
828,-1.1832832
829,-1.2327134
830,-1.2554877
831,-1.3115673
832,-1.3234603
833,-1.3192622
834,-1.3532749
835,-1.3159352
836,-1.3342008
837,-1.3131467
838,-1.283926
839,-1.2786367
840,-1.2452311
841,-1.2049126
842,-1.1774711
843,-1.1061287
844,-1.0753986
845,-1.0298273
846,-0.96087376
847,-0.91780136
848,-0.83978455
849,-0.78566954
850,-0.71439277
851,-0.64501718
852,-0.56657072
853,-0.49788895
854,-0.40451897
855,-0.32761867
856,-0.24394066
857,-0.16076641
858,-0.075811855
859,0.014265766
860,0.10701424
861,0.19353065
862,0.27629671
863,0.36151791
864,0.45169189
865,0.5415016
866,0.63434783
867,0.7223924
868,0.82214781
869,0.92892144
870,1.0448177
871,1.165685
872,1.2856566
873,1.4088782
874,1.5079832
875,1.6236428
876,1.7136062
877,1.7663893
878,1.7836333
879,1.7586248
880,1.7996215
881,1.7427012
882,1.6864861
883,1.6326717
884,1.5324102
885,1.4225861
886,1.3113219
887,1.2012383
888,1.0899248
889,0.97857591
890,0.87212147
891,0.76715563
892,0.66405946
893,0.5608749
894,0.45331905
895,0.35544341
896,0.25989255
897,0.16704351
898,0.063431625
899,-0.025124262
900,-0.11014953
901,-0.19135718
902,-0.26891085
903,-0.3421665
904,-0.41698388
905,-0.49722145
906,-0.55719663
907,-0.61193205
908,-0.69939527
909,-0.73175277
910,-0.79816957
911,-0.83732789
912,-0.89032153
913,-0.94291918
914,-0.98408311
915,-1.0246197
916,-1.0469912
917,-1.0965679
918,-1.1398025
919,-1.14154
920,-1.1722282
921,-1.1957904
922,-1.2124763
923,-1.2218999
924,-1.2238447
925,-1.2187177
926,-1.2058302
927,-1.1863575
928,-1.1592349
929,-1.1259717
930,-1.1096742
931,-1.0751148
932,-1.0228435
933,-0.97593044
934,-0.9350362
935,-0.8803773
936,-0.82537259
937,-0.77737175
938,-0.69919845
939,-0.6392977
940,-0.58215918
941,-0.52848751
942,-0.46253987
943,-0.38381963
944,-0.31581693
945,-0.24359983
946,-0.14913382
947,-0.070016876
948,0.012981145
949,0.099137798
950,0.18846572
951,0.28060416
952,0.38491887
953,0.48311099
954,0.58151559
955,0.68217562
956,0.78460388
957,0.88895651
958,0.9958908
959,1.1084691
960,1.216652
961,1.3261643
962,1.4414738
963,1.5527621
964,1.6637006
965,1.7719189
966,1.8255454
967,1.8382555
968,1.8381584
969,1.7931166
970,1.7393301
971,1.6751761
972,1.5646576
973,1.4532488
974,1.3429143
975,1.2306094
976,1.1198659
977,1.008328
978,0.90011222
979,0.7956436
980,0.6899226
981,0.58253266
982,0.48299002
983,0.38546709
984,0.27856403
985,0.1850356
986,0.094439716
987,-0.0080723882
988,-0.093621255
989,-0.17565271
990,-0.25400259
991,-0.32803708
992,-0.4180957
993,-0.49628997
994,-0.56902049
995,-0.64140574
996,-0.70760878
997,-0.77573623
998,-0.82529729
999,-0.88048482
1000,-0.93894957
1001,-0.99131881
1002,-1.0402051
1003,-1.0823947
1004,-1.1043932
1005,-1.1525512
1006,-1.1944218
1007,-1.1929893
1008,-1.2211075
1009,-1.2419462
1010,-1.2559051
1011,-1.2618527
1012,-1.2608978
1013,-1.2517938
1014,-1.2357744
1015,-1.2122362
1016,-1.1818962
1017,-1.1449264
1018,-1.136738
1019,-1.086891
1020,-1.0311481
1021,-1.0030645
1022,-0.95429744
1023,-0.89623876
1024,-0.8402629
1025,-0.77607163
1026,-0.71329748
1027,-0.66033809
1028,-0.58589986
1029,-0.52555798
1030,-0.44134317
1031,-0.3633084
1032,-0.28413391
1033,-0.20970471
1034,-0.12784067
1035,-0.033326869
1036,0.051099621
1037,0.13865629
1038,0.24238997
1039,0.33459223
1040,0.42960328
1041,0.53732603
1042,0.63595514
1043,0.74572069
1044,0.85387274
1045,0.95889874
1046,1.0632927
1047,1.1720037
1048,1.2828667
1049,1.3910851
1050,1.4975802
1051,1.5714351
1052,1.6738654
1053,1.723658
1054,1.77651
1055,1.8323171
1056,1.7490938
1057,1.7266422
1058,1.6593818
1059,1.5595723
1060,1.4572894
1061,1.355191
1062,1.2521086
1063,1.1618543
1064,1.0623266
1065,0.96099447
1066,0.86361629
1067,0.77125252
1068,0.6822731
1069,0.59460683
1070,0.51308733
1071,0.42666515
1072,0.34525309
1073,0.25893825
1074,0.17852219
1075,0.10072776
1076,0.014955194
1077,-0.056353468
1078,-0.14476449
1079,-0.22601973
1080,-0.29855124
1081,-0.38014146
1082,-0.45704897
1083,-0.53657263
1084,-0.61376336
1085,-0.68833824
1086,-0.7618769
1087,-0.82821379
1088,-0.90272609
1089,-0.96360152
1090,-1.0197937
1091,-1.0708258
1092,-1.1280415
1093,-1.1674738
1094,-1.2128704
1095,-1.2517189
1096,-1.2697783
1097,-1.2933672
1098,-1.3089061
1099,-1.3159625
1100,-1.3144644
1101,-1.3045016
1102,-1.2861898
1103,-1.2598613
1104,-1.2391258
1105,-1.1980248
1106,-1.1626619
1107,-1.1089342
1108,-1.0613199
1109,-0.99734696
1110,-0.95330456
1111,-0.88747331
1112,-0.81234188
1113,-0.74342303
1114,-0.67277575
1115,-0.59622721
1116,-0.51859953
1117,-0.43869402
1118,-0.36829941
1119,-0.28953459
1120,-0.2063508
1121,-0.1321796
1122,-0.047875728
1123,0.040192316
1124,0.11224876
1125,0.19604162
1126,0.28162523
1127,0.36479097
1128,0.45010144
1129,0.53410224
1130,0.61702276
1131,0.70207691
1132,0.79080812
1133,0.88618347
1134,0.98481499
1135,1.0714538
1136,1.1728094
1137,1.2758165
1138,1.3788433
1139,1.4818883
1140,1.5800247
1141,1.6672072
1142,1.7165748
1143,1.7210981
1144,1.7221748
1145,1.7166278
1146,1.6792915
1147,1.5832472
1148,1.48164
1149,1.3781739
1150,1.2744982
1151,1.1702425
1152,1.0687978
1153,0.96910268
1154,0.88533347
1155,0.79139009
1156,0.70181212
1157,0.61776419
1158,0.53524952
1159,0.45694068
1160,0.37697569
1161,0.29093151
1162,0.20424102
1163,0.11981903
1164,0.033259676
1165,-0.060963799
1166,-0.14847373
1167,-0.23089697
1168,-0.31919524
1169,-0.40052116
1170,-0.48990082
1171,-0.57036066
1172,-0.65360376
1173,-0.73249086
1174,-0.80557136
1175,-0.8753684
1176,-0.95123414
1177,-1.0154506
1178,-1.0821134
1179,-1.1351264
1180,-1.1940425
1181,-1.247409
1182,-1.2819297
1183,-1.3218581
1184,-1.3367912
1185,-1.3617957
1186,-1.3783335
1187,-1.3858833
1188,-1.3843984
1189,-1.3739504
1190,-1.3546606
1191,-1.3269698
1192,-1.3044426
1193,-1.2613483
1194,-1.2116463
1195,-1.1594689
1196,-1.1065056
1197,-1.0478058
1198,-0.98099629
1199,-0.9072982
1200,-0.83966198
1201,-0.7598495
1202,-0.68604328
1203,-0.60157935
1204,-0.52290224
1205,-0.43642277
1206,-0.37080515
1207,-0.28048051
1208,-0.19477565
1209,-0.10763334
1210,-0.022991924
1211,0.065092402
1212,0.15565292
1213,0.24304985
1214,0.3294477
1215,0.41630554
1216,0.50084857
1217,0.58218241
1218,0.66591153
1219,0.74994007
1220,0.84079691
1221,0.93563784
1222,1.0333416
1223,1.1193874
1224,1.2216641
1225,1.3244648
1226,1.4272957
1227,1.5287896
1228,1.6162934
1229,1.7013695
1230,1.7330503
1231,1.7500588
1232,1.3476895
1233,1.2373582
1234,1.1288056
1235,1.0218658
1236,0.93922471
1237,0.84710394
1238,0.75024294
1239,0.65884492
1240,0.56604974
1241,0.47413421
1242,0.38804999
1243,0.30569587
1244,0.21788299
1245,0.13259683
1246,0.061178586
1247,0.008627474
1248,-0.067204557
1249,-0.13955497
1250,-0.20814184
1251,-0.27266914
1252,-0.33282946
1253,-0.40592622
1254,-0.45742743
1255,-0.50825337
1256,-0.56467551
1257,-0.60031396
1258,-0.65207336
1259,-0.69731977
1260,-0.74090331
1261,-0.77749087
1262,-0.80081515
1263,-0.84985214
1264,-0.85269637
1265,-0.87828633
1266,-0.89974802
1267,-0.90898401
1268,-0.90080198
1269,-0.91472292
1270,-0.95122491
1271,-0.95279438
1272,-0.9230698
1273,-0.91165178
1274,-0.91802983
1275,-0.90264491
1276,-0.87496338
1277,-0.86882251
1278,-0.85624492
1279,-0.81139549
1280,-0.76957871
1281,-0.75684191
1282,-0.72099539
1283,-0.6797913
1284,-0.6336464
1285,-0.58244033
1286,-0.52691475
1287,-0.48227291
1288,-0.41668969
1289,-0.36536222
1290,-0.30911447
1291,-0.24826081
1292,-0.18311195
1293,-0.10019339
1294,-0.028259591
1295,0.047130394
1296,0.11324446
1297,0.18041075
1298,0.25486821
1299,0.33354006
1300,0.41796981
1301,0.50462874
1302,0.59225953
1303,0.68515479
1304,0.77912151
1305,0.87498234
1306,0.97713707
1307,1.0800786
1308,1.186769
1309,1.2958349
1310,1.4056943
1311,1.516567
1312,1.6052886
1313,1.6659176
1314,1.7290633
1315,1.7767765
1316,1.7742557
1317,1.7637329
1318,1.6882697
1319,1.5916663
1320,1.4847786
1321,1.3822714
1322,1.2803461
1323,1.1859985
1324,1.0858456
1325,0.98637163
1326,0.88949944
1327,0.78378013
1328,0.69305299
1329,0.59189217
1330,0.48772894
1331,0.3942363
1332,0.29129593
1333,0.19162383
1334,0.098614841
1335,-0.002148842
1336,-0.10216512
1337,-0.1890851
1338,-0.28598336
1339,-0.38264921
1340,-0.4631778
1341,-0.55668251
1342,-0.66480723
1343,-0.75566959
1344,-0.82697649
1345,-0.91289
1346,-0.99623013
1347,-1.0766416
1348,-1.1537171
1349,-1.2269923
1350,-1.2958566
1351,-1.3597669
1352,-1.418092
1353,-1.4701409
1354,-1.5151986
1355,-1.5525564
1356,-1.5815532
1357,-1.6016228
1358,-1.6123428
1359,-1.6134755
1360,-1.6049935
1361,-1.5870821
1362,-1.5601207
1363,-1.5245122
1364,-1.4810307
1365,-1.430413
1366,-1.3733762
1367,-1.3106175
1368,-1.2649206
1369,-1.1916819
1370,-1.1145509
1371,-1.0340142
1372,-0.95049722
1373,-0.86436958
1374,-0.77595139
1375,-0.68551913
1376,-0.59328572
1377,-0.49948336
1378,-0.40429618
1379,-0.30787723
1380,-0.22355994
1381,-0.12458707
1382,-0.024760853
1383,0.075832487
1384,0.16586875
1385,0.26814324
1386,0.36922574
1387,0.46427814
1388,0.56834637
1389,0.66416672
1390,0.76117583
1391,0.86562498
1392,0.9634994
1393,1.0699071
1394,1.1724218
1395,1.2761219
1396,1.3721024
1397,1.4560188
1398,1.5620982
1399,1.6571256
1400,1.7132834
1401,1.7487772
1402,1.7635515
1403,1.7513826
1404,1.6889438
1405,1.6250658
1406,1.545478
1407,1.4314402
1408,1.6956215
1409,1.633777
1410,1.5959885
1411,1.5069915
1412,1.4142802
1413,1.3230939
1414,1.2419277
1415,1.1857506
1416,1.1216864
1417,1.0483568
1418,0.96598765
1419,0.89018792
1420,0.8054679
1421,0.71911373
1422,0.63167038
1423,0.55299808
1424,0.46784129
1425,0.37995251
1426,0.29736698
1427,0.21052518
1428,0.12471027
1429,0.04060242
1430,-0.045180667
1431,-0.12581634
1432,-0.20839175
1433,-0.28312817
1434,-0.36344324
1435,-0.44235609
1436,-0.50929141
1437,-0.58886068
1438,-0.66241805
1439,-0.73360572
1440,-0.80205691
1441,-0.87252694
1442,-0.94534894
1443,-1.0098493
1444,-1.0754638
1445,-1.140828
1446,-1.200512
1447,-1.2524082
1448,-1.3004743
1449,-1.3452566
1450,-1.3742176
1451,-1.4003786
1452,-1.4100168
1453,-1.4162851
1454,-1.410752
1455,-1.3885623
1456,-1.3690261
1457,-1.3344116
1458,-1.2932077
1459,-1.248778
1460,-1.1869717
1461,-1.1345442
1462,-1.0755695
1463,-1.0066831
1464,-0.9409046
1465,-0.8632536
1466,-0.78826883
1467,-0.70789045
1468,-0.62584892
1469,-0.54950053
1470,-0.46499407
1471,-0.37918726
1472,-0.2917061
1473,-0.20515693
1474,-0.11530116
1475,-0.026677707
1476,0.064025944
1477,0.14764018
1478,0.2375431
1479,0.32913318
1480,0.419729
1481,0.51077702
1482,0.60385771
1483,0.6912826
1484,0.77954903
1485,0.87146799
1486,0.96431492
1487,1.049036
1488,1.1421693
1489,1.2346894
1490,1.3273708
1491,1.4199171
1492,1.5052473
1493,1.5977612
1494,1.6889711
1495,1.7573296
1496,1.7634941
1497,1.7185021
1498,1.6335231
1499,1.5407485
1500,1.4468639
1501,1.3534409
1502,1.2602959
1503,1.1674801
1504,1.0744009
1505,0.98164091
1506,0.89672952
1507,0.80396388
1508,0.71165452
1509,0.62793279
1510,0.5351819
1511,0.45173017
1512,0.36082098
1513,0.27636527
1514,0.18675051
1515,0.095184793
1516,0.014155251
1517,-0.07664142
1518,-0.16546155
1519,-0.24634031
1520,-0.33581482
1521,-0.42054897
1522,-0.50741758
1523,-0.59098379
1524,-0.6672722
1525,-0.74938546
1526,-0.82969862
1527,-0.90519249
1528,-0.97985824
1529,-1.0486682
1530,-1.1175057
1531,-1.1780256
1532,-1.235943
1533,-1.2839776
1534,-1.3297351
1535,-1.3607493
1536,-1.3877305
1537,-1.3992197
1538,-1.4085043
1539,-1.4023323
1540,-1.3869456
1541,-1.3665593
1542,-1.3355352
1543,-1.2927975
1544,-1.2426195
1545,-1.1896082
1546,-1.1305251
1547,-1.0698905
1548,-1.0049198
1549,-0.93353638
1550,-0.86455518
1551,-0.7901724
1552,-0.71829708
1553,-0.64550415
1554,-0.57396407
1555,-0.50234054
1556,-0.42374248
1557,-0.35093068
1558,-0.26688582
1559,-0.18746556
1560,-0.11354824
1561,-0.031837001
1562,0.048224662
1563,0.13156491
1564,0.2161043
1565,0.29870005
1566,0.37990794
1567,0.46407084
1568,0.54693824
1569,0.63351774
1570,0.71740578
1571,0.79867918
1572,0.88024947
1573,0.96301444
1574,1.0395011
1575,1.1159609
1576,1.1794769
