Time,root.Fungi.d0.s0
279,2.3800521
280,2.4399777
281,2.5581519
282,2.6866421
283,2.8244794
284,3.0182693
285,3.3033828
286,3.6233138
287,3.9238355
288,4.2414035
289,4.620493
290,5.0273901
291,5.4104334
292,5.8104229
293,6.3056974
294,6.9257962
295,7.7354459
296,8.6541719
297,9.4419909
298,10.136463
299,10.92584
300,11.804667
301,12.673844
302,13.394191
303,13.247882
304,12.231291
305,11.133658
306,10.112395
307,9.1507457
308,8.2009235
309,7.2394705
310,6.1939488
311,5.1231105
312,4.3136159
313,3.7765081
314,3.3849613
315,3.1294821
316,3.0820654
317,3.2351506
318,3.3833977
319,3.4697849
320,3.4130912
321,3.1996997
322,3.043959
323,3.0247603
324,3.0655892
325,3.128546
326,3.0971146
327,2.905172
328,2.7686141
329,2.8430549
330,3.0006204
331,3.1251598
332,3.2162594
333,3.2662835
334,3.2754543
335,3.3342692
336,3.4831959
337,3.6436197
338,3.7708932
339,3.9156089
340,4.1137303
341,4.2866547
342,4.3639493
343,4.4099089
344,4.4979199
345,4.5929903
346,4.6448121
347,4.6738829
348,4.7174489
349,4.7295698
350,4.6074265
351,4.3791428
352,4.1311769
353,3.9178807
354,3.9055895
355,4.0593727
356,4.1766071
357,4.2348771
358,4.290622
359,4.4432503
360,4.6762517
361,4.9496139
362,5.238632
363,5.4806991
364,5.7921163
365,6.5705103
366,7.8268971
367,9.476046
368,11.43061
369,13.284897
370,15.061549
371,17.297245
372,20.045811
373,22.916645
374,25.798012
375,28.440595
376,30.687672
377,31.11312
378,29.237099
379,25.851792
380,21.338981
381,17.19004
382,14.218054
383,12.386214
384,11.379382
385,11.078359
386,10.938408
387,10.789258
388,10.388345
389,9.6449909
390,8.4339928
391,6.7125479
392,5.0086334
393,3.6064816
394,2.4909751
395,1.651877
396,1.0206321
397,0.53979432
398,0.22105107
399,0.076864797
400,0.013150304
401,-0.096731121
402,0.73554268
403,0.76892769
404,0.7267928
405,0.68833205
406,0.66484295
407,0.67377372
408,0.71518278
409,0.77737059
410,0.85288659
411,0.88909403
412,0.84581276
413,0.76757044
414,0.69696713
415,0.67484929
416,0.75046738
417,0.84912234
418,0.85875363
419,0.82969385
420,0.85677825
421,0.90687456
422,0.90043154
423,0.86071127
424,0.86042459
425,0.88801988
426,0.8899366
427,0.86290864
428,0.8117266
429,0.76873145
430,0.90021217
431,1.1826938
432,1.3018588
433,1.2000677
434,0.97827564
435,0.90083599
436,0.96535131
437,1.1196808
438,1.3245105
439,1.4398916
440,1.450927
441,1.3550256
442,1.1777661
443,1.0799438
444,1.0856605
445,1.1662901
446,1.3156578
447,1.5339053
448,1.8074636
449,1.9380651
450,1.8692422
451,1.791435
452,1.7805121
453,1.8004388
454,1.83308
455,1.8565788
456,1.8579809
457,1.8997665
458,2.0288227
459,2.2375821
460,2.4254642
461,2.5581337
462,2.5789569
463,2.4714422
464,2.3910922
465,2.4092259
466,2.4453173
467,2.4531323
468,2.4303336
469,2.3753471
470,2.3722311
471,2.4951844
472,2.7029876
473,2.9497096
474,3.1489205
475,3.1804715
476,3.0947926
477,2.9797965
478,2.8569999
479,2.7685267
480,2.7313488
481,2.7857297
482,2.9267133
483,3.1321949
484,3.4005513
485,3.6862259
486,3.9294611
487,4.1315555
488,4.2950496
489,4.4575447
490,4.6939268
491,5.0447692
492,5.604041
493,6.3188418
494,7.0183477
495,7.6767859
496,8.241453
497,8.7484095
498,9.3840595
499,10.173636
500,11.130335
501,12.24892
502,13.475988
503,14.774911
504,15.898198
505,16.771455
506,17.229202
507,17.220651
508,16.80005
509,16.200283
510,15.42283
511,14.332876
512,12.932025
513,11.367344
514,9.7042878
515,8.2769997
516,7.1676894
517,6.420306
518,6.034078
519,5.782753
520,5.5825376
521,5.3528818
522,5.0602392
523,4.7738071
524,4.5304412
525,4.3190969
526,4.1324964
527,3.9638411
528,3.8075828
529,3.655166
530,3.4977991
531,3.3527807
532,3.2424141
533,3.166003
534,3.0945152
535,3.0125159
536,2.8638909
537,2.6144084
538,2.4141412
539,2.3784791
540,2.3868465
541,2.3229945
542,2.2381446
543,2.1945125
544,2.1633173
545,2.1009264
546,2.0238716
547,1.9636625
548,1.9205065
549,1.893273
550,1.864512
551,1.7857643
552,1.697148
553,1.7454971
554,1.9095844
555,2.0482795
556,2.1470386
557,2.2123992
558,2.2453119
559,2.306611
560,2.5273204
561,2.8160878
562,2.9204009
563,2.8693975
564,2.8005506
565,2.7641482
566,2.9187513
567,3.2321257
568,3.4631128
569,3.612748
570,3.8923003
571,4.3181427
572,4.7269802
573,5.0923305
574,5.5109903
575,6.0220505
576,6.8166185
577,7.951389
578,9.2801615
579,10.741597
580,12.268193
581,13.82942
582,15.63862
583,17.826165
584,20.400036
585,23.438845
586,26.869293
587,29.437079
588,30.696963
589,29.653903
590,25.976727
591,21.253746
592,16.24429
593,11.570011
594,7.5915496
595,4.5147229
596,2.4860279
597,1.2060843
598,0.40863759
599,-0.010865254
600,-0.16980866
601,-0.1416658
602,-0.029202368
603,0.048240319
604,-0.039317146
605,-0.080912553
606,0.007981706
607,0.16066461
608,0.17423163
609,0.03591463
610,-0.096479879
611,-0.036840674
612,0.10435656
613,0.16560671
614,0.1818978
615,0.21814808
616,0.23807477
617,0.1599662
618,0.038724397
619,0.027165023
620,0.099664951
621,0.14722333
622,0.1621991
623,0.1471239
624,0.11128299
625,0.098712011
626,0.10477442
627,0.065289822
628,-0.014882105
629,-0.013271265
630,0.086904175
631,0.19260956
632,0.27567733
633,0.28250939
634,0.19598557
635,0.045295598
636,-0.039977041
637,-0.044751083
638,0.028940166
639,0.16175181
640,0.22096872
641,0.19891616
642,0.25632532
643,0.41307643
644,0.44794148
645,0.31037909
646,0.23777915
647,0.30833694
648,0.35874031
649,0.32035653
650,0.28888728
651,0.31440692
652,0.35190587
653,0.37240998
654,0.4098473
655,0.49122827
656,0.5741621
657,0.61652236
658,0.63241374
659,0.63934816
660,0.63847272
661,0.66592991
662,0.73784532
663,0.76922441
664,0.71108329
665,0.76374556
666,1.0723592
667,1.4485531
668,1.7228976
669,1.9024927
670,1.9953462
671,2.107004
672,2.3849633
673,2.7327206
674,2.983149
675,3.179532
676,3.4183142
677,3.7370609
678,4.2236025
679,4.9657008
680,6.2217335
681,7.8792424
682,9.4426381
683,10.871061
684,12.197614
685,13.426496
686,14.462888
687,15.125102
688,15.488074
689,15.737035
690,15.965045
691,16.414695
692,16.968697
693,17.169478
694,16.934226
695,16.076021
696,14.674634
697,13.262233
698,11.941246
699,10.876985
700,10.100363
701,9.6158694
702,9.4455943
703,9.8273361
704,10.828906
705,12.466839
706,14.750604
707,17.76749
708,21.553911
709,26.192482
710,32.177713
711,39.530363
712,47.782365
713,56.496113
714,62.290479
715,64.108809
716,59.408692
717,47.647432
718,33.728225
719,19.642709
720,8.8178726
721,2.8154575
722,-0.14829925
723,-1.0934186
724,-1.0261868
725,-0.64644583
726,-0.17799425
727,0.18671328
728,0.43639772
729,0.55890286
730,0.59580675
731,0.60279839
732,0.61269638
733,0.67902898
734,0.8015835
735,0.89888165
736,0.91938262
737,0.918174
738,0.9383235
739,0.95894843
740,0.95969613
741,0.9699752
742,1.0256375
743,1.0705363
744,1.0200803
745,0.9456262
746,0.98004895
747,1.0909412
748,1.1991836
749,1.2832242
750,1.2923531
751,1.2543925
752,1.2714098
753,1.3328602
754,1.3625723
755,1.3590848
756,1.3561001
757,1.3523798
758,1.3105354
759,1.2240029
760,1.1274429
761,1.1075463
762,1.144145
763,1.1632218
764,1.1630779
765,1.1564306
766,1.1447202
767,1.1290453
768,1.1178795
769,1.1588579
770,1.2454602
771,1.2758105
772,1.2335384
773,1.1551449
774,1.0511507
775,0.94096604
776,0.83365952
777,0.78625408
778,0.81710089
779,0.85579249
780,0.87029014
781,0.83537631
782,0.73759241
783,0.60551685
784,0.45820017
785,0.306013
786,0.26312757
787,0.3515235
788,0.42704085
789,0.44217702
790,0.42105978
791,0.37401997
792,0.3164601
793,0.25600342
794,0.18800757
795,0.10973368
796,0.039027076
797,-0.010748379
798,-0.03699982
799,-0.037314134
800,-0.025068767
801,-0.015866139
802,-0.004191417
803,0.017943591
804,0.14504028
805,0.26919242
806,0.38161117
807,0.36744004
808,0.24908569
809,0.10532911
810,-0.058872264
811,-0.14208964
812,-0.024701611
813,0.17071148
814,0.2651599
815,0.27722325
816,0.24279054
817,0.19001279
818,0.1785915
819,0.1842674
820,0.13734643
821,0.053219119
822,-0.006454733
823,-0.0312248
824,0.00168087
825,0.090778658
826,0.21744356
827,0.34701727
828,0.28310136
829,0.039445934
830,-0.017899688
831,0.16293673
832,0.32131996
833,0.39016921
834,0.3827764
835,0.30338718
836,0.18936672
837,0.20659236
838,0.34174156
839,0.41210926
840,0.39653774
841,0.34236987
842,0.26683416
843,0.24310345
844,0.28421962
845,0.33739769
846,0.38645572
847,0.41891879
848,0.43368414
849,0.51480729
850,0.69477117
851,0.80442396
852,0.75619424
853,0.71197829
854,0.77614331
855,0.87385064
856,0.94552047
857,1.0426786
858,1.2165295
859,1.4219205
860,1.6027915
861,1.7562039
862,1.7906206
863,1.6657314
864,1.6293447
865,1.8277693
866,2.2387639
867,2.8460517
868,3.4375258
869,3.8224068
870,4.0146484
871,4.0299875
872,4.0214961
873,4.2030829
874,4.5084147
875,4.8213155
876,5.1258669
877,5.3929495
878,5.6104662
879,5.7499787
880,5.8720117
881,6.1683671
882,6.6589714
883,7.3676554
884,8.3026355
885,9.4915119
886,10.937784
887,12.601792
888,14.407545
889,16.237095
890,17.81968
891,19.122417
892,20.083476
893,20.588708
894,20.255797
895,19.201319
896,18.059206
897,17.019612
898,16.707798
899,17.272419
900,19.095653
901,22.255144
902,26.814035
903,32.795543
904,40.298985
905,49.213416
906,57.374405
907,63.901777
908,65.62144
909,61.20921
910,51.148732
911,38.335083
912,23.870056
913,12.478093
914,5.0529443
915,0.71837715
916,-0.86447996
917,-1.2284581
918,-0.88535602
919,-0.41748373
920,-0.048286906
921,0.20383455
922,0.33114868
923,0.37786814
924,0.36959078
925,0.37105654
926,0.42720762
927,0.49341174
928,0.53128752
929,0.545792
930,0.54226773
931,0.51830654
932,0.4706808
933,0.44315919
934,0.5077871
935,0.66420714
936,0.79694385
937,0.83287181
938,0.82859173
939,0.82835566
940,0.84417933
941,0.88777351
942,0.92492961
943,0.91394421
944,0.87425359
945,0.83524633
946,0.81288643
947,0.8360162
948,0.90170094
949,1.0019562
950,1.127445
951,1.2535181
952,1.3646724
953,1.4140032
954,1.40291
955,1.3523476
956,1.2744296
957,1.218955
958,1.1951854
959,1.2180413
960,1.290142
961,1.3700431
962,1.3540866
963,1.2637475
964,1.1794879
965,1.1154786
966,1.1037776
967,1.1326954
968,1.1347484
969,1.1085502
970,1.0940068
971,1.0925638
972,1.0688766
973,1.0202908
974,0.98786994
975,0.97789204
976,0.94220938
977,0.86845014
978,0.79470404
979,0.73498779
980,0.6896289
981,0.65774966
982,0.59186291
983,0.46662338
984,0.33569396
985,0.23484672
986,0.16668124
987,0.15981683
988,0.21633143
989,0.2481388
990,0.22698834
991,0.18478173
992,0.13545432
993,0.10923584
994,0.12096158
995,0.15280304
996,0.1937757
997,0.22022353
998,0.21442942
999,0.16730319
1000,0.070384864
1001,-0.007060409
1002,0.015752891
1003,0.068960981
1004,0.051611638
1005,0.8490086
1006,0.99800718
1007,1.0412044
1008,0.96168325
1009,0.7975575
1010,0.56981815
1011,0.4283992
1012,0.4193707
1013,0.52943856
1014,0.74935957
1015,0.95675624
1016,1.0943227
1017,1.1251311
1018,1.02924
1019,0.91221735
1020,0.84693678
1021,0.8310564
1022,0.83745437
1023,0.86224272
1024,0.96737827
1025,1.166009
1026,1.2569732
1027,1.1586479
1028,1.0167191
1029,0.90724138
1030,0.89660735
1031,1.0262551
1032,1.1843711
1033,1.2841713
1034,1.3948542
1035,1.5833421
1036,1.7617745
1037,1.8238244
1038,1.8462766
1039,1.9441916
1040,2.1035065
1041,2.2964904
1042,2.488259
1043,2.6024521
1044,2.6725966
1045,2.7971235
1046,2.9631555
1047,3.1099735
1048,3.2269584
1049,3.2905189
1050,3.3024727
1051,3.2844293
1052,3.2393593
1053,3.1580201
1054,3.0215392
1055,2.8600637
1056,2.7498789
1057,2.6830843
1058,2.6249228
1059,2.5565587
1060,2.417127
1061,2.2283127
1062,2.1147453
1063,2.0857478
1064,2.1072919
1065,2.1621744
1066,2.1653374
1067,2.1081188
1068,2.0661132
1069,2.0609243
1070,2.1316437
1071,2.2852673
1072,2.4392649
1073,2.5681713
1074,2.7959647
1075,3.176667
1076,3.6617884
1077,4.2251832
1078,4.8762343
1079,5.6209817
1080,6.3909533
1081,7.1302287
1082,7.8691029
1083,8.6385159
1084,9.4279858
1085,10.008689
1086,10.287607
1087,10.273466
1088,9.9746269
1089,9.6617419
1090,9.4987698
1091,9.5129649
1092,9.7246157
1093,10.197249
1094,10.989537
1095,11.734562
1096,12.007547
1097,11.930142
1098,11.677407
1099,11.519701
1100,11.929224
1101,12.86714
1102,14.231573
1103,16.091441
1104,18.634974
1105,21.91236
1106,26.051861
1107,30.880985
1108,35.693414
1109,40.411281
1110,45.000202
1111,49.153975
1112,51.066595
1113,50.318027
1114,45.996448
1115,37.912343
1116,27.261193
1117,17.516745
1118,9.2743442
1119,3.8613286
1120,1.1120213
1121,-0.20558598
1122,-0.3777122
1123,-0.17653288
1124,0.23758283
1125,0.55985984
1126,0.73402793
1127,0.77107699
1128,0.68703145
1129,0.63928504
1130,0.6720851
1131,0.76907878
1132,0.92241274
1133,1.080956
1134,1.2217343
1135,1.2989473
1136,1.2895557
1137,1.256163
1138,1.2386009
1139,1.2571703
1140,1.327741
1141,1.4115406
1142,1.4707804
1143,1.5114763
1144,1.5409622
1145,1.5670646
1146,1.6015307
1147,1.6448637
1148,1.719324
1149,1.83729
1150,1.9184118
1151,1.9054827
1152,1.8433956
1153,1.7717773
1154,1.715377
1155,1.7015861
1156,1.7199417
1157,1.7560538
1158,1.8018267
1159,1.8437641
1160,1.8709107
1161,1.8611921
1162,1.819372
1163,1.7590231
1164,1.6838465
1165,1.6031414
1166,1.5218733
1167,1.4561359
1168,1.4128659
1169,1.4169035
1170,1.4648709
1171,1.5198639
1172,1.5660473
1173,1.5311628
1174,1.4112777
1175,1.3043753
1176,1.2325243
1177,1.1701008
1178,1.1093774
1179,1.0496188
1180,0.98775192
1181,0.92667918
1182,0.88318242
1183,0.84418022
1184,0.70898481
1185,0.4780607
1186,0.30677133
1187,0.22672158
1188,0.20222527
1189,0.22018863
1190,0.23145372
1191,0.22056481
1192,0.21218912
1193,0.21521593
1194,0.18560012
1195,0.10220789
1196,0.02420475
1197,-0.012467324
1198,-0.030401836
1199,-0.046516296
1200,-0.057474179
1201,-0.060170274
1202,-0.055251444
1203,-0.043472139
1204,-0.028355125
1205,-0.01498063
1206,0.10690076
1207,0.20702475
1208,0.38433431
1209,0.64064007
1210,0.89898245
1211,1.0373277
1212,1.0557533
1213,1.0712897
1214,1.1559456
1215,1.2652165
1216,1.365119
1217,1.4010961
1218,1.3209531
1219,1.1838542
1220,1.0611364
1221,0.98174716
1222,0.98882205
1223,1.0830323
1224,1.2648403
1225,1.4545893
1226,1.4722789
1227,1.3627104
1228,1.2687423
1229,1.2070368
1230,1.2059289
1231,1.2582235
1232,1.3239961
1233,1.3932315
1234,1.4367058
1235,1.4564974
1236,1.4942869
1237,1.5577178
1238,1.6318276
1239,1.6774371
1240,1.7064165
1241,1.7634552
1242,1.8311307
1243,1.8272024
1244,1.7672415
1245,1.7693698
1246,1.8447252
1247,1.9636977
1248,2.1114927
1249,2.2107605
1250,2.2452477
1251,2.2199003
1252,2.1467948
1253,2.1825779
1254,2.3714544
1255,2.5542048
1256,2.6697408
1257,2.8296448
1258,3.0875033
1259,3.3367065
1260,3.5124362
1261,3.591554
1262,3.5566964
1263,3.4258203
1264,3.4375958
1265,3.6551274
1266,3.861145
1267,3.9750843
1268,4.0728299
1269,4.1894698
1270,4.301407
1271,4.3951031
1272,4.4712054
1273,4.5301815
1274,4.5815763
1275,4.6338151
1276,4.7404594
1277,4.9611935
1278,5.3279368
1279,5.8850187
1280,6.4558018
1281,6.7365905
1282,6.8549005
1283,7.0902145
1284,7.4490595
1285,7.925213
1286,8.5006843
1287,9.1196511
1288,9.7780143
1289,10.365732
1290,10.738458
1291,11.017999
1292,11.403089
1293,12.153897
1294,13.783542
1295,16.382233
1296,20.135537
1297,25.00281
1298,30.837449
1299,37.322944
1300,43.332306
1301,48.320689
1302,50.283037
1303,48.992446
1304,44.56108
1305,37.333036
1306,29.686244
1307,22.241816
1308,16.387042
1309,12.423716
1310,9.7875689
1311,8.3054085
1312,7.8370458
1313,7.7806913
1314,8.0446745
1315,8.5062908
1316,9.1409539
1317,9.9051841
1318,10.773658
1319,11.594768
1320,12.313245
1321,12.695822
1322,12.659939
1323,11.957289
1324,10.511211
1325,8.6215511
1326,6.4286718
1327,4.3501677
1328,2.6107243
1329,1.360007
1330,0.69576399
1331,0.36288629
1332,0.15318202
1333,0.050022987
1334,0.036321497
1335,0.087184933
1336,0.17052111
1337,0.28460995
1338,0.37037936
1339,0.3984104
1340,0.40246207
1341,0.4034463
1342,0.38700851
1343,0.34211419
1344,0.31159132
1345,0.33673107
1346,0.41603843
1347,0.54769748
1348,0.66274835
1349,0.65717112
1350,0.58935486
1351,0.56965167
1352,0.58596016
1353,0.60514244
1354,0.61711868
1355,0.59739498
1356,0.56250186
1357,0.57385283
1358,0.62686816
1359,0.68066022
1360,0.72779191
1361,0.75317892
1362,0.75462739
1363,0.75620215
1364,0.80973389
1365,0.88995085
1366,0.92560574
1367,0.91370962
1368,0.85682277
1369,0.77454537
1370,0.74416975
1371,0.75708729
1372,0.73094428
1373,0.66856495
1374,0.6575397
1375,0.70018509
1376,0.69281507
1377,0.6174092
1378,0.52257526
1379,0.42587093
1380,0.39271847
1381,0.43945836
1382,0.44945061
1383,0.37797232
1384,0.32042034
1385,0.32368012
1386,0.34678491
1387,0.36470054
1388,0.37525161
1389,0.35700958
1390,0.30559904
1391,0.23563866
1392,0.15236705
1393,0.068340589
1394,-0.00961368
1395,-0.020461683
1396,0.063127822
1397,0.16062261
1398,0.22520599
1399,0.21601507
1400,0.10398818
1401,-0.023662646
1402,-0.089375281
1403,-0.11541954
1404,-0.12679832
1405,-0.10684945
1406,-0.032208108
1407,0.42985934
1408,0.50648082
1409,0.62539167
1410,0.64685212
1411,0.61348951
1412,0.59371125
1413,0.58015687
1414,0.55680328
1415,0.53954201
1416,0.56727777
1417,0.63133611
1418,0.70147501
1419,0.76807533
1420,0.80358827
1421,0.8074776
1422,0.7883228
1423,0.75594293
1424,0.75925898
1425,0.80171981
1426,0.85432097
1427,0.90676191
1428,0.91613195
1429,0.87918452
1430,0.88560935
1431,0.95941182
1432,1.0491833
1433,1.1343227
1434,1.1686768
1435,1.1345924
1436,1.1833324
1437,1.3975021
1438,1.6795779
1439,1.9631768
1440,2.1956237
1441,2.332386
1442,2.503209
1443,2.8464421
1444,3.3573493
1445,3.9209388
1446,4.4872441
1447,5.0183915
1448,5.4959166
1449,6.0324603
1450,6.700122
1451,7.4268032
1452,8.1551055
1453,8.7647984
1454,9.1355577
1455,9.1117297
1456,8.4975128
1457,7.4446612
1458,6.1908162
1459,4.8974814
1460,3.8689859
1461,3.1185344
1462,2.6594979
1463,2.418791
1464,2.1847089
1465,1.9423329
1466,1.6856867
1467,1.44002
1468,1.317875
1469,1.3288767
1470,1.4537987
1471,1.6647463
1472,1.788214
1473,1.8020633
1474,1.8066472
1475,1.8220732
1476,1.8011671
1477,1.732422
1478,1.6574067
1479,1.59267
1480,1.577663
1481,1.6292365
1482,1.7183446
1483,1.8288847
1484,1.9266752
1485,1.9888395
1486,2.0023372
1487,1.9563374
1488,1.9203675
1489,1.9672132
1490,2.0353577
1491,2.044095
1492,2.1018999
1493,2.3854143
1494,2.7586974
1495,2.9458712
1496,3.040828
1497,3.291289
1498,3.7084731
1499,4.2293382
1500,4.7919636
1501,5.358639
1502,5.8827492
1503,6.5349851
1504,7.5773551
1505,8.8451101
1506,10.022012
1507,11.089544
1508,12.022092
1509,12.836591
1510,13.583861
1511,14.240233
1512,14.712785
1513,15.067238
1514,15.619735
1515,16.387267
1516,17.26715
1517,18.286553
1518,19.734153
1519,21.690684
1520,24.389789
1521,27.911513
1522,32.554448
1523,38.341193
1524,44.200194
1525,49.671643
1526,52.776579
1527,52.6352
1528,48.521856
1529,40.075794
1530,29.867443
1531,19.590865
1532,10.930737
1533,5.2619103
1534,1.9929662
1535,0.51614468
1536,0.17026027
1537,0.10290552
1538,0.1965126
1539,0.26871387
1540,0.33203726
1541,0.41570135
1542,0.51073018
1543,0.593714
1544,0.64556601
1545,0.61316481
1546,0.52605361
1547,0.50350047
1548,0.5399115
1549,0.56197517
1550,0.56082312
1551,0.53621908
1552,0.48812632
1553,0.43845872
1554,0.43705908
1555,0.47001637
1556,0.49323367
1557,0.51280802
1558,0.55844949
1559,0.61869725
1560,0.63475502
1561,0.6133966
1562,0.62493548
1563,0.66814512
1564,0.66656047
1565,0.61879467
1566,0.63511757
1567,0.72908949
1568,0.76279321
1569,0.70310516
1570,0.65167695
1571,0.64471604
1572,0.69599107
1573,0.80881675
1574,0.87544652
1575,0.84029836
1576,0.79746075
1577,0.8076508
1578,0.83139255
1579,0.83702937
1580,0.84292308
1581,0.86759402
1582,0.88676527
1583,0.86967572
1584,0.83310265
1585,0.80355635
1586,0.78376778
1587,0.77838958
1588,0.77941553
1589,0.76764351
1590,0.72858551
1591,0.62265957
1592,0.48027108
1593,0.41841371
1594,0.42704632
1595,0.41656741
1596,0.37792731
1597,0.31943684
1598,0.24708773
1599,0.19395865
1600,0.16251313
1601,0.11697765
1602,0.047342458
1603,-0.063611058
1604,-0.21447979
1605,-0.29154273
1606,-0.25334853
1607,-0.19677269
1608,0.83613619
1609,0.9403795
1610,0.96506597
1611,0.95430171
1612,0.90653794
1613,0.8118869
1614,0.66972638
1615,0.62282113
1616,0.83954266
1617,1.0950422
1618,1.0611237
1619,0.85649046
1620,0.69805317
1621,0.6156661
1622,0.66497807
1623,0.79719525
1624,0.87806467
1625,0.91870776
1626,0.97815283
1627,1.0594121
1628,1.1566681
1629,1.2538415
1630,1.2753926
1631,1.2208855
1632,1.1492028
1633,1.078001
1634,1.0669731
1635,1.1229451
1636,1.1867939
1637,1.2461463
1638,1.3433046
1639,1.4917808
1640,1.6723524
1641,1.7996843
1642,1.8640248
1643,1.8677053
1644,1.8243091
1645,1.8260594
1646,1.8937792
1647,2.0552835
1648,2.3047177
1649,2.4921881
1650,2.5823187
1651,2.7169899
1652,2.9434866
1653,3.178011
1654,3.3826714
1655,3.4937073
1656,3.4785722
1657,3.4391032
1658,3.4409103
1659,3.4244285
1660,3.3422377
1661,3.2490255
1662,3.1991384
1663,3.1852634
1664,3.1983207
1665,3.2369295
1666,3.2564604
1667,3.2374869
1668,3.3147335
1669,3.5668627
1670,3.8401636
1671,4.0232354
1672,4.2219324
1673,4.5314654
1674,4.9457412
1675,5.4578881
1676,6.0518822
1677,6.7053375
1678,7.4013689
1679,8.1112909
1680,8.7186863
1681,8.9812455
1682,8.843435
1683,8.1833741
1684,7.1695181
1685,6.3422331
1686,5.755941
1687,5.4712754
1688,5.4535141
1689,5.5131272
1690,5.6260877
1691,5.8440481
