Time,root.GunPointOldVersusYoung.d0.s0
140,256.31135
141,246.87071
142,237.45856
143,230.15337
144,229.09487
145,231.29132
146,238.20686
147,244.92482
148,249.38493
149,251.24661
150,238.23308
151,245.27859
152,250.95629
153,252.29314
154,251.56782
155,250.2145
156,249.826
157,249.76241
158,250.60131
159,251.18397
160,252.35268
161,252.55732
162,252.36865
163,252.51438
164,252.73377
165,254.22117
166,257.52332
167,263.21758
168,273.13488
169,282.49368
170,288.18376
171,292.02111
172,293.02114
173,293.77327
174,292.0666
175,291.11196
176,291.77146
177,293.02276
178,295.54184
179,297.61053
180,299.59265
181,301.57862
182,304.06604
183,310.14508
184,325.0708
185,338.91279
186,356.27684
187,375.22571
188,391.92627
189,406.43459
190,420.44307
191,432.12144
192,442.00464
193,451.81352
194,460.16311
195,467.57673
196,473.89064
197,479.21227
198,482.54279
199,484.91667
200,486.09927
201,486.24958
202,486.74251
203,486.88731
204,486.59079
205,486.44719
206,486.68282
207,487.26087
208,487.00846
209,487.04992
210,487.04924
211,487.04979
212,486.42119
213,485.80427
214,486.02522
215,485.56785
216,485.87962
217,485.55187
218,485.51902
219,485.83962
220,485.52682
221,485.11535
222,485.12468
223,484.70918
224,484.95819
225,484.77292
226,484.87261
227,484.99157
228,484.59156
229,484.68739
230,484.55105
231,484.62681
232,484.7225
233,484.23083
234,483.57468
235,483.47815
236,482.7515
237,481.96374
238,480.02456
239,477.70559
240,473.23798
241,466.59136
242,457.56971
243,446.58603
244,434.379
245,420.02574
246,404.64549
247,389.05922
248,375.22497
249,359.05047
250,344.56085
251,331.91643
252,319.54391
253,308.62097
254,300.42753
255,293.8823
256,289.44598
257,286.03648
258,283.95409
259,283.36568
260,282.93608
261,282.84242
262,282.88033
263,282.03546
264,281.12318
265,280.2502
266,279.19514
267,278.72088
268,278.35098
269,278.03065
270,278.02177
271,278.23562
272,277.2287
273,276.67554
274,276.61949
275,276.6586
276,276.184
277,275.71748
278,273.85953
279,271.35914
280,266.62208
281,259.14955
282,250.63929
283,241.12528
284,233.77456
285,231.43647
286,232.69879
287,236.84097
288,242.74269
289,246.55122
290,249.6232
291,251.11628
292,251.48079
293,251.06927
294,251.65147
295,251.82042
296,253.26296
297,253.9
298,254.19453
299,253.81055
300,297.55606
301,297.53073
302,297.28111
303,297.07004
304,297.14329
305,297.12595
306,297.11916
307,296.94721
308,296.97385
309,296.66915
310,296.73952
311,296.54224
312,296.50379
313,296.41239
314,296.55
315,296.55015
316,296.58094
317,296.47734
318,296.43891
319,296.37009
320,296.38066
321,296.41379
322,296.39549
323,296.5295
324,296.40804
325,296.40211
326,296.28205
327,296.18976
328,296.47235
329,300.5721
330,308.48864
331,322.59487
332,342.88064
333,364.30882
334,388.67143
335,411.66525
336,432.28782
337,451.5336
338,464.72296
339,473.46833
340,478.76752
341,481.85066
342,482.49568
343,482.25273
344,481.04479
345,479.26988
346,478.01164
347,477.62228
348,477.63562
349,478.38079
350,478.60978
351,478.57466
352,478.44599
353,478.59955
354,478.30254
355,479.24537
356,479.14186
357,479.31429
358,479.38211
359,479.293
360,479.42857
361,478.70732
362,478.922
363,479.59529
364,478.8093
365,478.23488
366,477.71649
367,477.80283
368,477.7976
369,477.99516
370,477.63081
371,477.51095
372,477.3694
373,477.85122
374,477.51474
375,477.84709
376,478.14713
377,477.93599
378,478.13669
379,478.50058
380,478.48372
381,478.59882
382,478.76331
383,478.86864
384,478.8054
385,479.125
386,479.12107
387,479.80379
388,479.38933
389,479.59389
390,479.90509
391,479.07356
392,479.1778
393,479.19069
394,479.40221
395,479.25257
396,478.82346
397,479.56059
398,479.2695
399,479.60964
400,478.90555
401,480.028
402,479.64023
403,478.66152
404,478.29412
405,476.8558
406,473.63019
407,471.82872
408,468.28869
409,465.29056
410,461.58891
411,454.92916
412,446.91234
413,437.4383
414,425.91796
415,409.10913
416,389.18609
417,365.7271
418,344.04487
419,323.27923
420,307.02549
421,292.81365
422,284.96516
423,282.64113
424,281.70683
425,281.93039
426,282.97305
427,284.80966
428,288.29651
429,291.11161
430,294.05095
431,295.57669
432,295.8806
433,296.35651
434,295.96637
435,295.78863
436,295.68017
437,295.04179
438,294.5
439,294.77539
440,294.92938
441,295.18625
442,295.30057
443,295.41007
444,295.51618
445,295.38944
446,295.49713
447,295.48629
448,295.42219
449,295.60426
450,294.55306
451,294.56613
452,294.45652
453,294.62169
454,294.77691
455,294.73511
456,294.67651
457,294.75355
458,295.09305
459,294.9147
460,295.044
461,294.99465
462,295.22953
463,295.4148
464,295.53533
465,296.43179
466,299.18278
467,305.73737
468,316.41351
469,331.27158
470,350.92576
471,371.60882
472,393.96997
473,417.14947
474,435.54035
475,453.5625
476,465.43596
477,473.93701
478,479.83079
479,482.96053
480,485.72892
481,486.06087
482,487.35187
483,486.87201
484,488.05496
485,488.47017
486,489.24571
487,489.92841
488,490.75566
489,491.05771
490,490.78474
491,490.48886
492,490.30989
493,490.07532
494,491.40568
495,490.65802
496,491.19306
497,491.29115
498,490.8951
499,491.34768
500,491.82274
501,492.14397
502,492.23516
503,492.22084
504,491.91844
505,491.94589
506,491.90498
507,492.34607
508,492.66404
509,492.50111
510,492.72472
511,491.90146
512,492.34762
513,493.59672
514,493.45558
515,493.30884
516,493.04444
517,494.07785
518,494.28294
519,493.31373
520,493.25112
521,492.72717
522,492.66215
523,492.99321
524,493.31678
525,493.41136
526,492.88528
527,493.34646
528,493.27098
529,492.56948
530,492.3318
531,492.0879
532,492.38047
533,491.7561
534,492.02638
535,491.59343
536,490.41592
537,489.91154
538,488.01607
539,486.24831
540,482.62654
541,480.65648
542,475.89923
543,471.63342
544,467.08508
545,461.40163
546,456.12903
547,451.52828
548,444.83709
549,437.45092
550,427.30496
551,416.93723
552,403.60085
553,390.29148
554,375.01117
555,360.29191
556,344.92
557,329.8
558,317.33862
559,307.02997
560,298.95777
561,294.97693
562,293.9946
563,293.9199
564,295.44011
565,297.03733
566,298.64481
567,300.0764
568,300.90449
569,301.20134
570,301.26236
571,301.17557
572,300.95089
573,300.625
574,300.27224
575,300.01862
576,299.77344
577,299.30508
578,299.35799
579,299.37436
580,299.40551
581,299.56701
582,299.51771
583,299.44809
584,299.13695
585,299.312
586,299.42133
587,299.46577
588,299.41138
589,299.3623
590,299.31201
591,299.39547
592,299.20368
593,299.56707
594,299.49194
595,299.30677
596,299.51279
597,299.60468
598,299.62466
599,299.4692
600,292.89845
601,293.03899
602,293.23467
603,293.3872
604,293.59936
605,293.89366
606,293.94111
607,294.07804
608,293.88144
609,293.99572
610,293.97792
611,294.06936
612,294.25054
613,293.9822
614,294.1672
615,294.18372
616,294.21333
617,294.17209
618,294.43547
619,294.42872
620,294.294
621,294.2827
622,294.38826
623,294.32452
624,294.50572
625,294.90632
626,294.8797
627,294.7931
628,294.90511
629,294.80106
630,294.8847
631,294.65933
632,295.1268
633,295.2086
634,295.53094
635,295.8988
636,296.24917
637,297.69405
638,300.5565
639,306.78226
640,316.95437
641,336.75353
642,357.33131
643,376.57449
644,396.07823
645,410.63126
646,421.88497
647,429.42838
648,438.78814
649,452.62367
650,471.0056
651,490.6078
652,511.2376
653,528.36105
654,539.73768
655,541.39549
656,541.37658
657,542.43904
658,542.55698
659,540.9474
660,540.8961
661,541.48428
662,540.55714
663,540.97782
664,541.02289
665,541.00883
666,540.46452
667,540.73667
668,539.79556
669,539.83366
670,540.10343
671,538.77569
672,532.79987
673,522.39537
674,508.58426
675,493.07847
676,477.36253
677,463.36792
678,448.4956
679,430.59839
680,409.70412
681,383.98401
682,357.85951
683,336.68554
684,312.63191
685,297.33857
686,285.48459
687,280.06902
688,279.25106
689,280.08564
690,282.439
691,284.24225
692,285.58487
693,286.41141
694,287.20942
695,287.74646
696,288.52412
697,289.63095
698,290.97191
699,292.97309
700,295.01249
701,297.41322
702,299.05114
703,299.52349
704,299.28446
705,298.48871
706,297.40757
707,296.02746
708,294.58268
709,293.52296
710,292.97101
711,292.59548
712,292.44734
713,292.39421
714,292.50441
715,292.5431
716,292.55066
717,292.32071
718,292.63697
719,292.10706
720,291.88751
721,291.73214
722,291.72697
723,291.28899
724,291.29425
725,290.77459
726,290.28791
727,289.83407
728,289.41057
729,288.76855
730,288.70917
731,288.16774
732,288.01737
733,287.70043
734,287.71473
735,287.53927
736,287.47166
737,287.47107
738,287.55414
739,287.8539
740,287.76652
741,288.38389
742,288.86446
743,289.45105
744,290.02589
745,290.61556
746,291.03733
747,291.5673
748,292.12584
749,292.40965
750,298.4502
751,298.31378
752,298.17639
753,298.38289
754,298.28451
755,298.50919
756,298.59422
757,298.58368
758,298.77324
759,298.70056
760,298.89227
761,298.74322
762,298.75698
763,298.71831
764,298.75448
765,298.57945
766,298.76923
767,299.89665
768,304.67236
769,314.53263
770,329.71919
771,351.18037
772,374.8007
773,400.50211
774,426.61224
775,446.34356
776,466.53252
777,479.34951
778,489.08904
779,495.5
780,497.82247
781,500.74565
782,500.84505
783,501.75173
784,502.03497
785,500.73923
786,502.75641
787,501.5163
788,502.89968
789,502.69617
790,502.6287
791,502.84091
792,502.73656
793,503.0912
794,503.4964
795,502.14381
796,501.7593
797,501.44625
798,502.22065
799,502.0379
800,501.66484
801,501.75725
802,501.63916
803,501.66188
804,501.49777
805,501.97917
806,501.38771
807,501.43951
808,501.62873
809,501.04494
810,501.52418
811,501.53906
812,501.41928
813,501.38945
814,501.50941
815,501.61068
816,501.70754
817,501.46171
818,501.39096
819,501.55307
820,501.32594
821,501.38058
822,501.50277
823,501.18874
824,500.75366
825,500.438
826,500.88677
827,501.18337
828,501.28464
829,501.06923
830,500.92536
831,500.79204
832,500.73865
833,500.75892
834,500.59711
835,500.2816
836,500.61147
837,500.52108
838,500.64699
839,500.29876
840,500.13237
841,500.22848
842,499.80361
843,500.47154
844,500.09861
845,500.24466
846,500.57189
847,500.40109
848,500.33902
849,500.27669
850,500.23258
851,499.8627
852,499.83225
853,500.05978
854,499.87019
855,499.80444
856,499.53504
857,499.33297
858,499.33931
859,498.88082
860,499.09966
861,499.01806
862,498.8185
863,499.32664
864,498.31488
865,498.70177
866,498.23259
867,497.98235
868,498.15966
869,496.30569
870,494.05096
871,490.15747
872,487.71705
873,482.58835
874,477.94695
875,469.1194
876,461.54061
877,450.53988
878,440.10227
879,425.14958
880,408.92267
881,389.7175
882,370.14773
883,351.25366
884,331.65636
885,315.00614
886,301.4544
887,291.54493
888,286.40415
889,284.38586
890,284.61235
891,286.24605
892,288.91092
893,291.79518
894,295.59542
895,296.72945
896,298.88889
897,299.88924
898,300.4491
899,300.75762
900,297.025
901,296.9186
902,297.12231
903,297.14286
904,296.90536
905,297.14626
906,296.99677
907,297.13961
908,297.06785
909,296.98551
910,296.92173
911,296.83495
912,296.8864
913,296.56373
914,296.89789
915,296.86875
916,296.86349
917,296.69106
918,296.64286
919,296.71298
920,296.76518
921,296.96223
922,296.78347
923,296.94165
924,296.57026
925,300.00506
926,304.63953
927,314.70766
928,330.46358
929,350.60125
930,371.70779
931,394.40458
932,416.91342
933,436.73563
934,453.71915
935,466.45874
936,477.29873
937,481.84281
938,486.66709
939,488.38642
940,488.10011
941,489.02961
942,488.47283
943,487.76996
944,487.5
945,487.35005
946,487.98937
947,488.18575
948,488.26856
949,488.29621
950,488.17215
951,488.20742
952,488.17377
953,488.02455
954,487.31124
955,487.27077
956,487.11612
957,487.27006
958,486.70853
959,486.36416
960,486.1608
961,486.62251
962,486.40556
963,486.68265
964,486.35502
965,486.40883
966,486.40292
967,485.78366
968,485.73988
969,486.01368
970,485.72623
971,486.02373
972,485.77356
973,485.95713
974,485.60478
975,485.47006
976,485.51696
977,485.40525
978,485.09907
979,485.19977
980,485.73151
981,485.56621
982,485.2631
983,485.69896
984,485.60345
985,485.69134
986,485.71249
987,485.32794
988,485.24569
989,485.32093
990,483.33413
991,481.85272
992,481.9136
993,480.08119
994,478.04267
995,473.93503
996,472.45177
997,470.03156
998,465.27549
999,460.19876
1000,453.10111
1001,445.00488
1002,435.86167
1003,424.4258
1004,410.83396
1005,396.43366
1006,380.63492
1007,365.55659
1008,352.09964
1009,338.24477
1010,325.53939
1011,315.87191
1012,307.25526
1013,300.66035
1014,296.07571
1015,293.38682
1016,292.67883
1017,292.67251
1018,293.08889
1019,294.43006
1020,296.04726
1021,296.79012
1022,297.44049
1023,298.09063
1024,298.21884
1025,298.21772
1026,298.67057
1027,298.65698
1028,298.73631
1029,298.85405
1030,298.74058
1031,298.86255
1032,298.82779
1033,299.02541
1034,299.01023
1035,298.93469
1036,299.01196
1037,298.82256
1038,298.82202
1039,298.79279
1040,298.63135
1041,298.59407
1042,298.5932
1043,298.30059
1044,298.4329
1045,298.58357
1046,298.61816
1047,298.30781
1048,298.75972
1049,298.55029
1050,293.82495
1051,296.01496
1052,297.25295
1053,298.63548
1054,299.73557
1055,299.94162
1056,300.32293
1057,300.53614
1058,300.48105
1059,300.46249
1060,300.43523
1061,300.47482
1062,300.43268
1063,300.36251
1064,300.34519
1065,300.33888
1066,300.21421
1067,300.2423
1068,300.07427
1069,299.90219
1070,299.81361
1071,299.60581
1072,299.34342
1073,299.41693
1074,299.18973
1075,299.17053
1076,299.33642
1077,300.01965
1078,302.15854
1079,307.96643
1080,315.87863
1081,327.2101
1082,342.96301
1083,364.15298
1084,385.03041
1085,405.90595
1086,425.90755
1087,443.30037
1088,458.79365
1089,471.06149
1090,479.99466
1091,486.23877
1092,489.79078
1093,492.44681
1094,494.1246
1095,494.6419
1096,496.15841
1097,496.03063
1098,497.72381
1099,496.73486
1100,497.12475
1101,497.21012
1102,497.40469
1103,497.7311
1104,497.18787
1105,497.74314
1106,496.82394
1107,496.92218
1108,496.89318
1109,497.05113
1110,497.28168
1111,497.07444
1112,496.82456
1113,496.52884
1114,496.33786
1115,495.31751
1116,495.20837
1117,494.8224
1118,495.25816
1119,494.54778
1120,494.64187
1121,494.52693
1122,494.67758
1123,494.26263
1124,494.1692
1125,494.27027
1126,494.36573
1127,493.62373
1128,493.55045
1129,493.15726
1130,493.6288
1131,493.53568
1132,493.76723
1133,493.44668
1134,493.49704
1135,493.25449
1136,493.45783
1137,493.48793
1138,493.46821
1139,492.87396
1140,493.05775
1141,493.12955
1142,492.68987
1143,492.4043
1144,492.78721
1145,492.8286
1146,492.84075
1147,492.92549
1148,492.70069
1149,492.92144
1150,493.08913
1151,492.85361
1152,492.98798
1153,493.54873
1154,492.66068
1155,493.02592
1156,492.90354
1157,492.99213
1158,493.30119
1159,493.32365
1160,493.00805
1161,493.31917
1162,492.7714
1163,492.82738
1164,493.00101
1165,492.96593
1166,492.88735
1167,493.13618
1168,492.48061
1169,492.89157
1170,492.73043
1171,493.56207
1172,493.60359
1173,492.56958
1174,492.85479
1175,492.2197
1176,491.53447
1177,491.19085
1178,489.66566
1179,488.11881
1180,485.82945
1181,483.77195
1182,481.35249
1183,478.36732
1184,474.18806
1185,468.04922
1186,460.10169
1187,449.48338
1188,435.68793
1189,420.47591
1190,401.37812
1191,380.88235
1192,360.21939
1193,339.87284
1194,323.4959
1195,310.22286
1196,298.60554
1197,292.4023
1198,289.62222
1199,288.88038
1200,345.21866
1201,344.5435
1202,342.88198
1203,341.85525
1204,340.9937
1205,339.7487
1206,339.38427
1207,338.9713
1208,338.49185
1209,338.75744
1210,339.3275
1211,340.13805
1212,341.17793
1213,342.75518
1214,344.14171
1215,345.25377
1216,345.73126
1217,346.4116
1218,346.66321
1219,346.82325
1220,346.79282
1221,346.01199
1222,345.49632
1223,344.80466
1224,343.2231
1225,342.65025
1226,342.10567
1227,341.83348
1228,341.59184
1229,341.40687
1230,341.29432
1231,341.19494
1232,341.05868
1233,340.71369
1234,340.14087
1235,339.6472
1236,339.32026
1237,339.17353
1238,338.94631
1239,338.64752
1240,338.60031
1241,338.57845
1242,338.63947
1243,339.36013
1244,340.25
1245,343.31729
1246,349.45855
1247,359.49462
1248,383.24862
1249,383.24862
1250,383.24862
1251,383.24862
1252,449.9476
1253,467.48671
1254,481.64878
1255,495.50389
1256,510.0251
1257,521.92231
1258,532.26977
1259,536.86226
1260,540.19551
1261,539.57579
1262,540.75216
1263,542.05952
1264,544.59497
1265,545.67503
1266,545.89895
1267,548.02295
1268,548.56121
1269,548.68825
1270,549.98075
1271,548.63687
1272,548.79786
1273,548.8081
1274,548.33443
1275,549.02439
1276,548.89806
1277,548.29224
1278,545.79587
1279,545.42714
1280,543.0102
1281,539.06326
1282,534.03099
1283,528.12951
1284,519.85695
1285,510.80952
1286,499.71546
1287,487.95935
1288,476.89702
1289,467.31973
1290,458.61905
1291,451.34755
1292,443.79702
1293,435.83732
1294,428.4597
1295,418.28358
1296,401.32843
1297,384.46746
1298,370.96605
1299,356.57521
1300,344.34312
1301,334.88021
1302,327.73503
1303,323.66275
1304,322.30634
1305,322.67474
1306,324.73343
1307,327.46737
1308,329.69944
1309,331.50585
1310,332.74028
1311,333.26742
1312,333.16409
1313,333.31094
1314,333.29664
1315,333.20495
1316,333.46865
1317,333.9421
1318,334.50039
1319,334.87774
1320,335.72544
1321,335.93794
1322,336.15373
1323,336.33333
1324,336.53225
1325,336.59905
1326,336.86169
1327,337.04582
1328,337.2557
1329,337.45122
1330,337.67926
1331,338.19492
1332,338.79887
1333,339.30025
1334,339.63786
1335,339.96518
1336,340.42222
1337,340.67875
1338,340.80898
1339,341.06516
1340,341.066
1341,341.04211
1342,341.03719
1343,341.05757
1344,341.09606
1345,341.06689
1346,341.05363
1347,341.11774
1348,341.22371
1349,341.13263
1350,265.89713
1351,265.90178
1352,265.96715
1353,266.16753
1354,266.03533
1355,266.08582
1356,266.12233
1357,266.18818
1358,266.23654
1359,266.27998
1360,266.25615
1361,266.50721
1362,266.58487
1363,266.5334
1364,266.53636
1365,266.58402
1366,266.65287
1367,266.60876
1368,266.86657
1369,266.9197
1370,267.03274
1371,267.11029
1372,267.12111
1373,267.60051
1374,270.21891
1375,272.98651
1376,276.49307
1377,278.34117
1378,279.07438
1379,279.84675
1380,278.86128
1381,278.2861
1382,278.91922
1383,281.19659
1384,283.47318
1385,284.9796
1386,285.66194
1387,285.90561
1388,287.30608
1389,291.04562
1390,298.57674
1391,310.9189
1392,326.17614
1393,345.75946
1394,368.89635
1395,388.57143
1396,408.23731
1397,426.09301
1398,443.03138
1399,459.26312
1400,474.91213
1401,487.05961
1402,493.44909
1403,497.33777
1404,498.66611
1405,498.84044
1406,498.9554
1407,499.20593
1408,499.53318
1409,499.44629
1410,499.36053
1411,499.49171
1412,499.54148
1413,499.35471
1414,499.16441
1415,499.48732
1416,499.17038
1417,499.12924
1418,498.89995
1419,497.86154
1420,496.41907
1421,493.63184
1422,487.84723
1423,479.69226
1424,469.59736
1425,457.35705
1426,443.88141
1427,429.56792
1428,415.70545
1429,401.92401
1430,389.08135
1431,374.97542
1432,361.26733
1433,348.28112
1434,335.79402
1435,324.50038
1436,314.93708
1437,306.51145
1438,300.55759
1439,296.42976
1440,293.21729
1441,291.15112
1442,289.90889
1443,289.23027
1444,288.9397
1445,288.55957
1446,288.47847
1447,287.78373
1448,287.28901
1449,286.69964
1450,286.61127
1451,286.71835
1452,286.96247
1453,287.31736
1454,288.13403
1455,289.25236
1456,290.83613
1457,292.33111
1458,293.36369
1459,292.27077
1460,289.69302
1461,286.67846
1462,282.76393
1463,278.70868
1464,275.1119
1465,272.46788
1466,270.43802
1467,269.10191
1468,268.59653
1469,268.45235
1470,268.32633
1471,268.37324
1472,268.62126
1473,268.98839
1474,269.52424
1475,270.17755
1476,270.30741
1477,270.3513
1478,270.40696
1479,270.27661
1480,270.11432
1481,269.92426
1482,269.88835
1483,270.06964
1484,270.06643
1485,270.49246
1486,270.64555
1487,270.99451
1488,271.3156
1489,271.71796
1490,272.13823
1491,272.43516
1492,272.89385
1493,273.04576
1494,273.00244
1495,273.01169
1496,273.27475
1497,273.2362
1498,273.33559
1499,273.48892
1500,251.53148
1501,250.86548
1502,250.66531
1503,251.05681
1504,251.26409
1505,252.40889
1506,252.85929
1507,252.97983
1508,252.91614
1509,252.77577
1510,252.91676
1511,252.77838
1512,253.22873
1513,252.92282
1514,253.38033
1515,255.19572
1516,260.10277
1517,268.75788
1518,277.41847
1519,284.75382
1520,288.54223
1521,291.69121
1522,292.53629
1523,291.28821
1524,290.76808
1525,290.90428
1526,292.02789
1527,293.19172
1528,293.07829
1529,294.7733
1530,295.91632
1531,297.60227
1532,300.02448
1533,305.39401
1534,316.42415
1535,332.67593
1536,350.75
1537,370.75481
1538,387.99286
1539,405.94495
1540,419.25473
1541,431.79037
1542,442.53384
1543,452.12942
1544,460.96749
1545,468.59321
1546,475.33838
1547,480.5582
1548,483.8248
1549,486.11254
1550,487.20586
1551,488.52048
1552,488.02657
1553,489.27383
1554,489.663
1555,490.42707
1556,490.14996
1557,490.94768
1558,491.11538
1559,491.85304
1560,491.89407
1561,492.02146
1562,492.00791
1563,491.88811
1564,492.21529
1565,492.0625
1566,492.02558
1567,492.30324
1568,492.04939
1569,492.30532
1570,491.91645
1571,492.39633
1572,492.36788
1573,492.45941
1574,492.57204
1575,492.70025
1576,492.65866
1577,492.7316
1578,492.37708
1579,492.56379
1580,492.97502
1581,492.44746
1582,492.8662
1583,493.04663
1584,492.51243
1585,492.15813
1586,491.20265
1587,488.23519
1588,484.51977
1589,479.14991
1590,471.80634
1591,463.7125
1592,453.08451
1593,440.75918
1594,427.57286
1595,414.12167
1596,399.53774
1597,385.76701
1598,371.59218
1599,357.52061
1600,344.53246
1601,332.75651
1602,321.92164
1603,311.81244
1604,304.0195
1605,297.33454
1606,293.52627
1607,290.26002
1608,287.39411
1609,285.56305
1610,282.90169
1611,281.07598
1612,279.72329
1613,278.19955
1614,277.11136
1615,275.96835
1616,275.59053
1617,274.9658
1618,275.00893
1619,274.80174
1620,274.21118
1621,274.22169
1622,274.68018
1623,275.01133
1624,274.62353
1625,274.0325
1626,273.40969
1627,271.65994
1628,268.66603
1629,263.63485
1630,256.34187
1631,246.93652
1632,237.38749
1633,230.31679
1634,229.56725
1635,233.5
1636,239.19685
1637,244.94415
1638,247.15082
1639,247.44572
1640,247.04162
1641,246.96653
1642,247.43309
1643,248.9336
1644,250.13584
1645,250.51366
1646,250.40996
1647,250.14149
1648,250.35095
1649,250.45378
1650,258.79627
1651,258.68005
1652,258.56718
1653,258.58443
1654,258.63208
1655,258.57143
1656,258.53661
1657,258.1939
1658,258.24606
1659,258.2158
1660,258.11348
1661,257.81504
1662,257.93168
1663,257.85476
1664,257.55233
1665,257.86682
1666,259.1351
1667,262.30103
1668,267.40935
1669,273.76407
1670,279.77586
1671,284.13542
1672,287.19707
1673,289.06347
1674,289.66222
1675,289.16761
1676,290.53261
1677,292.28483
1678,292.67826
1679,293.54378
1680,294.65466
1681,295.81294
1682,296.12593
1683,297.09761
1684,299.41622
1685,303.66869
1686,311.58154
1687,322.3114
1688,335.09195
1689,352.22936
1690,368.34831
1691,384.7375
1692,401.12834
1693,415.13376
1694,428.84467
1695,440.24625
1696,451.47664
1697,459.96863
1698,465.22388
1699,470.42652
1700,473.32402
1701,474.63959
1702,475.41328
1703,476.04736
1704,476.45692
1705,476.73572
1706,476.77184
1707,476.78212
1708,477.16981
1709,476.78923
1710,477.25876
1711,477.53887
1712,477.54021
1713,477.44581
1714,477.17968
1715,477.38783
1716,476.95081
1717,476.63162
1718,476.7814
1719,476.73465
1720,476.51192
1721,476.1652
1722,476.08441
1723,475.93258
1724,476.30428
1725,475.99608
1726,476.05462
1727,476.56305
1728,476.80016
1729,476.48315
1730,476.54691
1731,476.73871
1732,476.69766
1733,476.8619
1734,476.87025
1735,476.67142
1736,476.6008
1737,476.19794
1738,475.04207
1739,473.92389
1740,470.97977
1741,466.18614
1742,460.04213
1743,451.99427
1744,442.93327
1745,429.8214
1746,416.29605
1747,403.50378
1748,389.75266
1749,376.79894
1750,364.89764
1751,347.46639
1752,335.62607
1753,324.37234
1754,314.54784
1755,303.3044
1756,299.39695
1757,294.18846
1758,290.05859
1759,289.13873
1760,288.44728
1761,287.85316
1762,287.69515
1763,287.44467
1764,287.68191
1765,286.46802
1766,285.10165
1767,284.82317
1768,284.48421
1769,283.44503
1770,282.5168
1771,280.73637
1772,278.73154
1773,277.0494
1774,270.92072
1775,265.63707
1776,261.18276
1777,255.50508
1778,252.02347
1779,251.46619
1780,251.99793
1781,252.7409
1782,253.52
1783,254.40845
1784,256.02884
1785,256.82416
1786,257.50751
1787,258.04483
1788,258.51367
1789,258.52759
1790,258.46514
1791,259.00926
1792,259.10216
1793,259.38667
1794,259.31991
1795,259.0625
1796,259.1768
1797,259.37329
1798,259.40271
1799,259.27403
1800,256.43258
1801,256.51652
1802,256.45623
1803,256.43772
1804,256.32338
1805,256.34105
1806,256.3994
1807,256.41057
1808,256.44741
1809,256.47669
1810,256.43784
1811,256.53089
1812,256.52367
1813,256.64314
1814,256.833
1815,256.94529
1816,257.34862
1817,257.52085
1818,257.91825
1819,258.10547
1820,258.06017
1821,258.07998
1822,258.11195
1823,258.1422
1824,258.23174
1825,258.22099
1826,258.38165
1827,258.68379
1828,259.76547
1829,262.19722
1830,266.62237
1831,270.5083
1832,272.72238
1833,273.49037
1834,273.45089
1835,272.3838
1836,271.42916
1837,272.39979
1838,273.15175
1839,275.85266
1840,278.17358
1841,280.63908
1842,284.28013
1843,290.77478
1844,300.85536
1845,309.33051
1846,324.14815
1847,349.55233
1848,372.43325
1849,393.93492
1850,416.82409
1851,437.95618
1852,456.90089
1853,474.77812
1854,490.69856
1855,501.79585
1856,507.18577
1857,509.93942
1858,510.20702
1859,511.28983
1860,510.42584
1861,511.10704
1862,511.08123
1863,511.25133
1864,510.61151
1865,510.7852
1866,510.63366
1867,510.28054
1868,508.96059
1869,509.18165
1870,507.78924
1871,507.44014
