Time,root.GunPoint.d0.s0
457,-0.74508159
458,-0.74572743
459,-0.74581502
460,-0.74598911
461,-0.74568185
462,-0.74569998
463,-0.74561675
464,-0.74634602
465,-0.74563756
466,-0.74554026
467,-0.74488431
468,-0.74483576
469,-0.74605927
470,-0.7442893
471,-0.74481059
472,-0.745005
473,-0.74428445
474,-0.74262576
475,-0.74215639
476,-0.74119754
477,-0.74075918
478,-0.73883068
479,-0.73785994
480,-0.72946106
481,-0.70013523
482,-0.65003881
483,-0.60091977
484,-0.57789281
485,-0.56986847
486,-0.5630176
487,-0.57064252
488,-0.57864982
489,-0.58557173
490,-0.58579864
491,-0.57486426
492,-0.55792917
493,-0.53890367
494,-0.51600086
495,-0.4748357
496,-0.40691638
497,-0.32780754
498,-0.25246295
499,-0.070797886
500,0.11265102
501,0.25307494
502,0.48088629
503,0.68198776
504,0.8728218
505,1.0666543
506,1.2539065
507,1.4437366
508,1.6197464
509,1.7001616
510,1.7336357
511,1.7523804
512,1.7661134
513,1.7717047
514,1.7735659
515,1.7781045
516,1.7807002
517,1.7815884
518,1.783278
519,1.7797761
520,1.7819722
521,1.7769277
522,1.7768497
523,1.7762282
524,1.7765416
525,1.7773963
526,1.7773963
527,1.7718713
528,1.764202
529,1.7622499
530,1.7636959
531,1.7594394
532,1.7526962
533,1.7422174
534,1.7182454
535,1.6777697
536,1.6165264
537,1.5142188
538,1.3992524
539,1.2610293
540,1.1175746
541,0.95725203
542,0.78539811
543,0.61598357
544,0.45022796
545,0.28726923
546,0.14467732
547,0.018479204
548,-0.10955546
549,-0.21449895
550,-0.31115256
551,-0.37319512
552,-0.42763604
553,-0.45897579
554,-0.47963183
555,-0.50516626
556,-0.5176427
557,-0.52649173
558,-0.53481758
559,-0.53970259
560,-0.54970507
561,-0.55320497
562,-0.55425428
563,-0.55387072
564,-0.5530606
565,-0.55643119
566,-0.55563048
567,-0.56195412
568,-0.57254041
569,-0.59158662
570,-0.62088014
571,-0.65931866
572,-0.70089681
573,-0.73523299
574,-0.76842622
575,-0.7861103
576,-0.79230513
577,-0.79151442
578,-0.79000902
579,-0.78887023
580,-0.7819503
581,-0.77419637
582,-0.76772549
583,-0.75441485
584,-0.7432494
585,-0.73418407
586,-0.72340902
587,-0.72179215
588,-0.72126352
589,-0.72090751
590,-0.7216666
591,-0.72466126
592,-0.7292295
593,-0.72893958
594,-0.72783368
595,-0.728244
596,-0.72645332
597,-0.72551657
598,-0.72519058
599,-0.7246788
600,-0.59953861
601,-0.59742191
602,-0.59926903
603,-0.59825858
604,-0.59758226
605,-0.59130266
606,-0.58902043
607,-0.58753296
608,-0.58546188
609,-0.5838475
610,-0.581602
611,-0.57848712
612,-0.57798491
613,-0.57653565
614,-0.57861646
615,-0.57740692
616,-0.57759532
617,-0.57662751
618,-0.5747099
619,-0.57755002
620,-0.57559198
621,-0.57541713
622,-0.57510374
623,-0.57554022
624,-0.5727526
625,-0.57282405
626,-0.57424992
627,-0.57436952
628,-0.57325227
629,-0.5739269
630,-0.57200908
631,-0.56776912
632,-0.56805087
633,-0.56896745
634,-0.56778193
635,-0.5688832
636,-0.56799795
637,-0.57038327
638,-0.56543556
639,-0.56456979
640,-0.56115814
641,-0.55726471
642,-0.55355639
643,-0.53826377
644,-0.50796758
645,-0.44207409
646,-0.3344124
647,-0.12485794
648,0.092937429
649,0.29660739
650,0.50303511
651,0.65706449
652,0.77617384
653,0.85601334
654,0.95507711
655,1.1015125
656,1.296067
657,1.5035368
658,1.7218827
659,1.9031175
660,2.0235278
661,2.0410741
662,2.0408739
663,2.052119
664,2.0533673
665,2.0363315
666,2.0357885
667,2.0420138
668,2.032201
669,2.0366534
670,2.0371305
671,2.0369817
672,2.0312207
673,2.0341011
674,2.0241404
675,2.0245437
676,2.0245437
677,2.0273989
678,2.0133461
679,1.950098
680,1.8399767
681,1.6937998
682,1.5296864
683,1.3633488
684,1.2152297
685,1.057821
686,0.86839674
687,0.64725163
688,0.37502981
689,0.098527901
690,-0.12557755
691,-0.38016135
692,-0.54202617
693,-0.66748878
694,-0.72480722
695,-0.73346451
696,-0.72463131
697,-0.69972333
698,-0.68063772
699,-0.66642742
700,-0.65767931
701,-0.64923317
702,-0.64354913
703,-0.63531838
704,-0.62360368
705,-0.60941095
706,-0.58823044
707,-0.56664542
708,-0.54123608
709,-0.52390032
710,-0.51890096
711,-0.52143086
712,-0.52985308
713,-0.54129588
714,-0.55590297
715,-0.57119453
716,-0.58241062
717,-0.58825246
718,-0.59222707
719,-0.59379499
720,-0.59435731
721,-0.59319096
722,-0.59278146
723,-0.59270145
724,-0.59513524
725,-0.59178794
726,-0.59739651
727,-0.59972023
728,-0.60136467
729,-0.60141939
730,-0.60605497
731,-0.6059993
732,-0.61149938
733,-0.61665041
734,-0.62145386
735,-0.62593618
736,-0.63273133
737,-0.63335981
738,-0.6390903
739,-0.64068182
740,-0.64403632
741,-0.64388497
742,-0.64574204
743,-0.64645762
744,-0.64646386
745,-0.64558465
746,-0.64241199
747,-0.64333682
748,-0.63680257
749,-0.63171621
750,-0.54773643
751,-0.55366008
752,-0.55719386
753,-0.55959852
754,-0.56431183
755,-0.56821972
756,-0.57196791
757,-0.57582612
758,-0.57735442
759,-0.58081812
760,-0.58687811
761,-0.59101033
762,-0.5939774
763,-0.59970123
764,-0.60216119
765,-0.60572099
766,-0.60891764
767,-0.6124353
768,-0.61358757
769,-0.61938366
770,-0.62081452
771,-0.62190731
772,-0.62172483
773,-0.62002216
774,-0.62017508
775,-0.62027414
776,-0.61877692
777,-0.61554337
778,-0.61602341
779,-0.61217578
780,-0.61496685
781,-0.61442161
782,-0.61395787
783,-0.6148187
784,-0.61564758
785,-0.61729582
786,-0.61610807
787,-0.61668288
788,-0.61485054
789,-0.61759852
790,-0.61827658
791,-0.61658992
792,-0.61732461
793,-0.61761072
794,-0.60154958
795,-0.53399166
796,-0.41861994
797,-0.21163168
798,0.041483065
799,0.29123259
800,0.56377798
801,0.76226069
802,0.91765703
803,1.0535603
804,1.1619883
805,1.2722334
806,1.3870922
807,1.5101214
808,1.6259429
809,1.7194887
810,1.810189
811,1.8867212
812,1.8929161
813,1.8954786
814,1.898895
815,1.899812
816,1.90982
817,1.9148749
818,1.9171241
819,1.916528
820,1.9181876
821,1.9179596
822,1.9268469
823,1.9265619
824,1.9190207
825,1.9108155
826,1.9108155
827,1.9007245
828,1.8908511
829,1.8576807
830,1.7991779
831,1.7286744
832,1.6227046
833,1.4849083
834,1.3284626
835,1.1759979
836,1.027933
837,0.88848008
838,0.77760412
839,0.69503846
840,0.61459288
841,0.52187411
842,0.44070518
843,0.32245001
844,0.21563266
845,0.088056014
846,-0.062571811
847,-0.1982103
848,-0.35268728
849,-0.46195839
850,-0.56701653
851,-0.65346671
852,-0.72769203
853,-0.78754067
854,-0.81694721
855,-0.82648644
856,-0.81580046
857,-0.8024913
858,-0.79366331
859,-0.78399394
860,-0.76841397
861,-0.75374622
862,-0.73558646
863,-0.71730275
864,-0.7113566
865,-0.70475488
866,-0.69913498
867,-0.69454494
868,-0.69617677
869,-0.69751363
870,-0.69542073
871,-0.69483611
872,-0.69240789
873,-0.69154469
874,-0.69022442
875,-0.68777428
876,-0.68893514
877,-0.69030651
878,-0.69122396
879,-0.68948802
880,-0.69331829
881,-0.69250772
882,-0.69361385
883,-0.69989093
884,-0.6990896
885,-0.70145813
886,-0.70064573
887,-0.69944455
888,-0.70205219
889,-0.70532387
890,-0.70693921
891,-0.70475879
892,-0.70389987
893,-0.70416339
894,-0.70540977
895,-0.70574098
896,-0.70386069
897,-0.7065405
898,-0.71038108
899,-0.71085435
900,-1.2611834
901,-1.294884
902,-1.3101054
903,-1.3196039
904,-1.3202625
905,-1.317001
906,-1.3096256
907,-1.2967286
908,-1.2847647
909,-1.2801366
910,-1.2767295
911,-1.2757704
912,-1.2727115
913,-1.2737778
914,-1.2718796
915,-1.2745471
916,-1.2734831
917,-1.272861
918,-1.2723134
919,-1.2733247
920,-1.2706487
921,-1.2709082
922,-1.2602542
923,-1.2278578
924,-1.1367677
925,-0.99278538
926,-0.78476743
927,-0.52403979
928,-0.26690685
929,-0.002019438
930,0.23848081
931,0.43791091
932,0.58970504
933,0.68977882
934,0.75270667
935,0.79338219
936,0.82379574
937,0.83847497
938,0.85308813
939,0.85567598
940,0.87091282
941,0.86794721
942,0.8802803
943,0.88263574
944,0.88846249
945,0.88712752
946,0.88619886
947,0.88275579
948,0.88501011
949,0.88690063
950,0.88705539
951,0.88618913
952,0.89101217
953,0.8918649
954,0.8975861
955,0.89127118
956,0.8912038
957,0.89285337
958,0.89595751
959,0.89313909
960,0.89497154
961,0.88776007
962,0.89352161
963,0.89334079
964,0.88613971
965,0.89425701
966,0.88877287
967,0.8895936
968,0.8898086
969,0.88819277
970,0.89459324
971,0.89413697
972,0.89538336
973,0.89569818
974,0.8953441
975,0.89520622
976,0.89520622
977,0.89334663
978,0.89526829
979,0.89401314
980,0.8927224
981,0.88942446
982,0.88776754
983,0.88969082
984,0.88890795
985,0.88296289
986,0.88667006
987,0.88361934
988,0.87850236
989,0.8703192
990,0.87208903
991,0.86919858
992,0.87106022
993,0.86928347
994,0.868632
995,0.87105027
996,0.86047089
997,0.85920644
998,0.85879916
999,0.8566121
1000,0.85851224
1001,0.85331437
1002,0.84466466
1003,0.83773243
1004,0.82998478
1005,0.80837656
1006,0.79391773
1007,0.7813119
1008,0.74337661
1009,0.7161547
1010,0.68768455
1011,0.64821152
1012,0.59838612
1013,0.54561619
1014,0.45653524
1015,0.34801572
1016,0.20808056
1017,0.046721361
1018,-0.14427716
1019,-0.34820067
1020,-0.54508131
1021,-0.75123319
1022,-0.92854559
1023,-1.0769759
1024,-1.2058806
1025,-1.3022339
1026,-1.3340717
1027,-1.3550268
1028,-1.3638432
1029,-1.3622852
1030,-1.3517119
1031,-1.323056
1032,-1.2908458
1033,-1.2585861
1034,-1.2383885
1035,-1.2238978
1036,-1.220998
1037,-1.2265681
1038,-1.2412429
1039,-1.2496408
1040,-1.2601141
1041,-1.269225
1042,-1.2744585
1043,-1.2789823
1044,-1.2800897
1045,-1.2813495
1046,-1.2812774
1047,-1.2806163
1048,-1.280212
1049,-1.2799396
1050,-2.0125806
1051,-2.0120689
1052,-2.0116252
1053,-2.0135336
1054,-2.0134382
1055,-2.0132187
1056,-2.0142454
1057,-2.0122779
1058,-2.014058
1059,-2.0130026
1060,-2.0136498
1061,-2.0137284
1062,-2.0137119
1063,-2.0156893
1064,-2.0155156
1065,-2.0164136
1066,-2.0178279
1067,-2.0176113
1068,-2.0186758
1069,-2.0198056
1070,-2.0197099
1071,-2.0218444
1072,-2.0135585
1073,-1.9939571
1074,-1.9431108
1075,-1.8339233
1076,-1.6744695
1077,-1.469971
1078,-1.2115023
1079,-0.9429177
1080,-0.6506071
1081,-0.36605416
1082,-0.10395884
1083,0.10855285
1084,0.2860114
1085,0.41885597
1086,0.50447333
1087,0.55347095
1088,0.57498339
1089,0.5792837
1090,0.57973858
1091,0.57174901
1092,0.55549803
1093,0.55105342
1094,0.55214371
1095,0.55371683
1096,0.55259832
1097,0.54816969
1098,0.55301394
1099,0.56799891
1100,0.55954793
1101,0.5673032
1102,0.57365162
1103,0.56915256
1104,0.57403874
1105,0.57445422
1106,0.57888685
1107,0.5808258
1108,0.57911676
1109,0.58942375
1110,0.57868357
1111,0.58210592
1112,0.58539648
1113,0.58575232
1114,0.58725556
1115,0.59396354
1116,0.59112334
1117,0.59295833
1118,0.59202739
1119,0.58702725
1120,0.59309784
1121,0.58705374
1122,0.59248627
1123,0.59235234
1124,0.58604959
1125,0.58449404
1126,0.58449404
1127,0.59024033
1128,0.58656158
1129,0.58163626
1130,0.57859558
1131,0.57498153
1132,0.57121931
1133,0.57930579
1134,0.57421167
1135,0.57409878
1136,0.57850119
1137,0.57723558
1138,0.57713015
1139,0.58133673
1140,0.56703855
1141,0.57540167
1142,0.5615794
1143,0.56500695
1144,0.56257703
1145,0.56160257
1146,0.56462195
1147,0.56197159
1148,0.56955899
1149,0.56050363
1150,0.56187893
1151,0.56268686
1152,0.5652294
1153,0.56029808
1154,0.55707329
1155,0.56035213
1156,0.55692312
1157,0.55391945
1158,0.55517667
1159,0.55768965
1160,0.55855962
1161,0.55886886
1162,0.55863137
1163,0.56289027
1164,0.56199049
1165,0.56508828
1166,0.56661548
1167,0.56753098
1168,0.56862392
1169,0.56708847
1170,0.5730033
1171,0.57224237
1172,0.57956725
1173,0.57845873
1174,0.57999351
1175,0.57952638
1176,0.57708928
1177,0.58183156
1178,0.58175195
1179,0.58304245
1180,0.57750276
1181,0.58296351
1182,0.58193845
1183,0.56994904
1184,0.57524751
1185,0.57698211
1186,0.5636781
1187,0.54305613
1188,0.52759045
1189,0.4782965
1190,0.42697001
1191,0.36008905
1192,0.27434015
1193,0.16340194
1194,0.019592347
1195,-0.15011346
1196,-0.33385918
1197,-0.55147725
1198,-0.78246695
1199,-1.0079924
1200,-1.0655728
1201,-1.0665005
1202,-1.0672191
1203,-1.0681968
1204,-1.0676171
1205,-1.0712525
1206,-1.0674877
1207,-1.067816
1208,-1.0678752
1209,-1.0698179
1210,-1.0703609
1211,-1.0695709
1212,-1.0689828
1213,-1.0667628
1214,-1.0687768
1215,-1.0669946
1216,-1.0711789
1217,-1.0324808
1218,-0.98026672
1219,-0.86683444
1220,-0.68932084
1221,-0.4624404
1222,-0.2246442
1223,0.031068499
1224,0.28466367
1225,0.50799
1226,0.69933431
1227,0.84286451
1228,0.96499293
1229,1.0161887
1230,1.0705413
1231,1.0899121
1232,1.0866864
1233,1.0971585
1234,1.0908856
1235,1.0829667
1236,1.0799252
1237,1.0782358
1238,1.0854387
1239,1.0876512
1240,1.0885842
1241,1.0888957
1242,1.087498
1243,1.0878954
1244,1.0875162
1245,1.0858351
1246,1.0777986
1247,1.0773426
1248,1.0756003
1249,1.0773346
1250,1.0710082
1251,1.0671283
1252,1.0648372
1253,1.070039
1254,1.0675948
1255,1.0707166
1256,1.0670253
1257,1.0676316
1258,1.067565
1259,1.0605881
1260,1.0600949
1261,1.0631797
1262,1.0599411
1263,1.0632929
1264,1.0604743
1265,1.0625425
1266,1.0585728
1267,1.057055
1268,1.0575834
1269,1.0563248
1270,1.0528752
1271,1.0540098
1272,1.0600006
1273,1.0581382
1274,1.0547233
1275,1.0596339
1276,1.0596339
1277,1.0585578
1278,1.059548
1279,1.0597863
1280,1.0554538
1281,1.0545271
1282,1.0553748
1283,1.0329906
1284,1.0163003
1285,1.0169862
1286,0.99634143
1287,0.97337451
1288,0.92709591
1289,0.9103848
1290,0.88311758
1291,0.82953346
1292,0.77233664
1293,0.69237118
1294,0.60115525
1295,0.49814355
1296,0.36930167
1297,0.21616962
1298,0.053929067
1299,-0.12406695
1300,-0.29394651
1301,-0.44555883
1302,-0.6016543
1303,-0.74479908
1304,-0.85371745
1305,-0.95079668
1306,-1.025098
1307,-1.0767507
1308,-1.107045
1309,-1.1150216
1310,-1.1150928
1311,-1.1104016
1312,-1.0952914
1313,-1.0770713
1314,-1.0687018
1315,-1.0613745
1316,-1.0540497
1317,-1.0526052
1318,-1.0526178
1319,-1.0475158
1320,-1.0476689
1321,-1.0467752
1322,-1.0454486
1323,-1.0467271
1324,-1.0453529
1325,-1.0457445
1326,-1.043518
1327,-1.043689
1328,-1.0445401
1329,-1.0436696
1330,-1.0458034
1331,-1.0458095
1332,-1.0461388
1333,-1.0479577
1334,-1.0483777
1335,-1.0483875
1336,-1.0516842
1337,-1.0501935
1338,-1.048496
1339,-1.0481063
1340,-1.0516028
1341,-1.0465114
1342,-1.0488709
1343,-1.0462954
1344,-1.0465799
1345,-1.0380319
1346,-1.037612
1347,-1.0334263
1348,-1.0314624
1349,-1.030165
1350,-1.1772063
1351,-1.1758389
1352,-1.1731852
1353,-1.1708898
1354,-1.1694875
1355,-1.1663086
1356,-1.1659191
1357,-1.1676425
1358,-1.1669014
1359,-1.1684412
1360,-1.1686703
1361,-1.1698819
1362,-1.1719807
1363,-1.1744968
1364,-1.1722292
1365,-1.1510431
1366,-1.1112375
1367,-1.0381087
1368,-0.96357665
1369,-0.87918659
1370,-0.81775569
1371,-0.77833289
1372,-0.76375132
1373,-0.75815695
1374,-0.76005649
1375,-0.74471094
1376,-0.72134955
1377,-0.70108513
1378,-0.68857162
1379,-0.68129625
1380,-0.67461563
1381,-0.67310385
1382,-0.67251794
1383,-0.65469819
1384,-0.6079941
1385,-0.54050916
1386,-0.41217332
1387,-0.25320364
1388,-0.098127834
1389,0.07907487
1390,0.22602024
1391,0.37900157
1392,0.50075963
1393,0.62800218
1394,0.73885482
1395,0.85419789
1396,0.94419166
1397,1.025043
1398,1.0879043
1399,1.131093
1400,1.1609323
1401,1.1704932
1402,1.1872293
1403,1.1883934
1404,1.1892903
1405,1.1936667
1406,1.2014769
1407,1.2023878
1408,1.2009054
1409,1.1989686
1410,1.2022368
1411,1.1991253
1412,1.1992308
1413,1.2007262
1414,1.1984437
1415,1.200204
1416,1.1973823
1417,1.1972147
1418,1.1973338
1419,1.1947691
1420,1.1925805
1421,1.1913999
1422,1.1898049
1423,1.1862566
1424,1.1922787
1425,1.189384
1426,1.189384
1427,1.1913756
1428,1.1917072
1429,1.1896069
1430,1.1880642
1431,1.1909865
1432,1.1917197
1433,1.1913527
1434,1.1959357
1435,1.1928804
1436,1.1937063
1437,1.1849865
1438,1.1886094
1439,1.1871675
1440,1.1825184
1441,1.1810382
1442,1.1788808
1443,1.1727568
1444,1.1658632
1445,1.1553035
1446,1.1236021
1447,1.0979481
1448,1.0541846
1449,0.98837697
1450,0.90652719
1451,0.81814654
1452,0.70866287
1453,0.59792783
1454,0.48554514
1455,0.37193128
1456,0.25358042
1457,0.14504461
1458,0.030856283
1459,-0.078909696
1460,-0.17754639
1461,-0.28434164
1462,-0.37342943
1463,-0.47522325
1464,-0.55537465
1465,-0.63135036
1466,-0.69796587
1467,-0.75797849
1468,-0.79107187
1469,-0.81300775
1470,-0.82609261
1471,-0.83506867
1472,-0.83829379
1473,-0.83203055
1474,-0.82939597
1475,-0.82386748
1476,-0.82323658
1477,-0.82090479
1478,-0.81959688
1479,-0.82809198
1480,-0.83645591
1481,-0.84388404
1482,-0.85981911
1483,-0.88115673
1484,-0.90653948
1485,-0.93195406
1486,-0.96393569
1487,-1.0156848
1488,-1.0818653
1489,-1.1516395
1490,-1.2255646
1491,-1.2957007
1492,-1.327421
1493,-1.3270707
1494,-1.3004391
1495,-1.2711385
1496,-1.2672832
1497,-1.2650063
1498,-1.2707223
1499,-1.2621336
1500,-0.81632331
1501,-0.81410425
1502,-0.81589168
1503,-0.81422001
1504,-0.81664913
1505,-0.8169783
1506,-0.81139321
1507,-0.8113388
1508,-0.81209636
1509,-0.81369887
1510,-0.81158652
1511,-0.80836764
1512,-0.79718506
1513,-0.76308724
1514,-0.72875935
1515,-0.67479666
1516,-0.62751574
1517,-0.59122422
1518,-0.56505603
1519,-0.56959326
1520,-0.58967132
1521,-0.61996657
1522,-0.6491715
1523,-0.65672179
1524,-0.63746164
1525,-0.62916708
1526,-0.60846923
1527,-0.59058788
1528,-0.57311058
1529,-0.56063209
1530,-0.54588493
1531,-0.52481198
1532,-0.51676201
1533,-0.49795259
1534,-0.46908767
1535,-0.42130707
1536,-0.36012192
1537,-0.25385872
1538,-0.12857983
1539,0.011865444
1540,0.17612063
1541,0.36596935
1542,0.53559118
1543,0.69775177
1544,0.83352193
1545,0.95984822
1546,1.0655967
1547,1.1511608
1548,1.2279377
1549,1.2939512
1550,1.3454857
1551,1.3989275
1552,1.3959746
1553,1.4031842
1554,1.417872
1555,1.4268997
1556,1.4273839
1557,1.4273319
1558,1.4440642
1559,1.4503981
1560,1.4375645
1561,1.4380719
1562,1.4347962
1563,1.4099481
1564,1.4179113
1565,1.4117548
1566,1.407703
1567,1.4164535
