Time,root.BME.d0.s0
835,-0.993
836,-0.99
837,-0.991
838,-0.994
839,-0.994
840,-0.995
841,-0.998
842,-1.001
843,-1.0
844,-0.999
845,-1.002
846,-1.004
847,-1.007
848,-1.007
849,-1.007
850,-1.01
851,-1.012
852,-1.01
853,-1.008
854,-1.006
855,-1.004
856,-1.005
857,-1.005
858,-1.0
859,-0.996
860,-0.999
861,-1.004
862,-1.009
863,-1.009
864,-1.007
865,-1.007
866,-1.005
867,-1.002
868,-1.002
869,-0.89
870,-0.591
871,-0.292
872,-0.128
873,-0.053
874,0.011571846
875,0.011218256
876,0.043076202
877,0.016305942
878,0.024488727
879,0.04024018
880,0.024335563
881,0.03386193
882,0.025164322
883,0.031041621
884,0.029625625
885,0.016539386
886,0.00010674263
887,0.024403118
888,0.011807985
889,0.017890779
890,0.050494164
891,0.043163297
892,0.044116324
893,0.039954218
894,0.022574092
895,0.014495288
896,0.017550862
897,0.011831685
898,0.0054698555
899,-0.00038758785
900,0.022074262
901,0.035427386
902,0.043687163
903,0.035410163
904,0.113
905,0.417
906,0.72
907,0.888
908,0.97
909,0.895
910,0.607
911,0.308
912,0.138
913,0.053
914,0.063776508
915,0.029404111
916,0.041666115
917,0.030262446
918,0.009283793
919,0.053700634
920,0.020579716
921,0.038027681
922,0.0095114322
923,0.029177969
924,0.029368168
925,0.01466266
926,0.041303955
927,0.038686354
928,0.0047654326
929,0.0012010644
930,0.039079695
931,0.020362709
932,-0.114
933,-0.412
934,-0.713
935,-0.881
936,-0.958
937,-0.989
938,-1.003
939,-1.008
940,-1.008
941,-1.007
942,-1.01
943,-1.014
944,-1.014
945,-1.012
946,-1.013
947,-1.014
948,-1.013
949,-1.011
950,-1.011
951,-1.01
952,-1.005
953,-1.001
954,-0.999
955,-1.004
956,-1.007
957,-1.009
958,-1.012
959,-1.013
960,-1.014
961,-1.014
962,-1.015
963,-1.016
964,-1.013
965,-1.013
966,-1.015
967,-1.016
968,-1.014
969,-1.012
970,-1.012
971,-1.01
972,-1.008
973,-1.009
974,-1.01
975,-1.01
976,-1.011
977,-1.014
978,-1.016
979,-1.016
980,-1.014
981,-1.011
982,-0.893
983,-0.589
984,-0.289
985,-0.125
986,-0.05
987,0.0082611558
988,0.0093358403
989,0.017376947
990,0.045661837
991,0.001970936
992,0.034682027
993,0.032000732
994,-0.0026924345
995,0.043406213
996,0.036089166
997,0.032903978
998,0.023434203
999,0.026158447
1000,0.0032955139
1001,0.047035919
1002,0.014332916
1003,0.019538113
1004,0.052151043
1005,0.022713995
1006,0.018762965
1007,0.031920957
1008,0.0043008252
1009,0.039352243
1010,0.0033430956
1011,0.037038698
1012,0.037010651
1013,0.022439958
1014,0.050868853
1015,0.033487307
1016,0.024976181
1017,0.038272024
1018,0.04474241
1019,0.036493486
1020,0.049314919
1021,0.0080550872
1022,0.016889084
1023,0.042329657
1024,0.033160167
1025,0.025321942
1026,0.0018940854
1027,0.042447325
1028,0.05097055
1029,0.016640997
1030,0.127
1031,0.449
1032,0.766
1033,0.943
1034,1.026
1035,1.065
1036,1.084
1037,1.093
1038,1.096
1039,1.097
1040,1.095
1041,0.972
1042,0.648
1043,0.323
1044,0.143
1045,0.059
1046,0.064424084
1047,0.032633864
1048,0.022287853
1049,0.034008829
1050,0.022632253
1051,0.0038389809
1052,0.014296892
1053,0.0443207
1054,0.027438815
1055,0.042483147
1056,0.0069732479
1057,0.040973862
1058,0.021267873
1059,0.052643301
1060,0.020348798
1061,0.040908293
1062,0.037866841
1063,0.125
1064,0.434
1065,0.748
1066,0.925
1067,1.005
1068,1.037
1069,1.05
1070,1.056
1071,1.058
1072,1.061
1073,1.063
1074,1.06
1075,1.054
1076,1.055
1077,1.061
1078,1.067
1079,1.073
1080,1.075
1081,1.072
1082,1.068
1083,1.069
1084,1.072
1085,1.072
1086,1.068
1087,1.066
1088,1.064
1089,1.065
1090,1.067
1091,1.07
1092,1.072
1093,1.07
1094,1.068
1095,1.066
1096,1.062
1097,1.062
1098,1.063
1099,1.062
1100,1.061
1101,1.062
1102,1.065
1103,1.068
1104,1.07
1105,1.068
1106,1.067
1107,1.071
1108,0.955
1109,0.638
1110,0.319
1111,0.137
1112,0.053
1113,0.051901538
1114,0.052283542
1115,0.043479267
1116,0.032009619
1117,0.012879359
1118,0.01833856
1119,0.0088605045
1120,0.01544655
1121,0.0018838194
1122,0.0060785177
1123,0.011074119
1124,0.0041999745
1125,0.0042974146
1126,0.039414342
1127,0.036732761
1128,0.013057972
1129,0.039588075
1130,0.050269074
1131,0.03687131
1132,0.010028973
1133,0.039108186
1134,0.026230703
1135,0.0013916097
1136,0.021897103
1137,0.047306729
1138,0.046220532
1139,0.049833635
1140,0.017252844
1141,0.035797422
1142,0.019713145
1143,0.0070890611
1144,0.025530342
1145,0.016540905
1146,0.043077153
1147,0.016094525
1148,0.021924345
1149,0.022698522
1150,0.032514987
1151,0.011915032
1152,0.030324531
1153,0.039731895
1154,0.033508796
1155,0.043342198
1156,-0.0026233598
1157,-0.00094909182
1158,0.022269912
1159,0.0083444508
1160,0.134
1161,0.478
1162,0.819
1163,1.009
1164,1.099
1165,1.006
1166,0.673
1167,0.336
1168,0.152
1169,0.065
1170,0.042880341
1171,0.0097013575
1172,0.046380528
1173,0.036765978
1174,0.0042448311
1175,0.03922063
1176,0.021513659
1177,0.022703826
1178,0.019594503
1179,-0.0014201994
1180,0.030930502
1181,0.02166448
1182,0.020814568
1183,0.0028390335
1184,0.017537609
1185,-0.0026694647
1186,4.1907501e-06
1187,0.0052820788
1188,0.0013202266
1189,0.0084316494
1190,0.0094904356
1191,0.107
1192,0.375
1193,0.642
1194,0.785
1195,0.855
1196,0.887
1197,0.897
1198,0.9
1199,0.903
1200,0.906
1201,0.906
1202,0.906
1203,0.906
1204,0.906
1205,0.907
1206,0.909
1207,0.908
1208,0.91
1209,0.914
1210,0.916
1211,0.915
1212,0.911
1213,0.909
1214,0.907
1215,0.905
1216,0.906
1217,0.909
1218,0.911
1219,0.912
1220,0.914
1221,0.916
1222,0.914
1223,0.911
1224,0.908
1225,0.908
1226,0.908
1227,0.909
1228,0.911
1229,0.91
1230,0.905
1231,0.903
1232,0.908
1233,0.911
1234,0.911
1235,0.908
1236,0.907
1237,0.91
1238,0.91
1239,0.905
1240,0.904
1241,0.806
1242,0.541
1243,0.271
1244,0.117
1245,0.078546868
1246,0.027524735
1247,0.011558837
1248,0.051539015
1249,0.0021961534
1250,0.0096735107
1251,-0.0016881604
1252,0.033717374
1253,0.013090883
1254,-0.0026692225
1255,-0.0049061413
1256,0.0069833949
1257,0.018579512
1258,0.028627694
1259,0.036786863
1260,0.033169289
1261,0.02206218
1262,0.025440664
1263,0.02437162
1264,0.0022384986
1265,0.0081981936
1266,0.0333359
1267,0.020902958
1268,0.022164179
1269,0.039735639
1270,0.040762831
1271,0.026747618
1272,0.016017501
1273,0.0059762071
1274,0.019718938
1275,0.047346916
1276,0.046558881
1277,0.0096489859
1278,0.016743479
1279,0.017161735
1280,0.035078898
1281,0.033360117
1282,0.013875105
1283,0.0011023991
1284,0.0054606886
1285,0.036097982
1286,0.0090843734
1287,0.0034075843
1288,0.023814792
1289,-0.00041049373
1290,0.048618738
1291,0.020067354
1292,0.031110031
1293,0.037737895
1294,0.036304316
1295,0.030345573
1296,0.03176058
1297,0.012185526
1298,0.026395191
1299,0.029255554
1300,0.057883552
1301,0.052825984
1302,0.012122295
1303,0.016611185
1304,0.0068375518
1305,-0.0015872915
1306,0.045303028
1307,0.0039359812
1308,0.021599819
1309,0.05194734
1310,0.025943224
1311,0.033365782
1312,0.0098969597
1313,0.029398194
1314,0.039015702
1315,0.0062718828
1316,0.0011949211
1317,0.017400024
1318,0.085
1319,0.323
1320,0.559
1321,0.691
1322,0.756
1323,0.783
1324,0.792
1325,0.797
1326,0.802
1327,0.807
1328,0.81
1329,0.809
1330,0.809
1331,0.81
1332,0.809
1333,0.809
1334,0.808
1335,0.806
1336,0.804
1337,0.804
1338,0.807
1339,0.813
1340,0.814
1341,0.812
1342,0.808
1343,0.804
1344,0.806
1345,0.811
1346,0.816
1347,0.817
1348,0.815
1349,0.808
1350,0.801
1351,0.799
1352,0.801
1353,0.802
1354,0.801
1355,0.801
1356,0.804
1357,0.808
1358,0.807
1359,0.806
1360,0.808
1361,0.807
1362,0.806
1363,0.805
1364,0.807
1365,0.808
1366,0.81
1367,0.813
1368,0.814
1369,0.813
1370,0.809
1371,0.805
1372,0.806
1373,0.809
1374,0.723
1375,0.485
1376,0.245
1377,0.109
1378,0.06435647
1379,0.040286813
1380,0.018918154
1381,0.030498712
1382,0.0090994103
1383,0.033146339
1384,0.023308746
1385,0.024901288
1386,0.030452707
1387,0.021412216
1388,0.035194636
1389,0.043887561
1390,0.018681162
1391,0.010380217
1392,0.0084547456
1393,0.0097244497
1394,0.0447679
1395,0.047110461
1396,0.034685431
1397,0.0080546327
1398,0.013114252
1399,0.033192964
1400,0.042458884
1401,0.056703196
1402,0.037885807
1403,0.03089862
1404,0.0036546014
1405,0.026906454
1406,0.012218327
1407,0.0064504808
1408,0.019342403
1409,0.0013597271
1410,0.030132586
1411,0.020401388
1412,0.0058576657
1413,0.0034466702
1414,0.018424612
1415,0.028864748
1416,-0.0026423318
1417,0.030676183
1418,0.004873346
1419,0.055184789
1420,0.012139491
1421,0.051514505
1422,0.034791637
1423,0.021863491
1424,0.033619287
1425,0.046502535
1426,0.0054113194
1427,0.012932311
1428,0.051701524
1429,0.021366679
1430,0.012586587
1431,0.003733804
1432,0.013299433
1433,0.0045729368
1434,0.012158425
1435,0.050328907
1436,0.046480799
1437,0.030860679
1438,0.0014918689
1439,0.020375189
1440,0.020000958
1441,0.047100029
1442,0.00971321
1443,0.01053832
1444,0.025207425
1445,0.026897372
1446,0.048651253
1447,0.107
1448,0.396
1449,0.689
1450,0.854
1451,0.93
1452,0.964
1453,0.979
1454,0.982
1455,0.983
1456,0.984
1457,0.983
1458,0.977
1459,0.972
1460,0.97
1461,0.973
1462,0.977
1463,0.98
1464,0.987
1465,0.993
1466,0.99
1467,0.987
1468,0.988
1469,0.991
1470,0.991
1471,0.985
1472,0.981
1473,0.98
1474,0.984
1475,0.99
1476,0.992
1477,0.988
1478,0.985
1479,0.988
1480,0.991
1481,0.99
1482,0.987
1483,0.983
1484,0.98
1485,0.981
1486,0.986
1487,0.991
1488,0.991
1489,0.992
1490,0.99
1491,0.876
1492,0.58
1493,0.29
1494,0.131
1495,0.057
1496,0.047670217
1497,0.037448215
1498,0.033381932
1499,0.0083388442
1500,0.0040638264
1501,0.019286721
1502,0.024867707
1503,0.022555316
1504,0.045525261
1505,0.038916769
1506,0.028038139
1507,0.034432283
1508,0.050960028
1509,0.010039057
1510,0.026112681
1511,0.038568529
1512,0.036815141
1513,0.011256959
1514,0.01200252
1515,0.013016908
1516,0.040423091
1517,0.0083706204
1518,0.0071945213
1519,0.026108732
1520,0.048713823
1521,0.011466422
1522,0.02344342
1523,0.0073077048
1524,0.055588174
1525,0.020158453
1526,0.029976235
1527,0.0016963235
1528,0.023420222
1529,0.0019236507
1530,0.009546573
1531,0.040741103
1532,0.041874495
1533,0.017629308
1534,0.030976832
1535,0.034516296
1536,0.041747222
1537,0.026262035
1538,0.0024890674
1539,0.023925895
1540,0.039603507
1541,0.039008461
1542,0.021147631
1543,0.018765444
1544,0.026405114
1545,0.020522961
1546,0.023448213
1547,0.0018729446
1548,0.003766064
1549,0.030746577
1550,0.04354786
1551,0.034775415
1552,0.046251109
1553,0.040955577
1554,0.018543766
1555,0.016918974
1556,0.025676501
1557,0.020744765
1558,0.01273871
1559,0.048883031
1560,0.010178469
1561,0.0087539087
1562,0.020608857
1563,0.026569593
1564,0.038964386
1565,0.0020765946
1566,0.026232962
1567,0.010357591
1568,0.01102224
1569,0.026302193
1570,0.032369582
1571,0.0439846
1572,0.032001582
1573,0.013770521
1574,0.032339293
1575,0.0099025671
1576,0.117
1577,0.423
1578,0.731
1579,0.902
1580,0.979
1581,1.013
1582,1.027
1583,1.03
1584,1.032
1585,1.036
1586,1.035
1587,1.035
1588,1.036
1589,1.037
1590,1.04
1591,1.043
1592,1.043
1593,1.04
1594,1.039
1595,1.041
1596,1.04
1597,1.036
1598,1.035
1599,1.034
1600,1.031
1601,1.031
1602,1.034
1603,1.039
1604,1.041
1605,1.039
1606,1.034
1607,1.029
1608,1.029
1609,1.033
1610,1.035
1611,1.036
1612,1.034
1613,1.034
1614,1.04
1615,0.927
1616,0.618
1617,0.308
1618,0.137
1619,0.057
1620,0.052822401
1621,0.03712816
1622,0.028541798
1623,0.025232772
1624,0.05503598
1625,0.015742396
1626,0.011606101
1627,0.039391864
1628,0.03830194
1629,0.049148719
1630,0.019788488
1631,0.023780675
1632,0.049672354
1633,0.037647625
1634,0.050046987
1635,0.048581181
1636,0.026163674
1637,0.029072628
1638,0.026550945
1639,0.038327926
1640,0.032552285
1641,0.052308944
1642,0.035750869
1643,0.03598284
1644,0.027195561
1645,0.010571572
1646,0.00071233322
1647,0.036944592
1648,0.0045633801
1649,0.039512027
1650,0.042119848
1651,0.04212316
1652,0.035241181
1653,0.0057523678
1654,0.028412641
1655,0.040423775
1656,0.028007071
1657,0.042979278
1658,0.0078219738
1659,0.013169194
1660,0.022393536
1661,0.037013136
1662,0.030751863
1663,0.053828632
1664,-0.0031766177
1665,0.026413125
1666,0.00084410788
1667,0.026976559
1668,0.045114373
1669,0.019425953
1670,0.0093705343
1671,-0.0066740147
1672,-0.0031852764
1673,0.045097991
1674,0.038296659
1675,0.020072478
1676,0.014489638
1677,0.011296621
1678,0.0010331096
1679,-0.00031740756
1680,-0.010925693
1681,0.019235444
1682,0.0017385583
1683,0.02121672
1684,0.037724618
1685,0.0077218237
1686,0.050193196
1687,0.029442025
1688,0.0073489704
1689,0.036525692
1690,0.009738632
1691,0.0081987351
1692,0.017267415
1693,0.016545283
1694,0.0073540082
1695,0.012407053
1696,0.083
1697,0.328
1698,0.573
1699,0.709
1700,0.773
1701,0.802
1702,0.815
1703,0.818
1704,0.816
1705,0.815
1706,0.819
1707,0.824
1708,0.827
1709,0.824
1710,0.821
1711,0.823
1712,0.823
1713,0.82
1714,0.817
1715,0.818
1716,0.816
1717,0.812
1718,0.809
1719,0.81
1720,0.816
1721,0.818
1722,0.818
1723,0.818
1724,0.818
1725,0.817
1726,0.815
1727,0.814
1728,0.815
1729,0.817
1730,0.812
1731,0.805
1732,0.803
1733,0.804
1734,0.806
1735,0.809
1736,0.812
1737,0.814
1738,0.813
1739,0.812
1740,0.72
1741,0.477
1742,0.237
1743,0.108
1744,0.077181738
1745,0.031484521
1746,0.018885943
1747,0.033324302
1748,0.031387426
1749,0.028216055
1750,0.023205329
1751,0.0035857021
1752,0.013634093
1753,0.028746943
1754,0.0073555195
1755,0.029336776
1756,0.041385584
1757,0.0083329391
1758,0.043747206
1759,0.04521058
1760,0.032439862
1761,0.046582746
1762,0.0043653933
1763,0.040428968
1764,0.025683726
1765,0.019135486
1766,0.0037822597
1767,0.010592933
1768,0.020219587
1769,0.02313439
1770,0.020114027
1771,0.00014655377
1772,0.040893237
1773,0.025664474
1774,0.038186425
1775,0.04492416
1776,0.0094882936
1777,0.00988539
1778,0.011982901
1779,0.037908796
1780,0.018894937
1781,0.0060072405
1782,0.0037030442
1783,0.041673552
1784,0.026169868
1785,0.011956278
