Time,root.Meat.d0.s0
168,-0.23600279
169,-0.24373147
170,-0.24807886
171,-0.2507342
172,-0.25129542
173,-0.25181197
174,-0.25737673
175,-0.26011304
176,-0.26194191
177,-0.2656471
178,-0.26770491
179,-0.26972085
180,-0.26946956
181,-0.26946956
182,-0.27024019
183,-0.26898372
184,-0.26447439
185,-0.259133
186,-0.255573
187,-0.24665486
188,-0.2368516
189,-0.23499482
190,-0.23073958
191,-0.22205039
192,-0.20822922
193,-0.18514369
194,-0.15651293
195,-0.12796036
196,-0.094250674
197,-0.05635555
198,-0.01840179
199,0.018624975
200,0.053571584
201,0.087954178
202,0.10571228
203,0.1169898
204,0.1204046
205,0.10417381
206,0.091011588
207,0.070143023
208,0.037818247
209,0.0142385
210,-0.0081573737
211,-0.03077662
212,-0.046610929
213,-0.058287721
214,-0.069699257
215,-0.097724115
216,-0.11284363
217,-0.12304617
218,-0.14565424
219,-0.15575068
220,-0.16973099
221,-0.18529726
222,-0.18492032
223,-0.17410072
224,-0.16693046
225,-0.15784758
226,-0.14218918
227,-0.13052076
228,-0.11911481
229,-0.10735146
230,-0.098455659
231,-0.087197691
232,-0.074632995
233,-0.060504692
234,-0.056389055
235,-0.078511298
236,-0.089841862
237,-0.093214785
238,-0.098531047
239,-0.11183008
240,-0.11739764
241,-0.12096322
242,-0.1341757
243,-0.17073338
244,-0.18693904
245,-0.20568557
246,-0.21033172
247,-0.21027867
248,-0.20815384
249,-0.19465098
250,-0.17685099
251,-0.15931346
252,-0.14003364
253,-0.11017713
254,-0.075492978
255,-0.04236127
256,-0.0088386594
257,0.03000859
258,0.072776025
259,0.12085135
260,0.170091
261,0.22834093
262,0.29003638
263,0.35485905
264,0.42366891
265,0.481863
266,0.53763908
267,0.57927011
268,0.61476119
269,0.66279742
270,0.72412152
271,0.79063064
272,0.85852189
273,0.92572347
274,0.98648076
275,1.0682602
276,1.1316896
277,1.1661112
278,1.2146082
279,1.3083129
280,1.3636143
281,1.4133901
282,1.4321952
283,1.4135101
284,1.3965254
285,1.3416177
286,1.2881452
287,1.228139
288,1.1086012
289,1.1119016
290,1.0896062
291,1.0550058
292,1.0404754
293,1.0104737
294,0.9923024
295,0.99923811
296,0.98599492
297,0.97334367
298,0.98803878
299,1.0031415
300,1.0186575
301,1.0385126
302,1.0613887
303,1.0945176
304,1.1291515
305,1.1707713
306,1.2147478
307,1.2664194
308,1.3247475
309,1.3941326
310,1.4659887
311,1.5553292
312,1.6526051
313,1.7583105
314,1.8703318
315,1.996579
316,2.1051576
317,2.2140628
318,2.3779092
319,2.5345463
320,2.6372306
321,2.7657926
322,2.9218517
323,3.0307932
324,3.1408795
325,3.2428601
326,3.2559525
327,3.2000368
328,3.2372814
329,3.3145682
330,3.3005097
331,3.2675484
332,3.148234
333,3.0175193
334,3.0169469
335,2.9508035
336,2.6248083
337,2.5610327
338,2.5704953
339,2.4624752
340,2.3170626
341,2.1493071
342,1.9796027
343,1.8758686
344,1.7294424
345,1.5680363
346,1.4332255
347,1.3399815
348,1.1743704
349,1.0706558
350,0.95119909
351,0.84026678
352,0.71018587
353,0.54140011
354,0.47605252
355,0.36507554
356,0.25369928
357,0.16801084
358,0.068660389
359,-0.060339954
360,-0.11068809
361,-0.23765295
362,-0.29349326
363,-0.35063749
364,-0.43061877
365,-0.4815728
366,-0.53605612
367,-0.57921725
368,-0.6260724
369,-0.66984221
370,-0.72136305
371,-0.75539663
372,-0.78078011
373,-0.81513478
374,-0.84356171
375,-0.8680852
376,-0.89610168
377,-0.91902528
378,-0.94386708
379,-0.97936932
380,-0.99047093
381,-1.0143187
382,-1.0357764
383,-1.0560251
384,-1.0769244
385,-1.0960646
386,-1.1192228
387,-1.1412529
388,-1.1621773
389,-1.1754149
390,-1.1941865
391,-1.2094903
392,-1.2212341
393,-1.237102
394,-1.2478378
395,-1.2571301
396,-1.2698148
397,-1.2770214
398,-1.2893208
399,-1.2999952
400,-1.3059788
401,-1.3127414
402,-1.3198754
403,-1.3277158
404,-1.3319738
405,-1.3392529
406,-1.3454096
407,-1.3495337
408,-1.3551263
409,-1.3611742
410,-1.3651251
411,-1.3698578
412,-1.3735853
413,-1.378949
414,-1.3839637
415,-1.3880123
416,-1.3913741
417,-1.3944929
418,-1.3983517
419,-1.4017525
420,-1.40407
421,-1.4069041
422,-1.4092774
423,-1.4116396
424,-1.413541
425,-1.4162243
426,-1.4192733
427,-1.4207085
428,-1.424383
429,-1.4266418
430,-1.4276777
431,-1.4295345
432,-1.4318576
433,-1.4343426
434,-1.4351523
435,-1.4373302
436,-1.4397454
437,-1.440153
438,-1.4408399
439,-1.4414151
440,-1.442504
441,-1.4432021
442,-1.4442798
443,-1.4461199
444,-1.4474154
445,-1.4485323
446,-1.4490907
447,-1.4500456
448,-0.23877468
449,-0.24545624
450,-0.25231544
451,-0.25685727
452,-0.25929215
453,-0.26008191
454,-0.26081429
455,-0.26204676
456,-0.2605738
457,-0.25754865
458,-0.25485963
459,-0.25056648
460,-0.24350233
461,-0.23639172
462,-0.22842849
463,-0.21907703
464,-0.2084767
465,-0.19581588
466,-0.18481384
467,-0.17589142
468,-0.16953505
469,-0.16703732
470,-0.16820967
471,-0.16900763
472,-0.16568188
473,-0.16249823
474,-0.15781703
475,-0.15027465
476,-0.14113907
477,-0.1287078
478,-0.11431715
479,-0.09892905
480,-0.083827887
481,-0.067040618
482,-0.049529172
483,-0.031840096
484,-0.018252875
485,-0.010398959
486,-0.0079996062
487,-0.014211142
488,-0.022980529
489,-0.035477383
490,-0.054568358
491,-0.074030987
492,-0.094357163
493,-0.11504406
494,-0.13439465
495,-0.15215204
496,-0.16858952
497,-0.18367429
498,-0.19613835
499,-0.20601177
500,-0.21135702
501,-0.21522386
502,-0.21913442
503,-0.2178473
504,-0.21468824
505,-0.20978569
506,-0.20295655
507,-0.19795563
508,-0.19186433
509,-0.18790731
510,-0.1893502
511,-0.19695817
512,-0.20792742
513,-0.22268972
514,-0.24093628
515,-0.25781919
516,-0.27204315
517,-0.28156404
518,-0.28672893
519,-0.28876483
520,-0.28853528
521,-0.28589544
522,-0.28160776
523,-0.27481962
524,-0.26620873
525,-0.26051642
526,-0.25683541
527,-0.25394416
528,-0.25038885
529,-0.24737737
530,-0.24560928
531,-0.24364443
532,-0.24352692
533,-0.24398876
534,-0.24298584
535,-0.24492609
536,-0.25313527
537,-0.2644707
538,-0.27603842
539,-0.28602935
540,-0.29407456
541,-0.30023144
542,-0.3035162
543,-0.30531435
544,-0.30552204
545,-0.30519137
546,-0.303825
547,-0.3010294
548,-0.29805617
549,-0.29490805
550,-0.2907406
551,-0.28447715
552,-0.27682272
553,-0.2693104
554,-0.26369733
555,-0.25798043
556,-0.24932855
557,-0.23860251
558,-0.23055457
559,-0.22222789
560,-0.2126742
561,-0.20342112
562,-0.19340014
563,-0.1839175
564,-0.17469174
565,-0.16704552
566,-0.15966163
567,-0.15273685
568,-0.14726862
569,-0.14321323
570,-0.14039576
571,-0.14005417
572,-0.14323782
573,-0.14777145
574,-0.15376436
575,-0.16005515
576,-0.1658677
577,-0.17107085
578,-0.1775584
579,-0.18376173
580,-0.1884156
581,-0.19345752
582,-0.19598531
583,-0.19739268
584,-0.19950509
585,-0.20106549
586,-0.20265049
587,-0.20636702
588,-0.20859694
589,-0.2078673
590,-0.20733988
591,-0.20578768
592,-0.20318884
593,-0.20108735
594,-0.19871806
595,-0.19714127
596,-0.19540324
597,-0.19167577
598,-0.18551343
599,-0.17844654
600,-0.17177317
601,-0.16429091
602,-0.15575927
603,-0.14739433
604,-0.14154352
605,-0.13740887
606,-0.13369233
607,-0.13423888
608,-0.14143421
609,-0.14937011
610,-0.15794547
611,-0.17155455
612,-0.18622667
613,-0.19936572
614,-0.21346124
615,-0.22667954
616,-0.23715142
617,-0.24492336
618,-0.25023035
619,-0.25262971
620,-0.25314893
621,-0.25407533
622,-0.25970206
623,-0.2627928
624,-0.26376292
625,-0.26599558
626,-0.26706955
627,-0.26966019
628,-0.27141188
629,-0.27186825
630,-0.27164143
631,-0.26993346
632,-0.26608849
633,-0.26263156
634,-0.2595053
635,-0.25014017
636,-0.23947699
637,-0.23718422
638,-0.23385846
639,-0.22434577
640,-0.20984854
641,-0.18784446
642,-0.15899211
643,-0.12943471
644,-0.096196303
645,-0.058987211
646,-0.022513229
647,0.013537178
648,0.04923506
649,0.08135031
650,0.10044948
651,0.11399571
652,0.1142198
653,0.097965415
654,0.086580789
655,0.066393982
656,0.035568589
657,0.012807534
658,-0.011369084
659,-0.03496636
660,-0.051925791
661,-0.063955346
662,-0.074490088
663,-0.10097861
664,-0.1151807
665,-0.12546676
666,-0.14781244
667,-0.16019452
668,-0.17428457
669,-0.18751653
670,-0.18892663
671,-0.17964348
672,-0.16966076
673,-0.16001689
674,-0.14597057
675,-0.13316765
676,-0.12211641
677,-0.11185221
678,-0.10319487
679,-0.090739006
680,-0.076624364
681,-0.063906157
682,-0.062673688
683,-0.085355493
684,-0.093515477
685,-0.095493986
686,-0.10253901
687,-0.11396189
688,-0.11861303
689,-0.12449664
690,-0.13843638
691,-0.17495409
692,-0.19084775
693,-0.20793835
694,-0.2122069
695,-0.21348856
696,-0.21142261
697,-0.19902413
698,-0.18324524
699,-0.16340276
700,-0.14252457
701,-0.11639404
702,-0.082469711
703,-0.046807355
704,-0.014424296
705,0.02327669
706,0.06579551
707,0.11053605
708,0.1544677
709,0.21874466
710,0.28170443
711,0.34454123
712,0.41380545
713,0.47183808
714,0.52567594
715,0.56847897
716,0.61007412
717,0.65765399
718,0.71337198
719,0.77786482
720,0.8496705
721,0.91704912
722,0.9759289
723,1.0601713
724,1.1220134
725,1.1603019
726,1.2166375
727,1.3108818
728,1.3613939
729,1.402877
730,1.4160652
731,1.3968759
732,1.3813511
733,1.3292568
734,1.2749844
735,1.2076058
736,1.0919778
737,1.0950029
738,1.0679897
739,1.0376699
740,1.0248615
741,0.9863844
742,0.97039509
743,0.98062103
744,0.97953066
745,0.97384928
746,0.98168134
747,0.99099727
748,1.0039314
749,1.0286163
750,1.0545364
751,1.084848
752,1.1208137
753,1.1642043
754,1.210385
755,1.2676115
756,1.3253107
757,1.3894428
758,1.4594449
759,1.5471251
760,1.6458347
761,1.7617496
762,1.87356
763,2.001111
764,2.1201413
765,2.2383872
766,2.3911232
767,2.5397355
768,2.6505648
769,2.779556
770,2.9174723
771,3.0238664
772,3.1354362
773,3.2084525
774,3.2078595
775,3.2025143
776,3.2909952
777,3.3658342
778,3.3559608
779,3.3012867
780,3.2000138
781,3.064833
782,3.0050159
783,2.9411543
784,2.6276507
785,2.5866978
786,2.5702357
787,2.4445567
788,2.2978819
789,2.1251477
790,1.9587507
791,1.8623994
792,1.7130001
793,1.5425778
794,1.4166692
795,1.3280926
796,1.1598865
797,1.0595728
798,0.94005613
799,0.82346891
800,0.69280532
801,0.5289853
802,0.4636535
803,0.35353197
804,0.24551192
805,0.16009716
806,0.061770173
807,-0.066545991
808,-0.11903114
809,-0.24480312
810,-0.30018498
811,-0.35556958
812,-0.43272324
813,-0.48309324
814,-0.53633263
815,-0.57972047
816,-0.62704072
817,-0.66897747
818,-0.71988856
819,-0.75384021
820,-0.77805236
821,-0.81149845
822,-0.84035354
823,-0.86462307
824,-0.89279223
825,-0.91639497
826,-0.94031471
827,-0.97464075
828,-0.98594886
829,-1.0090324
830,-1.0302084
831,-1.0503461
832,-1.0707378
833,-1.0908235
834,-1.1153089
835,-1.1380481
836,-1.161558
837,-1.1764104
838,-1.1955506
839,-1.2113596
840,-1.223124
841,-1.2395014
842,-1.25152
843,-1.2607048
844,-1.2722834
845,-1.2796974
846,-1.2905436
847,-1.3014992
848,-1.3094379
849,-1.3164665
850,-1.3232191
851,-1.3317043
852,-1.3370277
853,-1.3436136
854,-1.3487976
855,-1.3526426
856,-1.3583978
857,-1.3650629
858,-1.3684106
859,-1.3724851
860,-1.376688
861,-1.3821809
862,-1.3866243
863,-1.3904201
864,-1.3942623
865,-1.3979816
866,-1.401608
867,-1.4052644
868,-1.4080409
869,-1.4108228
870,-1.4131812
871,-1.4158319
872,-1.4177312
873,-1.419696
874,-1.4229425
875,-1.4244346
876,-1.4279872
877,-1.4312556
878,-1.4328788
879,-1.4347808
880,-1.4368713
881,-1.438951
882,-1.4397872
883,-1.4412082
884,-1.4428916
885,-1.4436294
886,-1.4443755
887,-1.4448537
888,-1.4462884
889,-1.4480674
890,-1.4490731
891,-1.4502454
892,-1.4511636
893,-1.4525601
894,-1.4538772
895,-1.4541287
896,-0.24034402
897,-0.24588797
898,-0.24921942
899,-0.25155312
900,-0.25332313
901,-0.25643191
902,-0.2588699
903,-0.25976054
904,-0.25884735
905,-0.25659538
906,-0.25307228
907,-0.24585133
908,-0.2376862
909,-0.23057517
910,-0.22319639
911,-0.21425898
912,-0.20272576
913,-0.19061757
914,-0.17979178
915,-0.1721537
916,-0.1687518
917,-0.16798799
918,-0.17129688
919,-0.17447895
920,-0.17366723
921,-0.17007084
922,-0.16578957
923,-0.15997787
924,-0.15174508
925,-0.14058954
926,-0.12562059
927,-0.10986246
928,-0.093551915
929,-0.078002357
930,-0.059538491
931,-0.04122964
932,-0.029158088
933,-0.021796217
934,-0.01770942
935,-0.021655293
936,-0.033484456
937,-0.048642244
938,-0.067926289
939,-0.085896921
940,-0.1054459
941,-0.12695091
942,-0.14621804
943,-0.1631402
944,-0.17675346
945,-0.18827259
946,-0.19747775
947,-0.20593319
948,-0.21334016
949,-0.21806957
950,-0.2201327
951,-0.21772008
952,-0.2127511
953,-0.20672519
954,-0.1987968
955,-0.1897382
956,-0.1827371
957,-0.17824444
958,-0.17937465
959,-0.18630811
960,-0.19673367
961,-0.21154479
962,-0.22863887
963,-0.24649395
964,-0.25980845
965,-0.26841327
966,-0.27535519
967,-0.27792846
968,-0.27686589
969,-0.27439127
970,-0.26920526
971,-0.26128815
972,-0.25227747
973,-0.24560613
974,-0.24157006
975,-0.23774538
976,-0.23567944
977,-0.23390379
978,-0.23082601
979,-0.22961125
980,-0.23122342
981,-0.23239873
982,-0.23333446
983,-0.23798777
984,-0.24653622
985,-0.25766077
986,-0.26975769
987,-0.28057783
988,-0.2876945
989,-0.29352311
990,-0.29878522
991,-0.30133876
992,-0.30271418
993,-0.30277055
994,-0.30231114
995,-0.30132185
996,-0.29973505
997,-0.29739007
998,-0.29352875
999,-0.28965052
1000,-0.28356824
1001,-0.27619228
1002,-0.27018328
1003,-0.26360494
1004,-0.25632199
1005,-0.24828086
1006,-0.23989025
1007,-0.22933786
1008,-0.21855999
1009,-0.21038921
1010,-0.20250874
1011,-0.19231148
1012,-0.18104037
1013,-0.17162665
1014,-0.16300491
1015,-0.15632793
1016,-0.15159852
1017,-0.14626314
1018,-0.14435503
1019,-0.14560643
1020,-0.14658163
1021,-0.1502231
1022,-0.15419434
1023,-0.15756525
1024,-0.16452126
1025,-0.17276531
1026,-0.17883068
1027,-0.18411252
1028,-0.18888138
1029,-0.19275398
1030,-0.19477483
1031,-0.19580357
1032,-0.19906174
1033,-0.20233399
1034,-0.20403635
1035,-0.2048058
1036,-0.20601211
1037,-0.20715359
1038,-0.20733398
1039,-0.20768065
1040,-0.20693657
1041,-0.20486499
1042,-0.20203523
1043,-0.1991632
1044,-0.19615306
1045,-0.19293718
1046,-0.18882502
1047,-0.18367565
1048,-0.17718187
1049,-0.16810636
1050,-0.15848689
1051,-0.14910135
1052,-0.14118424
1053,-0.13730319
1054,-0.13441707
1055,-0.13429587
1056,-0.14005966
1057,-0.14849538
1058,-0.15854326
1059,-0.17190849
1060,-0.18625738
1061,-0.20033287
1062,-0.2136051
1063,-0.22568792
1064,-0.23688011
1065,-0.24425607
1066,-0.24927015
1067,-0.25172787
1068,-0.2511529
1069,-0.25231411
1070,-0.25817655
1071,-0.26086538
1072,-0.26214779
1073,-0.26611903
1074,-0.26924472
1075,-0.2713924
1076,-0.27124866
1077,-0.27081462
1078,-0.27038339
1079,-0.26885295
1080,-0.2652143
1081,-0.26017485
1082,-0.2563389
1083,-0.24754242
1084,-0.2368632
1085,-0.23383897
1086,-0.23037506
1087,-0.22101488
1088,-0.20631932
1089,-0.18436618
1090,-0.15614473
1091,-0.12854617
1092,-0.096452131
1093,-0.060136008
1094,-0.025392598
1095,0.011831076
1096,0.047389027
1097,0.080492082
1098,0.10151231
1099,0.10979583
1100,0.108054
1101,0.092687648
1102,0.078815086
1103,0.057087419
1104,0.025185037
1105,0.0024709016
1106,-0.018391492
1107,-0.03920879
1108,-0.054890816
1109,-0.066122461
1110,-0.075088048
1111,-0.10117309
1112,-0.11743854
1113,-0.12837988
1114,-0.15045704
1115,-0.1605162
1116,-0.1740449
1117,-0.1879992
1118,-0.18872637
1119,-0.18056969
1120,-0.17278786
1121,-0.1639942
1122,-0.1486814
1123,-0.13641537
1124,-0.12469331
1125,-0.11211161
1126,-0.10328977
1127,-0.089648319
1128,-0.074172042
1129,-0.060147282
1130,-0.056083033
1131,-0.082418916
1132,-0.093360258
1133,-0.09400569
1134,-0.098794289
1135,-0.11317136
1136,-0.12040358
1137,-0.1264915
1138,-0.14273158
1139,-0.17884196
1140,-0.19430414
1141,-0.21161243
1142,-0.21624601
1143,-0.21726348
1144,-0.21534128
1145,-0.20368968
1146,-0.18727203
1147,-0.16747784
1148,-0.14698185
1149,-0.12116739
1150,-0.089417204
1151,-0.052974249
1152,-0.01882272
1153,0.017008625
1154,0.057507373
1155,0.10021581
1156,0.14653754
1157,0.20973351
1158,0.26973051
1159,0.33356346
1160,0.39793192
1161,0.44987933
1162,0.50891241
1163,0.5542674
1164,0.59613593
1165,0.64302417
1166,0.69880472
1167,0.76264049
1168,0.83182292
1169,0.89943827
1170,0.95964383
1171,1.0390151
1172,1.0969123
1173,1.1395672
1174,1.1832649
1175,1.2684732
1176,1.3300316
1177,1.375536
1178,1.3911899
1179,1.3694847
1180,1.352137
1181,1.3059252
1182,1.2581519
1183,1.2050292
1184,1.1045701
1185,1.1015261
1186,1.0738909
1187,1.0451763
1188,1.0361289
1189,1.0072705
1190,0.99214937
1191,1.0028511
1192,0.99596841
1193,0.98226496
1194,0.99530607
1195,1.0131668
1196,1.0297986
1197,1.0515235
1198,1.0754552
1199,1.1068193
1200,1.1417825
1201,1.182907
1202,1.2271937
1203,1.2808858
1204,1.333504
1205,1.3998567
1206,1.4797071
1207,1.565341
1208,1.6502026
1209,1.7628178
1210,1.8753823
1211,1.9964163
1212,2.1246515
1213,2.2606855
1214,2.4131399
1215,2.5416063
1216,2.6456674
1217,2.7758389
1218,2.9166023
1219,3.0394542
1220,3.1436365
1221,3.220412
1222,3.2118071
1223,3.1557729
1224,3.2614011
1225,3.3470435
1226,3.3184641
1227,3.2928356
1228,3.2160828
1229,3.0261313
1230,2.9717233
1231,2.9326535
1232,2.6399994
1233,2.5929674
1234,2.5814793
1235,2.4638106
1236,2.3117366
1237,2.1398065
1238,1.9804524
1239,1.8817718
1240,1.7261381
1241,1.5612401
1242,1.4372579
1243,1.3433123
1244,1.1777632
1245,1.0780651
1246,0.9576258
1247,0.84366617
1248,0.71444165
1249,0.54181535
1250,0.47531894
1251,0.36672852
1252,0.25785343
1253,0.1712838
1254,0.071329202
1255,-0.056652366
1256,-0.106376
1257,-0.2309613
1258,-0.28875988
1259,-0.34496039
1260,-0.42399904
1261,-0.47614093
1262,-0.53105902
1263,-0.57495404
1264,-0.62260609
1265,-0.66716909
1266,-0.71658551
1267,-0.75097097
1268,-0.77727304
1269,-0.81112581
1270,-0.83856372
1271,-0.86234605
1272,-0.89010527
1273,-0.9118583
1274,-0.9341694
1275,-0.96575893
1276,-0.97527975
1277,-0.99625489
1278,-1.0147582
1279,-1.0327063
1280,-1.0540084
1281,-1.0743465
1282,-1.0985967
1283,-1.1242252
1284,-1.1505132
1285,-1.1677651
1286,-1.1906568
1287,-1.2080327
1288,-1.2205158
1289,-1.2383116
1290,-1.2518967
1291,-1.2627112
1292,-1.2750026
1293,-1.2825054
1294,-1.2944248
1295,-1.305197
1296,-1.3121333
1297,-1.3189596
1298,-1.3261721
1299,-1.3348051
1300,-1.3403237
1301,-1.3474798
1302,-1.3529167
1303,-1.3563524
1304,-1.3616117
1305,-1.3692921
1306,-1.373314
1307,-1.3772796
1308,-1.3814256
1309,-1.3869104
1310,-1.3915468
1311,-1.3957604
1312,-1.3998275
1313,-1.403297
1314,-1.4066679
1315,-1.4102587
1316,-1.4126826
1317,-1.415191
1318,-1.4174655
1319,-1.419881
1320,-1.4225106
1321,-1.4254249
1322,-1.4285901
1323,-1.4301543
1324,-1.4336042
1325,-1.4364593
1326,-1.4375218
1327,-1.4391171
1328,-1.441138
1329,-1.4436098
1330,-1.4449345
1331,-1.4467608
1332,-1.4487591
1333,-1.4492326
1334,-1.4498132
1335,-1.4505122
1336,-1.4517129
1337,-1.4531362
1338,-1.4548471
1339,-1.4559265
1340,-1.4562394
1341,-1.4580714
1342,-1.4597315
1343,-1.4599147
1344,-0.23921122
1345,-0.24621457
1346,-0.25057569
1347,-0.25334293
1348,-0.25568969
1349,-0.25750517
1350,-0.25808475
1351,-0.25846546
1352,-0.25807055
1353,-0.25574936
1354,-0.2525872
1355,-0.24826586
1356,-0.24225406
1357,-0.23310566
1358,-0.22421865
1359,-0.21519243
1360,-0.20317166
1361,-0.19193789
1362,-0.18067571
1363,-0.17257852
1364,-0.17127445
1365,-0.17206996
1366,-0.17295355
1367,-0.17430592
1368,-0.1738968
1369,-0.17114944
1370,-0.16607237
1371,-0.15996681
1372,-0.15219636
1373,-0.1417723
1374,-0.12863214
1375,-0.11102574
1376,-0.093589815
1377,-0.076361286
1378,-0.059041843
1379,-0.043884488
1380,-0.030417598
1381,-0.020590177
1382,-0.019595787
1383,-0.024820599
1384,-0.034872468
1385,-0.052064061
1386,-0.070764288
1387,-0.090586755
1388,-0.11207127
1389,-0.13197613
1390,-0.15049169
1391,-0.16872881
1392,-0.18448848
1393,-0.19814289
1394,-0.20935677
1395,-0.21754771
1396,-0.22376975
1397,-0.22756833
1398,-0.22860249
1399,-0.22715068
1400,-0.22235488
1401,-0.21591691
1402,-0.20809248
1403,-0.19938446
1404,-0.19435568
1405,-0.19134694
1406,-0.19009401
1407,-0.19536712
1408,-0.20791064
1409,-0.22517327
1410,-0.2431206
1411,-0.25889163
1412,-0.27286424
1413,-0.2830326
1414,-0.2893001
1415,-0.29082009
1416,-0.2875869
1417,-0.28364059
1418,-0.27946699
1419,-0.27059135
1420,-0.26017582
1421,-0.25326622
1422,-0.24762945
1423,-0.24267738
1424,-0.23916008
1425,-0.23598939
1426,-0.23290678
1427,-0.2322448
1428,-0.23288121
1429,-0.23241243
1430,-0.23314544
1431,-0.23756621
1432,-0.24641061
1433,-0.25832057
1434,-0.27004869
1435,-0.28031933
1436,-0.28866369
1437,-0.29501926
1438,-0.29895137
1439,-0.30083787
1440,-0.3015794
1441,-0.30077537
1442,-0.30199705
1443,-0.30218456
1444,-0.29830644
1445,-0.29577784
1446,-0.29212701
1447,-0.28627431
1448,-0.28000112
1449,-0.27423934
1450,-0.26893214
1451,-0.26196572
1452,-0.25428334
1453,-0.2463822
1454,-0.2370747
1455,-0.22773027
1456,-0.21958479
1457,-0.20991079
1458,-0.20036464
1459,-0.1907503
1460,-0.18030352
1461,-0.17061531
1462,-0.16162318
1463,-0.15451755
1464,-0.15065931
1465,-0.14813072
1466,-0.14626695
1467,-0.14769035
1468,-0.15084967
1469,-0.15429026
1470,-0.15787291
1471,-0.16241301
1472,-0.16905838
1473,-0.17458151
1474,-0.17951653
1475,-0.18424131
1476,-0.18740631
1477,-0.19147763
1478,-0.19399202
1479,-0.19580749
1480,-0.19883328
1481,-0.20087036
1482,-0.20295574
1483,-0.20489054
1484,-0.20566616
1485,-0.20549285
1486,-0.20509794
1487,-0.20420015
1488,-0.2024557
1489,-0.20214602
1490,-0.20138176
1491,-0.19927649
1492,-0.19673938
1493,-0.19349198
1494,-0.18883823
1495,-0.1826446
1496,-0.17486278
1497,-0.1668139
1498,-0.15712854
1499,-0.14687211
1500,-0.13877493
1501,-0.13441381
1502,-0.13229434
1503,-0.13272903
1504,-0.13794248
1505,-0.14497424
1506,-0.15455448
1507,-0.16952432
1508,-0.18567607
1509,-0.19919978
1510,-0.21301897
1511,-0.22601992
1512,-0.23590132
1513,-0.24243305
1514,-0.24691065
1515,-0.2498995
1516,-0.25098196
1517,-0.25222353
1518,-0.25812453
1519,-0.26146852
1520,-0.26271862
1521,-0.26639502
1522,-0.26950036
1523,-0.2713272
1524,-0.27119935
1525,-0.27033281
1526,-0.27079591
1527,-0.26994926
1528,-0.26478979
1529,-0.25991159
1530,-0.2568375
1531,-0.24758967
1532,-0.23774236
1533,-0.235907
1534,-0.23120211
