Time,root.Ham.d0.s0
207,0.82658757
208,0.89053547
209,0.92707713
210,0.94534796
211,0.96361879
212,0.96361879
213,0.96361879
214,0.96361879
215,0.94534796
216,0.92707713
217,0.89967089
218,0.82658757
219,0.68042094
220,0.39722309
221,-0.023005984
222,-0.4706413
223,-0.85432871
224,-1.1101203
225,-1.2562869
226,-1.3220619
227,-1.3403328
228,-1.3421598
229,-1.3321109
230,-1.3001369
231,-1.2590276
232,-1.2151776
233,-1.1695005
234,-1.1101203
235,-1.037037
236,-1.0004953
237,-1.0004953
238,-1.037037
239,-1.1009849
240,-1.1704141
241,-1.2453245
242,-1.3211484
243,-1.4006265
244,-1.4718827
245,-1.5120786
246,-1.521214
247,-1.5193869
248,-1.4956348
249,-1.4371682
250,-1.355863
251,-1.280039
252,-1.2316213
253,-1.214264
254,-1.2087828
255,-1.2033015
256,-1.1895984
257,-1.1484891
258,-1.0553078
259,-0.88173495
260,-0.58026627
261,-0.1600372
262,0.2784627
263,0.61647304
264,0.79918133
265,0.89053547
266,0.91794172
267,0.92707713
268,0.91794172
269,0.89053547
270,0.7809105
271,0.58906679
272,0.37895226
273,0.14143148
274,0.086618991
275,0.16883772
276,0.33327518
277,0.39722309
278,0.38808767
279,0.24192104
280,-0.0960893
281,-0.50718296
282,-0.85432871
283,-1.0553078
284,-1.1192557
285,-1.1192557
286,-1.0644432
287,-0.88173495
288,-0.662485
289,-0.50718296
290,-0.45237047
291,-0.45237047
292,-0.47977671
293,-0.58026627
294,-0.68989125
295,-0.7264329
296,-0.7264329
297,-0.69902666
298,-0.57113086
299,-0.30620383
300,0.10488982
301,0.57993138
302,0.92707713
303,1.1280563
304,1.2376812
305,1.3107645
306,1.3564416
307,1.4021187
308,1.4295249
309,1.4477958
310,1.4569312
311,1.4569312
312,1.4569312
313,1.4569312
314,1.4477958
315,1.4295249
316,1.4203895
317,1.4021187
318,1.3747124
319,1.3564416
320,1.3290354
321,1.3107645
322,1.2924937
323,1.2650875
324,1.2376812
325,1.1920042
326,1.1189208
327,1.0184313
328,0.87226464
329,0.69869177
330,0.50684806
331,0.31500435
332,0.13229606
333,0.022671089
334,-0.023005984
335,-0.032141398
336,-0.023005984
337,0.040941918
338,0.17797314
339,0.37895226
340,0.63474386
341,0.89967089
342,1.1189208
343,1.2650875
344,1.3473062
345,1.3929833
346,1.4295249
347,1.4660666
348,1.4934728
349,1.5117437
350,1.5391499
351,1.5574207
352,1.5574207
353,1.5574207
354,1.5300145
355,1.4660666
356,1.3290354
357,1.0732438
358,0.7169626
359,0.28759811
360,-0.14176637
361,-0.51631837
362,-0.80865164
363,-1.037037
364,-1.2060422
365,-1.3494682
366,-1.4737098
367,-1.5851619
368,-1.6856514
369,-1.7751785
370,-1.8555701
371,-1.9259128
372,-1.9843795
373,-2.0254889
374,-2.0474138
375,-2.0538086
376,-2.0538086
377,-2.0501545
378,-2.0346243
379,-1.9907743
380,-1.9039878
381,-1.776092
382,-1.6445421
383,-1.543139
384,-1.4609202
385,-1.3686525
386,-1.234362
387,-1.037037
388,-0.78124539
389,-0.45237047
390,0.11402523
391,0.62560845
392,1.0549729
393,1.3290354
394,1.4295249
395,1.4934728
396,1.5208791
397,1.5300145
398,1.5117437
399,1.4569312
400,1.3473062
401,1.2011396
402,1.0092959
403,0.81745216
404,0.69869177
405,0.67128552
406,0.67128552
407,0.73523342
408,0.91794172
409,1.1737333
410,1.3838479
411,1.5117437
412,1.5665561
413,1.584827
414,1.6030978
415,1.6030978
416,1.6030978
417,1.5939624
418,1.5665561
419,1.475202
420,1.2833583
421,0.9727542
422,0.50684806
423,-0.050412227
424,-0.57113086
425,-0.98222451
426,-1.268163
427,-1.4645744
428,-1.5924702
429,-1.6628129
430,-1.7066629
431,-0.83613657
432,-0.82292708
433,-0.81652248
434,-0.8193245
435,-0.83133312
436,-0.84974635
437,-0.86015383
438,-0.86135469
439,-0.85895296
440,-0.85495009
441,-0.8545498
442,-0.85695153
443,-0.85935325
444,-0.85935325
445,-0.85575066
446,-0.85094721
447,-0.84774491
448,-0.84574347
449,-0.84294146
450,-0.83933887
451,-0.835336
452,-0.83013226
453,-0.82212651
454,-0.80771616
455,-0.78730149
456,-0.76968884
457,-0.76368453
458,-0.76648654
459,-0.77169028
460,-0.77048942
461,-0.7484736
462,-0.69323392
463,-0.61878044
464,-0.56754364
465,-0.58515629
466,-0.646
467,-0.6940345
468,-0.70244054
469,-0.69763709
470,-0.70564284
471,-0.73166153
472,-0.75768022
473,-0.77369172
474,-0.77609344
475,-0.76368453
476,-0.73166153
477,-0.67402012
478,-0.59236147
479,-0.51230396
480,-0.46026658
481,-0.4242407
482,-0.37220332
483,-0.27613431
484,-0.1480423
485,-0.031958919
486,0.052101462
487,0.13215897
488,0.20421073
489,0.21621935
490,0.16418197
491,-0.011944543
492,-0.20808543
493,-0.32817169
494,-0.3922177
495,-0.41623495
496,-0.41623495
497,-0.36820045
498,-0.24010844
499,-0.1160193
500,-0.092002049
501,-0.14403943
502,-0.22809981
503,-0.26812856
504,-0.27613431
505,-0.28814294
506,-0.32817169
507,-0.36419757
508,-0.3762062
509,-0.37220332
510,-0.34818607
511,-0.32817169
512,-0.30815732
513,-0.27613431
514,-0.22009406
515,-0.16805668
516,-0.16005093
517,-0.18406818
518,-0.27213144
519,-0.41623495
520,-0.54192524
521,-0.60957383
522,-0.62638591
523,-0.62238303
524,-0.56714335
525,-0.42824358
526,-0.23610556
527,-0.019950294
528,0.16818485
529,0.24423948
530,0.23623373
531,0.14016472
532,-0.03996467
533,-0.24010844
534,-0.41623495
535,-0.55393386
536,-0.64319798
537,-0.68402731
538,-0.69283364
539,-0.69203306
540,-0.68162559
541,-0.65120373
542,-0.60116779
543,-0.53632121
544,-0.46026658
545,-0.38020907
546,-0.32817169
547,-0.30815732
548,-0.3441832
549,-0.44425508
550,-0.57594968
551,-0.69043191
552,-0.73966728
553,-0.74006757
554,-0.69163277
555,-0.58915917
556,-0.4402522
557,-0.24010844
558,-0.03996467
559,0.024081335
560,6.4083155e-05
561,-0.16005093
562,-0.43224645
563,-0.64680057
564,-0.71725118
565,-0.71805175
566,-0.67201868
567,-0.5719468
568,-0.50429821
569,-0.49629246
570,-0.52831546
571,-0.61477757
572,-0.6844276
573,-0.7004391
574,-0.68883076
575,-0.63359108
576,-0.57955226
577,-0.56714335
578,-0.58355514
579,-0.65080345
580,-0.73286239
581,-0.80051098
582,-0.84574347
583,-0.86615814
584,-0.86575785
585,-0.84454261
586,-0.79931012
587,-0.7132483
588,-0.61437728
589,-0.52831546
590,-0.49228958
591,-0.50830108
592,-0.55153214
593,-0.55793674
594,-0.52831546
595,-0.44825795
596,-0.38020907
597,-0.34018032
598,-0.30415444
599,-0.24010844
600,-0.1160193
601,0.10413884
602,0.47240337
603,1.0888462
604,1.8934241
605,2.4538267
606,2.6099388
607,2.6219474
608,2.5579014
609,2.1976426
610,1.2769813
611,0.2082136
612,-0.4402522
613,-0.7004391
614,-0.78009632
615,-0.79971041
616,-0.80531443
617,-0.80891702
618,-0.81091846
619,-0.81051817
620,-0.80531443
621,-0.79010351
622,-0.76488539
623,-0.73166153
624,-0.69643622
625,-0.66641466
626,-0.64760115
627,-0.64960258
628,-0.66681495
629,-0.69363421
630,-0.71725118
631,-0.72325549
632,-0.71524974
633,-0.678023
634,-0.58915917
635,-0.41623495
636,-0.096004925
637,0.484412
638,1.3450302
639,2.1456053
640,2.5178727
641,2.5979302
642,2.6059359
643,2.5979302
644,2.5819187
645,2.5178727
646,2.2937116
647,1.769335
648,1.1328778
649,0.64852989
650,0.31629123
651,0.048098587
652,-0.20007968
653,-0.40022345
654,-0.53712179
655,-0.61197555
656,-0.64640028
657,-0.65920948
658,-0.66161121
659,-0.66041035
660,-0.65840891
661,-0.65920948
662,-0.66361265
663,-0.66761552
664,-0.66961696
665,-0.66001006
666,-0.63679338
667,-0.60517067
668,-0.56914479
669,-0.54232552
670,-0.5367215
671,-0.5495307
672,-0.5879583
673,-0.64519942
674,-0.70604313
675,-0.75968165
676,-0.80291271
677,-0.83773772
678,-0.86375641
679,-0.87896734
680,-0.8833705
681,-0.88297021
682,-0.87416389
683,-0.84614376
684,-0.79890983
685,-0.75087533
686,-0.7132483
687,-0.68482789
688,-0.65440603
689,-0.60356952
690,-0.49629246
691,-0.27613431
692,0.12815609
693,0.75260465
694,1.5051452
695,2.0735535
696,2.2656915
697,2.2736973
698,2.1255909
699,1.6572545
700,0.94073979
701,0.30428261
702,-0.047970421
703,-0.11201643
704,0.08812734
705,0.4684005
706,0.96875991
707,1.4651165
708,1.7172976
709,1.7092918
710,1.4290906
711,0.88870241
712,0.33630561
713,-0.092002049
714,-0.38020907
715,-0.55193242
716,-0.64079626
717,-0.66561408
718,-0.6652138
719,-0.64199712
720,-0.57955226
721,-0.48828671
722,-0.38421195
723,-0.27213144
724,-0.1480423
725,-0.031958919
726,0.02808421
727,0.036089961
728,0.016075584
729,-0.059979047
730,-0.13603368
731,-0.16405381
732,-0.16405381
733,-0.14403943
734,-0.083996299
735,0.016075584
736,0.20020785
737,0.51243213
738,1.0087887
739,1.6852746
740,2.1776283
741,2.2616886
742,2.2576858
743,2.2536829
744,2.24968
745,2.24968
746,2.24968
747,2.24968
748,2.2456771
749,2.2416743
750,2.2256628
751,2.1456053
752,1.8253752
753,1.2569669
754,0.85267653
755,0.75260465
756,0.77261902
757,0.83666503
758,0.84867365
759,0.81665065
760,0.67254714
761,0.45639187
762,0.22022223
763,0.0040669585
764,-0.15604805
765,-0.24811419
766,-0.27213144
767,-0.26812856
768,-0.22809981
769,-0.15204518
770,-0.051973296
771,0.08812734
772,0.28426823
773,0.55246088
774,0.88870241
775,1.2969957
776,1.7333091
777,2.0735535
778,2.2096513
779,2.2376714
780,2.2416743
781,2.2376714
782,2.2256628
783,2.2016455
784,2.057542
785,1.6972832
786,1.1809123
787,0.66053851
788,0.2402366
789,-0.051973296
790,-0.23610556
791,-0.34018032
792,-0.3922177
793,-0.4242407
794,-0.45226083
795,-0.49228958
796,-0.54272581
797,-0.60957383
798,-0.67882357
799,-0.73646498
800,-0.77769459
801,-0.81091846
802,-0.84254117
803,-0.87096159
804,-0.89257712
805,-0.90538632
806,-0.91018977
807,-0.91059005
808,-0.91018977
809,-0.90858862
810,-0.90618689
811,-0.9025843
812,-0.89778085
813,-0.89137625
814,-0.88136906
815,-0.86815958
816,-0.84894577
817,-0.8225268
818,-0.78449948
819,-0.72685808
820,-0.64079626
821,-0.47227521
822,-0.23610556
823,0.12015034
824,0.58848676
825,1.1408836
826,1.6892775
827,2.0655478
828,2.1576139
829,2.0415305
830,1.6532516
831,1.1048577
832,0.57647813
833,0.1601791
834,-0.067984797
835,-0.12802793
836,-0.12002218
837,-0.03996467
838,0.15217335
839,0.42837174
840,0.78462765
841,1.2569669
842,1.7973551
843,2.2296656
844,2.4258065
845,2.4618324
846,2.4538267
847,2.3577577
848,2.0415305
849,1.4691193
850,0.81264778
851,0.27225961
852,-0.10401068
853,-0.34018032
854,-0.46827233
855,-0.53231834
856,-0.5623399
857,-0.57314766
858,-0.57594968
859,-0.57634996
860,-0.56994536
861,-0.55873731
862,-0.69571071
863,-0.70201547
864,-0.69531667
865,-0.6771905
866,-0.64054412
867,-0.55897637
868,-0.43603368
869,-0.3651052
870,-0.36116473
871,-0.3926885
872,-0.46755745
873,-0.52272404
874,-0.54360854
875,-0.55661209
876,-0.57946682
877,-0.63108699
878,-0.69334643
879,-0.72329401
880,-0.72723448
881,-0.7181714
882,-0.68073692
883,-0.63187508
884,-0.59483466
885,-0.57158588
886,-0.55621804
887,-0.54360854
888,-0.53060498
889,-0.5148431
890,-0.4872598
891,-0.44785509
892,-0.40845038
893,-0.38874803
894,-0.38874803
895,-0.40845038
896,-0.42815274
897,-0.43209321
898,-0.41633132
899,-0.39662897
900,-0.39662897
901,-0.43603368
902,-0.49514074
903,-0.53060498
904,-0.54676091
905,-0.55030734
906,-0.52272404
907,-0.46755745
908,-0.46361698
909,-0.49514074
910,-0.54439663
911,-0.5826192
912,-0.59089419
913,-0.57355611
914,-0.47937886
915,-0.28235531
916,-0.061688941
917,0.048644245
918,0.064406129
919,0.056525187
920,0.0013585939
921,-0.089272237
922,-0.1483793
923,-0.15231977
924,-0.12473648
925,-0.065629412
926,-0.018343761
927,0.02894189
928,0.10775131
929,0.18656073
930,0.1905012
931,0.13533461
932,0.0052990648
933,-0.089272237
934,-0.16414119
935,-0.28629578
936,-0.34934332
937,-0.32964096
938,-0.26659343
939,-0.22718872
940,-0.21142684
941,-0.20748637
942,-0.22324825
943,-0.25477202
944,-0.2981172
945,-0.34934332
946,-0.41633132
947,-0.49908121
948,-0.56882755
949,-0.59089419
950,-0.5885299
951,-0.56803946
952,-0.55070138
953,-0.54951924
954,-0.55267162
955,-0.55306567
956,-0.53612164
957,-0.47937886
958,-0.3926885
959,-0.31781955
960,-0.25477202
961,-0.19960542
962,-0.1483793
963,-0.089272237
964,-0.030165173
965,-0.010462819
966,-0.018343761
967,-0.093212708
968,-0.2429506
969,-0.36904567
970,-0.4202718
971,-0.42421227
972,-0.41633132
973,-0.3651052
974,-0.30205767
975,-0.26265296
976,-0.2429506
977,-0.23506966
978,-0.22324825
979,-0.18778401
980,-0.11685553
981,-0.034105644
982,0.040763303
983,0.084108483
984,0.099870367
985,0.056525187
986,-0.0065223479
987,0.0092395358
988,0.12351319
989,0.16685837
990,0.17079884
991,0.24960826
992,0.50967934
993,0.60425065
994,0.50573887
995,0.20232261
996,-0.053807999
997,-0.22324825
998,-0.31387908
999,-0.36904567
1000,-0.42421227
1001,-0.43603368
1002,-0.41239085
1003,-0.3651052
1004,-0.32964096
1005,-0.28629578
1006,-0.2429506
1007,-0.19960542
1008,-0.11685553
1009,-0.081391296
1010,-0.14049836
1011,-0.32570049
1012,-0.44785509
1013,-0.46361698
1014,-0.43997415
1015,-0.35328379
1016,-0.35722426
1017,-0.53454545
1018,-0.54085021
1019,-0.53060498
1020,-0.47937886
1021,-0.43209321
1022,-0.4202718
1023,-0.40450991
1024,-0.35722426
1025,-0.29417673
1026,-0.23901013
1027,-0.19960542
1028,-0.14443883
1029,-0.049867528
1030,0.099870367
1031,0.24172732
1032,0.36388192
1033,0.54120311
1034,0.88796455
1035,1.4081067
1036,1.9637131
1037,2.2907722
1038,2.3380579
1039,2.2001414
1040,1.7075825
1041,1.0101192
1042,0.37176286
1043,-0.11685553
1044,-0.45179556
1045,-0.66852146
1046,-0.78358321
1047,-0.81747126
1048,-0.81431889
1049,-0.74575469
1050,-0.56764541
1051,-0.45573603
1052,-0.4596765
1053,-0.65078934
1054,-0.80249748
1055,-0.81234865
1056,-0.80052724
1057,-0.79737486
1058,-0.78752369
1059,-0.77333799
1060,-0.77649037
1061,-0.76979157
1062,-0.71029046
1063,-0.61690129
1064,-0.54754901
1065,-0.48331933
1066,-0.37692662
1067,-0.19566495
1068,0.095929896
1069,0.55302452
1070,1.2426069
1071,2.1095105
1072,2.9527713
1073,3.4059255
1074,3.4847349
1075,3.2089019
1076,2.4326292
1077,1.6208921
1078,0.96677397
1079,0.57272688
1080,0.30871533
1081,0.0092395358
1082,-0.28235531
1083,-0.40845038
1084,-0.41633132
1085,-0.38874803
1086,-0.30599814
1087,-0.22324825
1088,-0.16414119
1089,-0.11291506
1090,-0.081391296
1091,-0.073510354
1092,-0.093212708
1093,-0.1483793
1094,-0.20354589
1095,-0.19960542
1096,-0.19172448
1097,-0.14443883
1098,-0.089272237
1099,-0.049867528
1100,-0.05774847
1101,-0.089272237
1102,-0.13261742
1103,-0.16414119
1104,-0.19960542
1105,-0.2429506
1106,-0.30993861
1107,-0.38874803
1108,-0.45179556
1109,-0.4872598
1110,-0.50696216
1111,-0.51878357
1112,-0.53651569
1113,-0.54991329
1114,-0.55661209
1115,-0.55740018
1116,-0.55267162
1117,-0.53454545
1118,-0.50696216
1119,-0.46755745
1120,-0.37692662
1121,-0.22718872
1122,-0.061688941
1123,0.091989425
1124,0.2574892
1125,0.46239369
1126,0.66335771
1127,0.78157184
1128,0.80915513
1129,0.77763137
1130,0.623953
1131,0.36782239
1132,0.10775131
1133,-0.069569883
1134,-0.15231977
1135,-0.12473648
1136,-0.010462819
1137,0.13533461
1138,0.27719156
1139,0.41904851
1140,0.57666735
1141,0.61607206
1142,0.55302452
1143,0.36782239
1144,0.16685837
1145,0.013180007
1146,-0.10897459
1147,-0.20748637
1148,-0.27447437
1149,-0.31387908
1150,-0.32964096
1151,-0.34146238
1152,-0.35328379
1153,-0.35722426
1154,-0.34540285
1155,-0.28235531
1156,-0.16020071
1157,-0.081391296
1158,-0.065629412
1159,-0.081391296
1160,-0.12867695
1161,-0.14443883
1162,-0.14443883
1163,-0.120796
1164,-0.065629412
1165,0.02894189
1166,0.15109649
1167,0.3126558
1168,0.56484594
1169,0.95889303
1170,1.4672138
1171,2.0661654
1172,2.7754501
1173,3.602949
1174,4.5880668
1175,5.100328
1176,5.4549704
1177,5.5337798
1178,5.4155656
1179,5.0609233
1180,4.4698526
1181,3.7211631
1182,2.9567118
1183,2.3617007
1184,1.9558322
1185,1.6760587
1186,1.4632733
1187,1.2859521
1188,1.1322737
1189,0.9628335
1190,0.76186948
1191,0.56484594
1192,0.41116757
1193,0.32053674
1194,0.26537015
1195,0.22990591
1196,0.21808449
1197,0.24960826
1198,0.47815558
1199,1.0377024
1200,1.4317495
1201,1.4869161
1202,1.368702
1203,1.1440952
1204,1.0416429
1205,1.0061787
1206,0.96677397
1207,0.86038126
1208,0.67911959
1209,0.46633416
1210,0.2574892
1211,0.064406129
1212,-0.073510354
1213,-0.16020071
1214,-0.25083155
1215,-0.36116473
1216,-0.43209321
1217,-0.49120027
1218,-0.54912519
1219,-0.56370494
1220,-0.54794305
1221,-0.49908121
1222,-0.49120027
1223,-0.53060498
1224,-0.62044772
1225,-0.70989641
1226,-0.77767251
1227,-0.81628912
1228,-0.82574625
1229,-0.82692839
1230,-0.83008077
1231,-0.84387242
1232,-0.8529355
1233,-0.85057122
1234,-0.83756767
1235,-0.83244505
1236,-0.83402124
1237,-0.83559743
1238,-0.82968672
1239,-0.80249748
1240,-0.76900347
1241,-0.75008921
1242,-0.74969516
1243,-0.78003679
1244,-0.83323315
1245,-0.85569383
1246,-0.85687597
1247,-0.84190218
1248,-0.78673559
1249,-0.68467739
1250,-0.55621804
1251,-0.39662897
1252,-0.23112919
1253,-0.11291506
1254,-0.018343761
1255,0.017120478
1256,0.044703774
1257,0.095929896
1258,0.11563225
1259,0.10775131
1260,0.02894189
1261,-0.12867695
1262,-0.25871249
1263,-0.30205767
1264,-0.30993861
1265,-0.32176002
1266,-0.38086709
1267,-0.5349395
1268,-0.68625358
1269,-0.75678801
1270,-0.76821538
1271,-0.74969516
1272,-0.68073692
1273,-0.62832866
1274,-0.60862631
1275,-0.57986087
1276,-0.49514074
1277,-0.37298614
1278,-0.31781955
1279,-0.30599814
1280,-0.30599814
1281,-0.30993861
1282,-0.32176002
1283,-0.34540285
1284,-0.3926885
1285,-0.45573603
1286,-0.53060498
1287,-0.60626202
1288,-0.68467739
1289,-0.76033444
1290,-0.81865341
1291,-0.85214741
1292,-0.86554501
1293,-0.79889836
1294,-0.78833125
1295,-0.7802027
1296,-0.77938985
1297,-0.78060913
1298,-0.78142198
1299,-0.78060913
1300,-0.77410629
1301,-0.76353918
1302,-0.7578492
1303,-0.75662992
1304,-0.75581707
1305,-0.75297207
1306,-0.74606281
1307,-0.74159211
1308,-0.74118568
1309,-0.74403067
1310,-0.74524996
1311,-0.74240497
1312,-0.72696073
1313,-0.69241441
1314,-0.65746166
1315,-0.64689455
1316,-0.65177168
1317,-0.68062802
1318,-0.70989078
1319,-0.71273577
1320,-0.68266015
1321,-0.59568472
1322,-0.53106278
1323,-0.51886996
1324,-0.54610059
1325,-0.65258454
1326,-0.72249003
1327,-0.73712141
1328,-0.71883218
1329,-0.67168662
1330,-0.65624238
1331,-0.69200798
1332,-0.7623199
1333,-0.80174335
1334,-0.81190403
1335,-0.79849193
1336,-0.7667906
1337,-0.70948436
1338,-0.62494748
1339,-0.5432556
1340,-0.50261287
1341,-0.48635578
1342,-0.47009869
1343,-0.41319887
1344,-0.29939923
1345,-0.17747105
1346,-0.096185589
1347,-0.023028679
1348,0.12328514
1349,0.3386916
1350,0.41184851
1351,0.34682015
1352,0.0094855035
1353,-0.32784914
1354,-0.45790587
1355,-0.47822723
1356,-0.47822723
1357,-0.46197014
1358,-0.38881323
1359,-0.19779241
1360,0.0054212307
1361,0.041999686
1362,-0.051478589
1363,-0.26688505
1364,-0.33191341
1365,-0.3034635
1366,-0.25469223
1367,-0.26688505
1368,-0.35223478
1369,-0.41319887
1370,-0.40100605
1371,-0.32784914
1372,-0.25062796
1373,-0.19372814
1374,-0.17747105
1375,-0.16121395
1376,-0.096185589
1377,0.050128232
1378,0.11922087
1379,0.094835232
1380,-0.075864225
1381,-0.36036332
1382,-0.58389833
1383,-0.68306658
1384,-0.69647868
1385,-0.67778303
1386,-0.58064691
1387,-0.37662041
1388,-0.10024986
1389,0.19237778
1390,0.39152715
1391,0.44436269
1392,0.4281056
1393,0.30617742
1394,0.054192504
1395,-0.20998523
1396,-0.42945596
1397,-0.58186619
1398,-0.6729059
1399,-0.71964504
1400,-0.73671498
1401,-0.73874712
1402,-0.72939929
1403,-0.69485297
1404,-0.6371403
1405,-0.54731987
1406,-0.40507032
1407,-0.20185668
1408,-0.031157225
1409,-0.03928577
1410,-0.23030659
1411,-0.49448432
1412,-0.66599664
1413,-0.7533785
1414,-0.76638417
1415,-0.73224428
1416,-0.63876601
1417,-0.47009869
1418,-0.19372814
1419,0.16392787
1420,0.38746287
1421,0.41184851
1422,0.23302051
1423,-0.19372814
1424,-0.54853915
1425,-0.71598719
1426,-0.74931423
1427,-0.72330288
1428,-0.57576978
1429,-0.42945596
1430,-0.40100605
1431,-0.43352023
1432,-0.55869983
1433,-0.65908737
1434,-0.6729059
1435,-0.64648813
1436,-0.53106278
1437,-0.37662041
1438,-0.31972059
1439,-0.32378487
1440,-0.3928775
1441,-0.52293423
1442,-0.64364314
1443,-0.73630856
1444,-0.79686622
1445,-0.82287757
1446,-0.82409685
1447,-0.80621405
1448,-0.75378493
1449,-0.61234824
1450,-0.42132741
1451,-0.28720641
1452,-0.27501359
1453,-0.36442759
1454,-0.46603441
1455,-0.47822723
1456,-0.44164878
1457,-0.36036332
1458,-0.30752778
1459,-0.28314214
1460,-0.25062796
1461,-0.18153532
1462,-0.059607134
1463,0.10702805
1464,0.33462733
1465,0.68821906
1466,1.2287673
1467,1.9359508
1468,2.6919056
1469,3.1958754
1470,2.9804689
1471,1.9928506
1472,0.81014725
1473,-0.03928577
1474,-0.52699851
1475,-0.75947491
1476,-0.85864317
1477,-0.90050518
1478,-0.92123297
1479,-0.93464507
1480,-0.94358647
1481,-0.94765074
1482,-0.9484636
1483,-0.94724431
1484,-0.93708363
1485,-0.92245225
1486,-0.92082654
1487,-0.92448439
1488,-0.92082654
1489,-0.9037566
1490,-0.88180952
1491,-0.865146
1492,-0.85254676
1493,-0.84197965
1494,-0.82572256
1495,-0.79036338
1496,-0.71436148
1497,-0.56317053
1498,-0.29127068
1499,0.14360651
1500,0.73699034
1501,1.4279167
1502,2.1635501
1503,2.862605
1504,3.2771608
1505,3.3178036
1506,3.0820757
1507,2.3383138
1508,1.5417164
1509,1.0214894
1510,0.6678977
1511,0.34682015
1512,0.037935413
1513,-0.24249941
1514,-0.45790587
1515,-0.60869039
1516,-0.70745222
1517,-0.77085487
1518,-0.81190403
1519,-0.83507039
1520,-0.8427925
1521,-0.84360536
1522,-0.83994751
1523,-0.82775469
1524,-0.80580762
1525,-0.7802027
1526,-0.7444371
1527,-0.68509872
1528,-0.61194181
1529,-0.52699851
1530,-0.44977732
1531,-0.39694178
1532,-0.38881323
1533,-0.40507032
1534,-0.4538416
1535,-0.51480569
1536,-0.58227262
1537,-0.64242385
1538,-0.68997585
1539,-0.72492859
1540,-0.75662992
1541,-0.79198909
1542,-0.82084543
1543,-0.8293804
1544,-0.82572256
1545,-0.80174335
1546,-0.75419136
1547,-0.70379437
1548,-0.66193236
1549,-0.62860533
1550,-0.59812328
1551,-0.56073197
1552,-0.49448432
1553,-0.35629905
