Time,root.ItalyPowerDemand.d0.s0
210,1.0666666
211,0.96682264
212,0.58741547
213,0.36775869
214,-0.071554863
215,-0.51086841
216,-0.75623962
217,-1.1883766
218,-1.3154757
219,-1.4425748
220,-1.4425748
221,-1.2900559
222,-1.5442541
223,-0.88333872
224,0.41307207
225,1.2010865
226,1.277346
227,1.2519261
228,0.99772791
229,0.845209
230,0.89604864
231,0.97230809
232,1.0231478
233,0.7181099
234,0.31139279
235,0.48933153
236,-0.14616395
237,-0.19700358
238,0.057194601
239,-0.24784322
240,-0.50951707
241,-1.2395714
242,-1.2395714
243,-1.6045985
244,-1.6045985
245,-1.1483146
246,-0.78328746
247,-1.2395714
248,-0.14448992
249,0.95059156
250,1.3156187
251,1.4981323
252,1.2243619
253,0.85933478
254,0.49430761
255,0.76807799
256,0.49430761
257,0.49430761
258,0.12928045
259,-0.32700349
260,-0.69203065
261,1.0418483
262,0.85933478
263,0.40305082
264,-1.0048172
265,-1.3816236
266,-1.5574667
267,-1.6077075
268,-1.6579484
269,-1.4318645
270,-1.0801785
271,0.22608387
272,0.9294559
273,1.1806602
274,1.1052989
275,0.87921505
276,0.72849247
277,0.52752903
278,0.55264946
279,0.65313118
280,0.57776989
281,0.27632473
282,0.22608387
283,1.2057806
284,0.77873333
285,0.52752903
286,0.025120436
287,-0.67825161
288,-0.97486577
289,-1.2824483
290,-1.5490198
291,-1.6105364
292,-1.6310419
293,-1.4875033
294,-1.0158768
295,-0.13414016
296,0.68607994
297,1.0346735
298,1.014168
299,0.89113497
300,0.52203592
301,0.44001391
302,0.39900291
303,0.41950841
304,0.54254143
305,1.301245
306,1.219223
307,0.91164047
308,0.58355243
309,0.52203592
310,-0.19565667
311,-0.60576673
312,-0.8749153
313,-1.2653157
314,-1.4884017
315,-1.6836019
316,-1.6836019
317,-1.5162874
318,-1.2653157
319,-0.31720038
320,0.51937202
321,1.1328584
322,1.1886299
323,1.1886299
324,0.88188674
325,0.57514352
326,0.60302927
327,0.63091502
328,0.88188674
329,0.49148628
330,0.26840031
331,0.35205754
332,0.88188674
333,0.63091502
334,0.15685732
335,-0.28931464
336,-0.96432326
337,-1.4332951
338,-1.5270895
339,-1.6208838
340,-1.667781
341,-1.4332951
342,-0.96432326
343,-0.23741698
344,0.65362945
345,1.1460499
346,1.1460499
347,1.0053583
348,0.7708724
349,0.37224636
350,0.37224636
351,0.55983509
352,0.5363865
353,0.39569495
354,0.46604073
355,1.4039844
356,0.88811534
357,0.55983509
358,0.067414695
359,-0.49535147
360,0.83967029
361,-0.36945493
362,-0.42703232
363,-0.83007406
364,-0.94522885
365,-0.88765145
366,-1.8088897
367,-1.5210028
368,-1.117961
369,-0.42703232
370,0.37905116
371,0.66693812
372,0.83967029
373,0.1487416
374,-0.081567973
375,-0.31187754
376,-0.5421871
377,-0.25430015
378,-0.023990582
379,0.37905116
380,0.95482508
381,2.1639503
382,1.7033312
383,1.4730216
384,-0.5855154
385,-0.81972157
386,-1.1877598
387,-1.455424
388,-1.7900042
389,-1.388508
390,-1.0539277
391,-0.41822529
392,-0.45168331
393,0.11710308
394,0.51859936
395,0.65243145
396,0.55205738
397,0.21747715
398,-0.11710308
399,-0.48514133
400,0.016729013
401,1.1543018
402,1.421966
403,1.6227141
404,1.52234
405,1.3215919
406,0.68588947
407,-0.050187035
408,-0.25805705
409,-0.73143556
410,-1.1259177
411,-1.362607
412,-1.4809516
413,-1.4415034
414,-1.0864695
415,-0.77088377
416,-0.81033198
417,0.018080433
418,0.33366612
419,0.64925181
420,0.68870002
421,-0.1002642
422,-0.21860884
423,-0.29750526
424,-0.25805705
425,0.88594105
426,1.5171125
427,1.7143535
428,1.6354571
429,1.3593196
430,0.84649285
431,0.29421791
432,-0.8695845
433,-1.2261027
434,-1.4180741
435,-1.527772
436,-1.527772
437,-1.472923
438,-1.5551964
439,-0.65018867
440,0.50163941
441,1.1872514
442,1.2146758
443,1.2969493
444,1.0227045
445,0.69361076
446,0.69361076
447,0.80330867
448,0.80330867
449,0.66618628
450,0.3919415
451,0.33709254
452,0.090272243
453,0.11769672
454,0.44679046
455,-0.01942567
456,-1.07068
457,-1.3139809
458,-1.48242
459,-1.5572818
460,-1.5572818
461,-1.48242
462,-1.0519645
463,-0.17233815
464,0.46398732
465,0.96930461
466,0.9318737
467,0.91315825
468,0.68857278
469,0.63242641
470,0.48270278
471,0.52013369
472,0.65114187
473,1.2874673
474,1.0815973
475,1.0628819
476,0.66985732
477,0.31426368
478,-0.26591542
479,-0.71508634
480,-1.0419662
481,-1.3488029
482,-1.5213985
483,-1.617285
484,-1.6364623
485,-1.2145619
486,-1.0994981
487,-0.25569723
488,0.77987657
489,1.1442451
490,1.1634224
491,0.9716495
492,0.85658575
493,0.49221718
494,0.45386259
495,0.53057176
496,0.70316739
497,0.6839901
498,1.1058905
499,1.0100041
500,0.51139447
501,0.24291237
502,-0.21734265
503,-0.69677498
504,-0.81286761
505,-1.1727142
506,-1.5068574
507,-1.558264
508,-1.6096707
509,-1.3783408
510,-1.1213075
511,-0.63294435
512,0.62651852
513,1.3205083
514,1.3976183
515,1.3976183
516,1.1662883
517,0.75503514
518,0.65222184
519,0.70362849
520,0.67792517
521,0.42089193
522,0.29237531
523,0.086748719
524,0.0096387477
525,0.52370523
526,0.18956202
527,-0.42731777
528,-1.0944947
529,-1.3613994
530,-1.606062
531,-1.6505462
532,-1.6505462
533,-1.4726097
534,-1.1167367
535,0.26227095
536,0.84056449
537,1.1297113
538,1.1074692
539,1.018501
540,0.77383832
541,0.37348125
542,0.37348125
543,0.59590184
544,0.55141772
545,0.35123919
546,0.50693361
547,1.1741954
548,0.75159626
549,0.46244949
550,0.017608295
551,-0.33826465
552,-0.83894258
553,-1.1511073
554,-1.4632719
555,-1.5881378
556,-1.7130037
557,-1.4320555
558,-1.0262414
559,-0.4331285
560,0.22241734
561,0.44093261
562,0.97161257
563,1.0340455
564,0.81553023
565,0.44093261
566,0.097551463
567,0.097551463
568,0.12876793
569,1.0340455
570,1.3774267
571,1.4710761
572,1.0964784
573,0.69066436
574,0.066334995
575,-0.33947909
576,-0.96550567
577,-1.344988
578,-1.5584468
579,-1.6533173
580,-1.6295997
581,-1.4635762
582,-1.0603763
583,0.078070577
584,0.62357635
585,1.2639527
586,1.1927998
587,0.95562332
588,0.78959982
589,0.36268228
590,0.41011757
591,0.33896464
592,0.50498814
593,0.33896464
594,0.52870578
595,1.4299762
596,0.81331747
597,0.50498814
598,-0.016799991
599,-0.44371754
600,-0.40497694
601,-1.0099218
602,-1.332559
603,-1.4535479
604,-1.4938776
605,-1.2922293
606,-0.84860314
607,-0.5259659
608,0.80491268
609,1.4098575
610,1.4098575
611,1.2082092
612,0.76458302
613,0.11930856
614,-0.32431763
615,-0.24365833
616,-0.16299902
617,-0.4453066
618,-0.16299902
619,1.7324947
620,1.4098575
621,0.92590164
622,0.15963821
623,-0.24365833
624,-0.92024696
625,-1.3825106
626,-1.5365984
627,-1.6136424
628,-1.6393237
629,-1.4338732
630,-0.99729089
631,-0.3038955
632,0.6719943
633,1.1342579
634,1.2113018
635,1.2113018
636,0.77471954
637,0.36381857
638,0.38949988
639,0.33813726
640,0.46654381
641,0.38949988
642,0.38949988
643,1.391071
644,0.9031261
645,0.62063168
646,-0.098445017
647,-0.32957681
648,-0.64846556
649,-1.0947214
650,-1.3736314
651,-1.4851953
652,-1.6525413
653,-1.4294133
654,-0.81581151
655,-0.8715935
656,0.13248221
657,1.0807759
658,1.3596859
659,1.3596859
660,1.3039039
661,0.85764799
662,0.80186601
663,0.91342997
664,1.0807759
665,0.57873808
666,0.35561015
667,-0.034863743
668,-0.70424755
669,0.1882642
670,0.29982816
671,-0.20220969
672,-0.97386362
673,-1.2951382
674,-1.562867
675,-1.6431857
676,-1.5093212
677,-1.5093212
678,-1.0809551
679,-0.3848602
680,0.47187205
681,1.3821501
682,1.3286043
683,1.2750585
684,0.90023817
685,0.65928223
686,0.712828
687,0.712828
688,0.63250935
689,0.36478052
690,0.28446188
691,0.12382458
692,0.31123476
693,0.84669241
694,0.23091611
695,-0.27776867
696,-0.88821875
697,-1.3608299
698,-1.5846983
699,-1.6095726
700,-1.5846983
701,-1.460327
702,-0.98771583
703,-0.51510469
704,0.50474041
705,1.1017229
706,1.1763457
707,1.0271001
708,0.6788603
709,0.33062051
710,0.45499187
711,0.45499187
712,0.57936322
713,0.4301176
714,0.45499187
715,1.4499627
716,0.95247728
717,0.75348312
718,0.057003537
719,-0.41560761
720,-1.0434107
721,-1.3483344
722,-1.5007963
723,-1.5770272
724,-1.6342004
725,-1.4626808
726,-1.0815262
727,-0.28110152
728,0.84330456
729,0.97670867
730,0.97670867
731,0.86236229
732,0.70990045
733,0.38591904
734,0.53838088
735,0.51932315
736,0.74801591
737,1.0148241
738,1.167286
739,1.0338819
740,0.51932315
741,0.30968812
742,-0.10958195
743,-0.56696746
744,0.33926348
745,-0.32541599
746,-0.71314569
747,-0.93470552
748,-1.1008754
749,-1.1008754
750,-0.87931556
751,-0.54697582
752,-0.99009547
753,-0.32541599
754,0.28387353
755,0.61621327
756,0.50543335
757,0.11770366
758,-0.38080595
759,-0.54697582
760,-0.71314569
761,-0.71314569
762,-0.38080595
763,0.4500434
764,2.3886919
765,2.0563521
766,1.7240124
767,1.1701128
768,-0.75212665
769,-1.0692752
770,-1.3599948
771,-1.49214
772,-1.518569
773,-1.3864238
774,-1.49214
775,-0.59355236
776,0.41075145
777,1.1507648
778,1.3093391
779,1.28291
780,1.0714776
781,0.86004526
782,0.93933241
783,0.91290336
784,0.9921905
785,0.72790002
786,0.46360955
787,0.27860621
788,-0.1706876
789,-0.19711665
790,-0.1178295
791,-0.24997474
792,-0.35731046
793,-0.852048
794,-1.3055574
795,-1.4704699
796,-1.511698
797,-1.4704699
798,-1.0169605
799,-0.72836361
800,-0.43976671
801,0.013742692
802,0.67339274
803,0.75584899
804,0.75584899
805,0.1786552
806,-0.39853859
807,-0.2748542
808,-0.027485436
809,1.0856741
810,1.5391835
811,1.6628679
812,1.5391835
813,1.0856741
814,0.59093648
815,-0.027485436
816,0.065389251
817,-0.52987845
818,-1.1251461
819,-1.3957223
820,-1.4498376
821,-1.2874918
822,-1.99099
823,-0.74633943
824,0.55242645
825,1.4723856
826,1.8511923
827,1.7429618
828,1.2559246
829,0.49831121
830,-0.096956484
831,0.17361974
832,0.1195045
833,0.065389251
834,0.065389251
835,0.28185023
836,0.011274006
837,-0.096956484
838,0.55242645
839,0.011274006
840,-0.89604071
841,-1.2312502
842,-1.4117476
843,-1.4891037
844,-1.4891037
845,-1.437533
846,-1.4891037
847,-0.74132864
848,0.47058254
849,1.2183575
850,1.1925722
851,1.1410015
852,1.1152162
853,0.75422134
854,0.72843599
855,0.85736271
856,0.83157737
857,0.96050409
858,0.29008513
859,0.36744116
860,0.0064463443
861,0.058017034
862,0.26429978
863,-0.070909689
864,-1.114926
865,-1.3384192
866,-1.5212772
867,-1.6025474
868,-1.6025474
869,-1.5009596
870,-1.0336558
871,-0.078730541
872,0.4901611
873,0.7339718
874,0.69333668
875,0.93714738
876,0.9777825
877,0.55111377
878,0.55111377
879,0.7339718
880,0.81524203
881,1.0996878
882,1.0387352
883,1.0793703
884,0.61206645
885,0.2463504
886,-0.16000077
887,-0.60698706
888,0.20810137
889,-0.56484656
890,-1.0405068
891,-1.278337
892,-1.3377945
893,-1.0999644
894,-1.8134548
895,-0.74321916
896,0.32701643
897,1.6945397
898,2.2296575
899,1.8134548
900,1.0405068
901,0.20810137
902,-0.029728762
903,0.029728771
904,0.029728771
905,0.029728771
906,-0.14864383
907,0.029728771
908,-0.20810137
909,-0.2675589
910,0.74321917
911,0.14864383
912,-1.1454914
913,-1.3887816
914,-1.6077428
915,-1.6320718
916,-1.5834138
917,-1.3401236
918,-0.90220116
919,-0.48860781
920,0.53321104
921,1.1657656
922,1.0927785
923,0.97113341
924,0.70351418
925,0.46022397
926,0.38723691
927,0.58186908
928,0.55754006
929,0.38723691
930,0.31424985
931,1.3360687
932,1.1171075
933,0.70351418
934,0.070959654
935,-0.29397565
936,-0.88008476
937,-1.258303
938,-1.461959
939,-1.5492401
940,-1.6074275
941,-1.5201464
942,-1.0255533
943,-0.79280362
944,0.3418511
945,0.77825678
946,1.2437561
947,1.2437561
948,1.156475
949,0.66188192
950,0.72006936
951,0.80735049
952,1.0691939
953,0.86553791
954,0.48731966
955,0.42913224
956,0.22547626
957,0.51641337
958,-0.094554558
959,-0.35639796
960,-0.41137184
961,-0.67348487
962,-1.1103399
963,-1.2413964
964,-1.4161385
965,-1.3287674
966,-0.84822689
967,-0.58611386
968,-0.80454138
969,0.069168714
970,0.68076578
971,0.76813679
972,0.63708028
973,0.069168714
974,-0.36768633
975,-0.49874285
976,-0.36768633
977,-0.018202296
978,1.7729034
979,2.0350164
980,1.5544759
981,1.4234194
982,0.63708028
983,0.025483209
984,-0.98673689
985,-1.3844143
986,-1.5037175
987,-1.5832529
988,-1.6230207
989,-1.3446465
990,-0.98673689
991,-0.091962883
992,0.92211434
993,1.120953
994,1.120953
995,1.0016498
996,0.80281114
997,0.32559833
998,0.34548219
999,0.38524993
1000,0.524437
1001,0.74315954
1002,1.2203724
1003,1.1408369
1004,0.54432087
1005,0.26594672
1006,-0.27091769
1007,-0.68847889
1008,-0.88996175
1009,-1.2677414
1010,-1.4421013
1011,-1.5292812
1012,-1.5292812
1013,-1.4711613
1014,-1.1805615
1015,-0.7156019
1016,0.2433773
1017,1.0570566
1018,1.2604764
1019,1.3185964
1020,1.0861166
1021,0.73739688
1022,0.82457681
1023,0.88269676
1024,0.96987669
1025,0.62115698
1026,0.44679712
1027,0.18525734
1028,0.098077418
1029,0.592097
1030,0.098077418
1031,-0.39594217
1032,-0.026952283
1033,-0.6276032
1034,-1.1820502
1035,-1.5978855
1036,-1.4592737
1037,-1.2282541
1038,-1.7827011
1039,-1.2282541
1040,0.34267905
1041,1.3591652
1042,1.6825926
1043,1.5439809
1044,0.89712605
1045,0.43508688
1046,0.065455552
1047,0.15786338
1048,-0.026952283
1049,0.15786338
1050,-0.026952283
1051,0.11165947
1052,0.15786338
1053,1.0819417
1054,0.89712605
1055,0.29647513
1056,-1.06441
1057,-1.3237586
1058,-1.5614948
1059,-1.6047196
1060,-1.5831072
1061,-1.4318205
1062,-0.91312324
1063,-0.07024024
1064,0.64296846
1065,0.90231707
1066,0.90231707
1067,0.8590923
1068,0.66458084
1069,0.36200746
1070,0.36200746
1071,0.51329415
1072,0.59974369
1073,0.64296846
1074,1.3561771
1075,1.3777895
1076,0.83747992
1077,0.36200746
1078,-0.048627855
1079,-0.78344893
1080,-0.7804595
1081,-1.1359389
1082,-1.38204
1083,-1.4640737
1084,-1.4640737
1085,-1.38204
1086,-1.4914182
1087,-0.67108123
1088,0.23128946
1089,1.2430384
1090,1.461795
1091,1.4071058
1092,1.2977276
1093,0.69614709
1094,0.69614709
1095,0.83286993
1096,0.8602145
1097,0.45004599
1098,0.36801229
1099,0.25863403
1100,-0.014811635
1101,0.039877498
1102,0.20394489
1103,-0.26091274
1104,0.3221985
1105,-0.084789069
1106,-0.54991772
1107,-0.84062312
1108,-0.95690528
1109,-1.0150464
1110,-0.72434096
1111,-1.480175
1112,-1.1313285
1113,-0.37549448
1114,0.26405742
1115,0.49662174
1116,0.49662174
1117,0.14777526
1118,-0.25921232
1119,-0.25921232
1120,-0.66619988
1121,-0.43363556
1122,-0.49177664
1123,0.20591634
1124,2.182713
1125,2.2408541
1126,1.7175844
1127,1.1943147
1128,-0.76022146
1129,-1.2361862
1130,-1.3948411
1131,-1.5799385
1132,-1.6857084
1133,-1.3948411
1134,-1.4741686
1135,-0.60156654
1136,0.5883453
1137,1.117195
1138,1.3022924
1139,1.2494074
1140,0.93209762
1141,0.72055773
1142,0.74700021
1143,0.82632767
1144,0.85277016
1145,0.61478779
1146,0.50901784
1147,0.4032479
1148,0.19170802
1149,0.085938081
1150,0.19170802
1151,-0.20492926
1152,0.50632137
1153,-0.34943306
1154,-0.86288571
1155,-1.2622378
1156,-1.3763384
1157,-1.2051875
1158,-0.86288571
1159,-1.6045395
1160,-0.9769863
1161,-0.064181578
1162,0.73452256
1163,0.79157285
1164,0.79157285
1165,0.1640196
1166,-0.34943306
1167,-0.23533247
1168,-0.23533247
1169,-0.29238276
1170,-0.064181578
1171,1.019774
1172,1.019774
1173,2.3319308
1174,1.4761764
1175,0.90567344
1176,-0.46880101
1177,-0.89853527
1178,-1.3673363
1179,-1.4454698
1180,-1.4845365
1181,-1.250136
1182,-0.74226826
1183,-0.50786776
1184,0.50786776
1185,1.4454698
1186,1.4845365
1187,1.2110693
1188,0.82040177
1189,0.19533375
1190,-0.31253401
1191,-0.31253401
1192,-0.42973426
1193,-0.42973426
1194,-0.11720025
1195,1.718937
1196,1.4845365
1197,0.93760203
1198,0.19533375
1199,-0.2344005
1200,-1.0667555
1201,-1.3887949
1202,-1.5498146
1203,-1.6418258
1204,-1.618823
1205,-1.4348005
1206,-0.97474423
1207,-0.35366826
1208,0.63545273
1209,1.2335259
1210,1.0495034
1211,0.79647241
1212,0.5894471
1213,0.38242178
1214,0.47443303
1215,0.54344147
1216,0.54344147
1217,0.35941896
1218,0.45143022
1219,1.4175484
1220,1.0265006
1221,0.7734696
1222,0.083385197
1223,-0.33066545
1224,-0.19934463
1225,-0.70591453
1226,-1.2124844
1227,-1.5501976
1228,-1.5501976
1229,-1.4939121
1230,-1.0999133
1231,-0.9310567
1232,-0.25563017
1233,1.1515084
1234,1.7143638
1235,1.4892216
1236,1.1515084
1237,1.0952228
1238,0.082083086
1239,-0.19934463
1240,-0.030488
1241,-0.030488
1242,-0.086773544
1243,0.025797542
1244,0.4760819
1245,1.4892216
1246,0.53236744
1247,0.13836862
1248,-0.98161424
1249,-1.3422072
1250,-1.5345235
1251,-1.6547212
1252,-1.6066421
1253,-1.4383654
1254,-0.98161424
1255,-0.45274453
1256,0.7492321
1257,1.3021413
1258,1.3742599
1259,1.2300228
1260,0.98962743
1261,0.77327163
1262,0.65307397
1263,0.41267864
1264,0.6771135
1265,0.48479724
1266,0.24440191
1267,0.19632285
1268,0.14824378
1269,0.7492321
1270,0.24440191
1271,-0.23638874
1272,0.29828413
1273,-0.51807244
1274,-1.0832424
1275,-1.334429
1276,-1.2716324
1277,-1.2088357
1278,-1.9623956
1279,-0.76925908
1280,0.4866741
1281,1.617014
1282,1.993794
1283,1.6798107
1284,1.240234
1285,0.54947076
1286,-0.20408914
1287,-0.015699168
1288,0.10989415
1289,-0.078495827
1290,-0.015699168
1291,-0.015699168
1292,-0.015699168
1293,-0.2668858
1294,0.73786074
1295,0.047097491
1296,-0.45950334
1297,-0.93109887
1298,-1.438971
1299,-1.5115242
1300,-1.6203539
1301,-1.4026944
1302,-0.89482229
1303,0.012092188
1304,0.48368771
1305,1.3180491
1306,1.3543256
1307,1.1003896
1308,0.51996429
1309,0.19347509
1310,-0.31439702
1311,-0.20556728
1312,-0.31439702
1313,-0.24184386
1314,0.30230482
1315,1.6808149
1316,1.6808149
1317,0.84645351
1318,0.12092193
1319,-0.27812044
1320,-0.95323748
1321,-1.6211995
1322,-1.3707138
1323,-1.454209
1324,-1.454209
1325,-1.565536
1326,-1.1480597
1327,-0.2574437
1328,0.66100409
1329,1.1898074
1330,1.2176391
1331,1.2454709
1332,0.99498511
1333,0.60534059
1334,0.66100409
1335,0.7166676
1336,0.91148986
1337,0.52184534
1338,0.46618183
1339,0.27135958
1340,0.74449935
1341,0.29919133
1342,-0.17394845
1343,-0.50792946
1344,-0.82903973
1345,-1.1943792
1346,-1.5035127
1347,-1.6440279
1348,-1.5878218
1349,-1.4754097
1350,-1.4473066
1351,-0.21077281
1352,0.68852451
1353,1.2786884
1354,1.2505853
1355,1.2505853
1356,0.99765796
1357,0.66042147
1358,0.63231843
1359,0.85714275
1360,0.77283363
1361,0.60421538
1362,0.29508193
1363,0.15456673
1364,0.12646369
1365,0.21077281
1366,0.32318497
1367,-0.21077281
1368,-1.1189816
1369,-1.4020974
1370,-1.5436553
1371,-1.604323
1372,-1.5436553
1373,-1.3818749
1374,-1.0583139
1375,-0.20896646
1376,0.45837801
1377,0.96394199
1378,1.0043871
1379,0.6606036
1380,0.72127128
1381,0.5594908
1382,0.59993592
1383,0.88305175
1384,0.80216151
1385,1.0650548
1386,1.1054999
1387,1.0043871
1388,0.57971336
1389,0.27637497
1390,-0.24941158
1391,-0.57297253
1392,-0.052620727
1393,-0.57519896
1394,-1.0977772
1395,-1.3590663
1396,-1.4461627
1397,-1.4026145
1398,-0.96713263
1399,-0.61874714
1400,-0.83648807
1401,-0.1397171
1402,0.55705388
1403,0.60060207
1404,0.55705388
1405,0.12157202
1406,-0.35745803
1407,-0.31390984
1408,-0.53165077
1409,-0.052620727
1410,1.4715658
1411,1.5586622
1412,1.9070476
1413,1.5586622
1414,1.1231803
1415,0.29576476
1416,1.2090065
1417,0.57028611
1418,-0.25092589
1419,-0.34217166
1420,-0.70715477
1421,-0.615909
1422,-0.34217166
1423,-1.3458752
1424,-0.9808921
1425,-0.43341744
1426,0.11405722
1427,0.38779455
1428,0.29654878
1429,-0.15968011
1430,-0.43341744
1431,-0.70715477
1432,-0.52466322
1433,-0.88964633
1434,-0.70715477
1435,-0.43341744
1436,-0.25092589
1437,2.2127101
1438,2.2127101
1439,2.1214643
1440,-0.81595401
1441,-1.0805877
1442,-1.3452215
1443,-1.4334327
1444,-1.521644
1445,-1.4334327
1446,-1.521644
1447,-0.66893527
1448,0.15436968
1449,1.1835009
1450,1.3305196
1451,1.3011158
1452,1.2423084
1453,0.80125213
1454,0.80125213
1455,0.86005963
1456,0.91886712
1457,0.65423339
1458,0.47781091
1459,0.36019591
1460,-0.1396678
1461,-0.16907155
1462,0.15436968
1463,-0.11026406
1464,-1.2385691
1465,-1.3335393
1466,-1.5044856
1467,-1.5614677
1468,-1.5424736
1469,-1.4854915
1470,-1.0106408
1471,-0.13691531
1472,0.60385192
1473,1.0027266
1474,1.0027266
1475,0.90775642
1476,0.75580417
1477,0.52787579
1478,0.50888176
1479,0.64183998
1480,0.71781611
1481,1.0976967
1482,1.1356848
1483,0.92675045
1484,0.52787579
1485,0.29994741
1486,-0.26987353
1487,-0.57377803
1488,-1.0379296
1489,-1.3016576
1490,-1.4694845
1491,-1.5893609
1492,-1.6133362
1493,-1.5174351
1494,-1.0619049
1495,-0.0069927812
1496,1.2157462
1497,1.1438204
1498,1.1198451
1499,1.0958698
1500,0.97599346
1501,0.35263633
1502,0.42456215
1503,0.44853743
1504,0.44853743
1505,0.30468578
1506,0.44853743
1507,1.2157462
1508,0.6643149
1509,0.35263633
1510,-0.10289389
1511,-0.51047355
1512,-0.37357907
1513,-0.98663192
1514,-1.4464215
1515,-1.6763164
1516,-1.752948
1517,-1.3697899
1518,-0.91000031
1519,-0.98663192
1520,-0.22031586
1521,0.85252662
1522,1.0057898
1523,1.3123162
1524,1.2356846
1525,0.77589501
1526,0.46936859
1527,0.77589501
1528,0.92915822
1529,0.39273699
1530,0.16284217
1531,0.0095789557
1532,-0.37357907
1533,1.3123162
1534,0.92915822
1535,-0.06705265
1536,-1.159152
1537,-1.3014
1538,-1.5249326
1539,-1.5655749
1540,-1.6062172
1541,-1.443648
1542,-1.0778674
1543,0.019474433
1544,0.73071451
1545,1.1777797
1546,1.1777797
1547,1.0964951
1548,1.0355317
1549,0.79167795
1550,0.71039337
1551,0.48686077
1552,0.44621848
1553,0.48686077
1554,0.26332817
1555,0.89328367
1556,0.66975108
1557,0.46653962
1558,-0.12277359
1559,-0.65112336
1560,-0.6949193
1561,-1.2358295
1562,-1.4161329
1563,-1.5062846
1564,-1.5062846
1565,-1.5062846
1566,-1.0555261
1567,-1.0104502
1568,-0.063857444
1569,1.1081146
1570,1.3785697
1571,1.3334938
1572,1.1081146
1573,0.74750781
1574,0.61228026
1575,1.0630387
1576,0.9278112
1577,0.61228026
1578,0.25167348
1579,0.16152179
1580,0.026294249
1581,0.65735611
1582,0.20659763
1583,-0.19908499
1584,0.98403309
1585,0.16966088
1586,-0.51942331
1587,-0.83264339
1588,-0.8952874
1589,-0.70735536
