Time,root.DistalPhalanxTW.d0.s0
267,0.4398087
268,0.67825646
269,0.92030226
270,1.1596983
271,1.4088566
272,1.4524516
273,1.4422711
274,1.3496421
275,1.3938507
276,1.3993733
277,1.4373063
278,1.3952453
279,1.3855668
280,1.461377
281,1.3662657
282,1.2138644
283,0.95265685
284,0.70330337
285,0.49188286
286,0.23279511
287,0.0090463853
288,-0.23832677
289,-0.41502188
290,-1.074665
291,-1.074665
292,-1.074665
293,-1.074665
294,-1.074665
295,-1.074665
296,-1.074665
297,-1.074665
298,-1.074665
299,-1.074665
300,-1.074665
301,-1.074665
302,-1.074665
303,-1.074665
304,-1.074665
305,-1.074665
306,-1.074665
307,-1.074665
308,-1.074665
309,-1.074665
310,-1.074665
311,-1.074665
312,-1.074665
313,-1.074665
314,-1.074665
315,-1.074665
316,-1.074665
317,-1.074665
318,-1.074665
319,-1.074665
320,-0.50519666
321,-0.42245509
322,-0.30242854
323,-0.069984611
324,0.12706008
325,0.27209768
326,0.44565316
327,0.67111649
328,0.88887139
329,1.0972637
330,1.2976498
331,1.3911766
332,1.43617
333,1.335431
334,1.2351553
335,1.1230357
336,0.9597691
337,0.75448665
338,0.50404535
339,0.24582947
340,0.037371002
341,-0.18961416
342,-0.4031013
343,-0.52617153
344,-0.4005208
345,-0.19897676
346,0.022516558
347,0.27156835
348,0.50328444
349,0.76021007
350,1.0174996
351,1.2520609
352,1.3827734
353,1.4188674
354,1.3712273
355,1.355645
356,1.3808215
357,1.426245
358,1.4012008
359,1.3874051
360,1.4820897
361,1.4983998
362,1.3365228
363,1.1162205
364,0.87851629
365,0.59906086
366,0.3208626
367,0.064003134
368,-0.20757845
369,-0.3839791
370,-1.0819725
371,-1.0819725
372,-1.0819725
373,-1.0819725
374,-1.0819725
375,-1.0819725
376,-1.0819725
377,-1.0819725
378,-1.0819725
379,-1.0819725
380,-1.0819725
381,-1.0819725
382,-1.0819725
383,-1.0819725
384,-1.0819725
385,-1.0819725
386,-1.0819725
387,-1.0819725
388,-1.0819725
389,-1.0819725
390,-1.0819725
391,-1.0819725
392,-1.0819725
393,-1.0819725
394,-1.0819725
395,-1.0819725
396,-1.0819725
397,-1.0819725
398,-1.0819725
399,-1.0819725
400,-0.48167174
401,-0.39233954
402,-0.19492251
403,0.051977407
404,0.22143703
405,0.45876053
406,0.71680911
407,0.94578542
408,1.1160169
409,1.2042342
410,1.3056298
411,1.4289511
412,1.3377894
413,1.2421396
414,1.130796
415,0.97397151
416,0.82472241
417,0.62893481
418,0.45584473
419,0.3022791
420,0.061382301
421,-0.12725873
422,-0.35617786
423,-0.46812183
424,-0.42224081
425,-0.2496367
426,-0.0040517515
427,0.25139547
428,0.48814725
429,0.73393231
430,0.95616224
431,1.2020331
432,1.3744657
433,1.4615395
434,1.4090551
435,1.3959054
436,1.3764667
437,1.3963056
438,1.4290655
439,1.4360406
440,1.5027324
441,1.4188888
442,1.2717551
443,0.99921322
444,0.75348534
445,0.52350851
446,0.27017668
447,0.031223749
448,-0.21487575
449,-0.40511762
450,-1.0924182
451,-1.0924182
452,-1.0924182
453,-1.0924182
454,-1.0924182
455,-1.0924182
456,-1.0924182
457,-1.0924182
458,-1.0924182
459,-1.0924182
460,-1.0924182
461,-1.0924182
462,-1.0924182
463,-1.0924182
464,-1.0924182
465,-1.0924182
466,-1.0924182
467,-1.0924182
468,-1.0924182
469,-1.0924182
470,-1.0924182
471,-1.0924182
472,-1.0924182
473,-1.0924182
474,-1.0924182
475,-1.0924182
476,-1.0924182
477,-1.0924182
478,-1.0924182
479,-1.0924182
480,-0.38515304
481,-0.31520748
482,-0.14404289
483,0.065537682
484,0.29731416
485,0.55416064
486,0.81923098
487,0.94583301
488,1.1254491
489,1.273621
490,1.3756368
491,1.3697748
492,1.3114963
493,1.2175337
494,1.1088876
495,0.91919793
496,0.77133904
497,0.56400651
498,0.37420306
499,0.12264946
500,-0.073044451
501,-0.19739844
502,-0.37513643
503,-0.35348119
504,-0.31759781
505,-0.12324135
506,0.089725528
507,0.312396
508,0.54084309
509,0.78522571
510,1.023974
511,1.2283755
512,1.3292246
513,1.3119516
514,1.2838653
515,1.3124923
516,1.3719944
517,1.4532656
518,1.4484849
519,1.4133983
520,1.4701686
521,1.4046622
522,1.2272657
523,1.0369501
524,0.80059211
525,0.54351799
526,0.31657907
527,0.087107549
528,-0.12580241
529,-0.3049063
530,-1.109764
531,-1.109764
532,-1.109764
533,-1.109764
534,-1.109764
535,-1.109764
536,-1.109764
537,-1.109764
538,-1.109764
539,-1.109764
540,-1.109764
541,-1.109764
542,-1.109764
543,-1.109764
544,-1.109764
545,-1.109764
546,-1.109764
547,-1.109764
548,-1.109764
549,-1.109764
550,-1.109764
551,-1.109764
552,-1.109764
553,-1.109764
554,-1.109764
555,-1.109764
556,-1.109764
557,-1.109764
558,-1.109764
559,-1.109764
560,-0.54412148
561,-0.47739351
562,-0.29192398
563,-0.092766654
564,0.14916501
565,0.39501636
566,0.64774271
567,0.91207257
568,1.19289
569,1.3423669
570,1.4137611
571,1.4682323
572,1.4487272
573,1.3007747
574,1.1395387
575,0.95817553
576,0.7553785
577,0.56595817
578,0.37417359
579,0.11205244
580,-0.1406117
581,-0.33983124
582,-0.48865483
583,-0.51487939
584,-0.38565422
585,-0.19234532
586,0.011602734
587,0.24924141
588,0.49179524
589,0.73270032
590,0.9746942
591,1.1958453
592,1.4076327
593,1.4673302
594,1.4222538
595,1.3649517
596,1.4164676
597,1.4610151
598,1.4911905
599,1.4612329
600,1.4697566
601,1.3998245
602,1.2220388
603,1.0363826
604,0.77059061
605,0.54517762
606,0.24774819
607,0.025197197
608,-0.17909305
609,-0.39663556
610,-1.0665595
611,-1.0665595
612,-1.0665595
613,-1.0665595
614,-1.0665595
615,-1.0665595
616,-1.0665595
617,-1.0665595
618,-1.0665595
619,-1.0665595
620,-1.0665595
621,-1.0665595
622,-1.0665595
623,-1.0665595
624,-1.0665595
625,-1.0665595
626,-1.0665595
627,-1.0665595
628,-1.0665595
629,-1.0665595
630,-1.0665595
631,-1.0665595
632,-1.0665595
633,-1.0665595
634,-1.0665595
635,-1.0665595
636,-1.0665595
637,-1.0665595
638,-1.0665595
639,-1.0665595
640,-0.51989692
641,-0.44451275
642,-0.25665397
643,0.010619887
644,0.23812604
645,0.48064286
646,0.72108405
647,0.98128876
648,1.1469173
649,1.3888927
650,1.431488
651,1.4276677
652,1.3983082
653,1.3001824
654,1.1443604
655,0.9333389
656,0.76235582
657,0.56727749
658,0.32319644
659,0.054177856
660,-0.18421779
661,-0.39677346
662,-0.50942857
663,-0.4957415
664,-0.35089922
665,-0.1376216
666,0.071835678
667,0.31462322
668,0.53668463
669,0.7778177
670,0.99464493
671,1.236139
672,1.3655194
673,1.4156953
674,1.3814325
675,1.4012862
676,1.4175002
677,1.4267653
678,1.4962534
679,1.4391287
680,1.4737525
681,1.3909984
682,1.2344845
683,0.96549599
684,0.73714755
685,0.4826884
686,0.24504478
687,-0.005443618
688,-0.23246847
689,-0.44339974
690,-1.0712602
691,-1.0712602
692,-1.0712602
693,-1.0712602
694,-1.0712602
695,-1.0712602
696,-1.0712602
697,-1.0712602
698,-1.0712602
699,-1.0712602
700,-1.0712602
701,-1.0712602
702,-1.0712602
703,-1.0712602
704,-1.0712602
705,-1.0712602
706,-1.0712602
707,-1.0712602
708,-1.0712602
709,-1.0712602
710,-1.0712602
711,-1.0712602
712,-1.0712602
713,-1.0712602
714,-1.0712602
715,-1.0712602
716,-1.0712602
717,-1.0712602
718,-1.0712602
719,-1.0712602
720,-0.47181909
721,-0.39635487
722,-0.18337935
723,0.058733823
724,0.14430409
725,0.3917726
726,0.65547988
727,0.75464004
728,0.84300314
729,1.1097336
730,1.3132941
731,1.5156741
732,1.5650814
733,1.5166242
734,1.3845834
735,1.3079675
736,1.0979576
737,0.89575036
738,0.71746938
739,0.51301633
740,0.31014686
741,0.053695197
742,-0.19394607
743,-0.42494547
744,-0.54207193
745,-0.42269968
746,-0.25913149
747,-0.035474086
748,0.22774373
749,0.47259216
750,0.73635703
751,0.98195405
752,1.197636
753,1.2616698
754,1.2886192
755,1.2938882
756,1.3390919
757,1.4711614
758,1.3888159
759,1.308313
760,1.353056
761,1.3732105
762,1.2868341
763,1.1344373
764,0.8673613
765,0.59576497
766,0.33070445
767,0.087065296
768,-0.16503875
769,-0.34556552
770,-1.0901593
771,-1.0901593
772,-1.0901593
773,-1.0901593
774,-1.0901593
775,-1.0901593
776,-1.0901593
777,-1.0901593
778,-1.0901593
779,-1.0901593
780,-1.0901593
781,-1.0901593
782,-1.0901593
783,-1.0901593
784,-1.0901593
785,-1.0901593
786,-1.0901593
787,-1.0901593
788,-1.0901593
789,-1.0901593
790,-1.0901593
791,-1.0901593
792,-1.0901593
793,-1.0901593
794,-1.0901593
795,-1.0901593
796,-1.0901593
797,-1.0901593
798,-1.0901593
799,-1.0901593
800,-0.53065085
801,-0.47262696
802,-0.32256966
803,-0.052797519
804,0.17040623
805,0.46140187
806,0.65887131
807,0.9164091
808,1.1208232
809,1.2887291
810,1.4299595
811,1.458874
812,1.4199967
813,1.2980427
814,1.1462979
815,0.99724663
816,0.87633108
817,0.67921861
818,0.45692351
819,0.21113329
820,-0.053349201
821,-0.28018755
822,-0.41755619
823,-0.4716534
824,-0.36329671
825,-0.1945796
826,-0.022682213
827,0.20110567
828,0.45685861
829,0.68729912
830,0.92023842
831,1.1951704
832,1.4148693
833,1.4643909
834,1.4242804
835,1.3718382
836,1.3928995
837,1.4449847
838,1.4978812
839,1.4379426
840,1.4336914
841,1.3813466
842,1.2524479
843,1.0001673
844,0.74821122
845,0.51420101
846,0.2448832
847,0.0049343021
848,-0.24997489
849,-0.44322559
850,-1.0735052
851,-1.0735052
852,-1.0735052
853,-1.0735052
854,-1.0735052
855,-1.0735052
856,-1.0735052
857,-1.0735052
858,-1.0735052
859,-1.0735052
860,-1.0735052
861,-1.0735052
862,-1.0735052
863,-1.0735052
864,-1.0735052
865,-1.0735052
866,-1.0735052
867,-1.0735052
868,-1.0735052
869,-1.0735052
870,-1.0735052
871,-1.0735052
872,-1.0735052
873,-1.0735052
874,-1.0735052
875,-1.0735052
876,-1.0735052
877,-1.0735052
878,-1.0735052
879,-1.0735052
880,-0.42801004
881,-0.3702283
882,-0.1723949
883,0.0065328185
884,0.26873761
885,0.51689982
886,0.77346456
887,0.93601887
888,1.1039255
889,1.2246398
890,1.3212976
891,1.3481454
892,1.3468505
893,1.2520343
894,1.0396692
895,0.87869754
896,0.68883503
897,0.44979473
898,0.21806348
899,0.0088348799
900,-0.23466566
901,-0.44248425
902,-0.4499084
903,-0.34663217
904,-0.17599187
905,0.052775476
906,0.27627686
907,0.50075662
908,0.7467031
909,0.97431941
910,1.2211004
911,1.3792808
912,1.3467642
913,1.2767527
914,1.2986799
915,1.3540444
916,1.3933521
917,1.3458721
918,1.332031
919,1.3244342
920,1.4161138
921,1.4397674
922,1.3185064
923,1.0445898
924,0.80598118
925,0.55212136
926,0.32211665
927,0.068256839
928,-0.15271228
929,-0.35739431
930,-1.1014205
931,-1.1014205
932,-1.1014205
933,-1.1014205
934,-1.1014205
935,-1.1014205
936,-1.1014205
937,-1.1014205
938,-1.1014205
939,-1.1014205
940,-1.1014205
941,-1.1014205
942,-1.1014205
943,-1.1014205
944,-1.1014205
945,-1.1014205
946,-1.1014205
947,-1.1014205
948,-1.1014205
949,-1.1014205
950,-1.1014205
951,-1.1014205
952,-1.1014205
953,-1.1014205
954,-1.1014205
955,-1.1014205
956,-1.1014205
957,-1.1014205
958,-1.1014205
959,-1.1014205
960,-0.44891875
961,-0.40250643
962,-0.25204298
963,-0.023903552
964,0.22344881
965,0.46358212
966,0.6998501
967,0.8968964
968,1.1190389
969,1.2550926
970,1.3964328
971,1.4185163
972,1.3582059
973,1.2614306
974,1.1298391
975,0.98511676
976,0.81660565
977,0.67199702
978,0.42487203
979,0.18249342
980,-0.020294021
981,-0.29586894
982,-0.38803989
983,-0.44260918
984,-0.3743123
985,-0.21117286
986,-0.0052874659
987,0.22720045
988,0.46648111
989,0.68777096
990,0.92986535
991,1.0976943
992,1.2835426
993,1.4390366
994,1.3811704
995,1.3150336
996,1.3246401
997,1.3863716
998,1.4719203
999,1.4090519
1000,1.3764525
1001,1.397996
1002,1.3100598
1003,1.1764788
1004,0.93256539
1005,0.67839186
1006,0.42478676
1007,0.15051923
1008,-0.11863243
1009,-0.32843999
1010,-1.0952806
1011,-1.0952806
1012,-1.0952806
1013,-1.0952806
1014,-1.0952806
1015,-1.0952806
1016,-1.0952806
1017,-1.0952806
1018,-1.0952806
1019,-1.0952806
1020,-1.0952806
1021,-1.0952806
1022,-1.0952806
1023,-1.0952806
1024,-1.0952806
1025,-1.0952806
1026,-1.0952806
1027,-1.0952806
1028,-1.0952806
1029,-1.0952806
1030,-1.0952806
1031,-1.0952806
1032,-1.0952806
1033,-1.0952806
1034,-1.0952806
1035,-1.0952806
1036,-1.0952806
1037,-1.0952806
1038,-1.0952806
1039,-1.0952806
1040,-0.45617295
1041,-0.41802606
1042,-0.23553063
1043,-0.0032993738
1044,0.23849878
1045,0.51777987
1046,0.76060413
1047,1.0232563
1048,1.1540241
1049,1.3025374
1050,1.3544462
1051,1.3945245
1052,1.3684796
1053,1.2483954
1054,1.0806275
1055,0.86143384
1056,0.64806477
1057,0.42721119
1058,0.1694179
1059,-0.015340994
1060,-0.23752247
1061,-0.4388801
1062,-0.53494145
1063,-0.43326671
1064,-0.27041813
1065,-0.034142823
1066,0.19956722
1067,0.4341223
1068,0.67109173
1069,0.90356442
1070,1.140051
1071,1.3523939
1072,1.4483346
1073,1.4457995
1074,1.2929102
1075,1.3320831
1076,1.3360367
1077,1.4348142
1078,1.4342106
1079,1.4627906
1080,1.5359758
1081,1.4122701
1082,1.225127
1083,0.99500831
1084,0.75197279
1085,0.48204734
1086,0.25552002
1087,-0.0059249903
1088,-0.25707879
1089,-0.47174557
1090,-1.0760901
1091,-1.0760901
1092,-1.0760901
1093,-1.0760901
1094,-1.0760901
1095,-1.0760901
1096,-1.0760901
1097,-1.0760901
1098,-1.0760901
1099,-1.0760901
1100,-1.0760901
1101,-1.0760901
1102,-1.0760901
1103,-1.0760901
1104,-1.0760901
1105,-1.0760901
1106,-1.0760901
1107,-1.0760901
1108,-1.0760901
1109,-1.0760901
1110,-1.0760901
1111,-1.0760901
1112,-1.0760901
1113,-1.0760901
1114,-1.0760901
1115,-1.0760901
1116,-1.0760901
1117,-1.0760901
1118,-1.0760901
1119,-1.0760901
1120,-0.38543552
1121,-0.36432421
1122,-0.19699566
1123,0.0060737297
1124,0.24293162
1125,0.465186
1126,0.73060012
1127,0.92320497
1128,1.1198707
1129,1.2731424
1130,1.3992896
1131,1.424696
1132,1.3402508
1133,1.2062943
1134,1.0870453
1135,0.92900992
1136,0.78104858
1137,0.59130717
1138,0.37410283
1139,0.11808598
1140,-0.076341049
1141,-0.28594427
1142,-0.40441226
1143,-0.36502706
1144,-0.24642891
1145,-0.068245346
1146,0.13930141
1147,0.34731673
1148,0.58125912
1149,0.80179545
1150,1.0384711
1151,1.2615585
1152,1.3750025
1153,1.3431663
1154,1.2870951
1155,1.3363201
1156,1.3344979
1157,1.3663341
1158,1.3948643
1159,1.3769548
1160,1.3622992
1161,1.4168346
1162,1.3256213
1163,1.0880606
1164,0.83399604
1165,0.56139732
1166,0.33003201
1167,0.10465388
1168,-0.083707879
1169,-0.29245207
1170,-1.1083219
1171,-1.1083219
1172,-1.1083219
1173,-1.1083219
1174,-1.1083219
1175,-1.1083219
1176,-1.1083219
1177,-1.1083219
1178,-1.1083219
1179,-1.1083219
1180,-1.1083219
1181,-1.1083219
1182,-1.1083219
1183,-1.1083219
1184,-1.1083219
1185,-1.1083219
1186,-1.1083219
1187,-1.1083219
1188,-1.1083219
1189,-1.1083219
1190,-1.1083219
1191,-1.1083219
1192,-1.1083219
1193,-1.1083219
1194,-1.1083219
1195,-1.1083219
1196,-1.1083219
1197,-1.1083219
1198,-1.1083219
1199,-1.1083219
1200,-0.44539482
1201,-0.39036453
1202,-0.19383638
1203,0.018500591
1204,0.16976626
1205,0.4001962
1206,0.67201156
1207,0.86322002
1208,1.0191141
1209,1.201757
1210,1.3509789
1211,1.3815747
1212,1.3182192
1213,1.1878116
1214,1.0796745
1215,0.9232394
1216,0.78318417
1217,0.62416436
1218,0.46024564
1219,0.25896882
1220,0.081825996
1221,-0.16738818
1222,-0.35207475
1223,-0.49802073
1224,-0.41939744
1225,-0.23573273
1226,-0.01576185
1227,0.22001784
1228,0.46337133
1229,0.71658279
1230,0.95128051
1231,1.1859782
1232,1.4023125
1233,1.5000205
1234,1.47228
1235,1.3750227
1236,1.3278668
1237,1.380102
1238,1.4331787
1239,1.4639548
1240,1.4253044
1241,1.4232005
1242,1.3586729
1243,1.1314889
1244,0.91518473
1245,0.64637484
1246,0.37831633
1247,0.11431521
1248,-0.14668044
1249,-0.38270057
1250,-1.0943976
1251,-1.0943976
1252,-1.0943976
1253,-1.0943976
1254,-1.0943976
1255,-1.0943976
1256,-1.0943976
1257,-1.0943976
1258,-1.0943976
1259,-1.0943976
1260,-1.0943976
1261,-1.0943976
1262,-1.0943976
1263,-1.0943976
1264,-1.0943976
1265,-1.0943976
1266,-1.0943976
1267,-1.0943976
1268,-1.0943976
1269,-1.0943976
1270,-1.0943976
1271,-1.0943976
1272,-1.0943976
1273,-1.0943976
1274,-1.0943976
1275,-1.0943976
1276,-1.0943976
1277,-1.0943976
1278,-1.0943976
1279,-1.0943976
1280,-0.47397785
1281,-0.39918878
1282,-0.22820973
1283,-0.020078696
1284,0.20017953
1285,0.4059422
1286,0.59632474
1287,0.83227697
1288,1.1007871
1289,1.2802695
1290,1.3575125
1291,1.4890568
1292,1.4886002
1293,1.3948642
1294,1.2962203
1295,1.1204474
1296,0.98476562
1297,0.78299779
1298,0.57794849
1299,0.46991667
1300,0.26098666
1301,-0.031121568
1302,-0.28642022
1303,-0.41979073
1304,-0.43976492
1305,-0.37365035
1306,-0.24707107
1307,-0.021705165
1308,0.22372053
1309,0.45547818
1310,0.70087534
1311,0.95243597
1312,1.1813972
1313,1.3811676
1314,1.4122703
1315,1.3937514
1316,1.4112716
1317,1.4164078
1318,1.4550721
1319,1.3783427
1320,1.3967475
1321,1.345956
1322,1.3097742
1323,1.1275811
1324,0.86041204
1325,0.59438439
1326,0.34544894
1327,0.080134658
1328,-0.16948562
1329,-0.3613805
1330,-1.0863294
1331,-1.0863294
1332,-1.0863294
1333,-1.0863294
1334,-1.0863294
1335,-1.0863294
1336,-1.0863294
1337,-1.0863294
1338,-1.0863294
1339,-1.0863294
1340,-1.0863294
1341,-1.0863294
1342,-1.0863294
1343,-1.0863294
1344,-1.0863294
1345,-1.0863294
1346,-1.0863294
1347,-1.0863294
1348,-1.0863294
1349,-1.0863294
1350,-1.0863294
1351,-1.0863294
1352,-1.0863294
1353,-1.0863294
1354,-1.0863294
1355,-1.0863294
1356,-1.0863294
1357,-1.0863294
1358,-1.0863294
1359,-1.0863294
1360,-0.46041209
1361,-0.3824954
1362,-0.20356407
1363,0.039176391
1364,0.27253066
1365,0.46709622
1366,0.67265945
1367,0.96733495
1368,1.1425061
1369,1.2975479
1370,1.2902821
1371,1.379253
1372,1.3367042
1373,1.2173412
1374,1.1521468
1375,0.98152732
1376,0.76411826
1377,0.64303075
1378,0.48897848
1379,0.32302384
1380,0.11115603
1381,-0.1461726
1382,-0.36301623
1383,-0.48599794
1384,-0.39394542
1385,-0.19660924
1386,0.033804776
1387,0.27798709
1388,0.52460077
1389,0.76307221
1390,1.0236521
1391,1.2624911
1392,1.4136031
1393,1.4288698
1394,1.3927951
1395,1.4123874
1396,1.4015594
1397,1.3674072
1398,1.3387963
1399,1.3222291
1400,1.3735987
1401,1.3643821
1402,1.2858717
1403,1.0511321
1404,0.78444559
1405,0.54210093
1406,0.28084253
1407,0.022891915
1408,-0.25046675
1409,-0.35170756
1410,-1.0993516
1411,-1.0993516
1412,-1.0993516
1413,-1.0993516
1414,-1.0993516
1415,-1.0993516
1416,-1.0993516
1417,-1.0993516
1418,-1.0993516
1419,-1.0993516
1420,-1.0993516
1421,-1.0993516
1422,-1.0993516
1423,-1.0993516
1424,-1.0993516
1425,-1.0993516
1426,-1.0993516
1427,-1.0993516
1428,-1.0993516
1429,-1.0993516
1430,-1.0993516
1431,-1.0993516
1432,-1.0993516
1433,-1.0993516
1434,-1.0993516
1435,-1.0993516
1436,-1.0993516
1437,-1.0993516
1438,-1.0993516
1439,-1.0993516
1440,-0.47345079
1441,-0.42229329
1442,-0.26385174
1443,-0.040812246
1444,0.20665353
1445,0.44681536
1446,0.71526499
1447,1.0061652
1448,1.2126212
1449,1.4056966
1450,1.5000192
1451,1.4165627
1452,1.3683986
1453,1.1891827
1454,1.0206833
1455,0.93659823
1456,0.74798303
1457,0.56661191
1458,0.35545628
1459,0.10029743
1460,-0.14618052
1461,-0.30875299
1462,-0.43327913
1463,-0.45549028
1464,-0.30288589
1465,-0.096819075
1466,0.11691089
1467,0.3539895
1468,0.59226549
1469,0.83131976
1470,1.0648961
1471,1.3180493
1472,1.4317692
1473,1.4039903
1474,1.3647167
1475,1.3561855
1476,1.4111446
1477,1.4026134
1478,1.3940223
1479,1.4234475
1480,1.4492209
1481,1.3437628
1482,1.1749041
1483,0.92348706
1484,0.72358669
1485,0.49207583
1486,0.28307546
1487,0.03548995
1488,-0.20886267
1489,-0.36601705
1490,-1.0855746
1491,-1.0855746
1492,-1.0855746
1493,-1.0855746
1494,-1.0855746
1495,-1.0855746
1496,-1.0855746
1497,-1.0855746
1498,-1.0855746
1499,-1.0855746
1500,-1.0855746
1501,-1.0855746
1502,-1.0855746
1503,-1.0855746
1504,-1.0855746
1505,-1.0855746
1506,-1.0855746
1507,-1.0855746
1508,-1.0855746
1509,-1.0855746
1510,-1.0855746
1511,-1.0855746
1512,-1.0855746
1513,-1.0855746
1514,-1.0855746
1515,-1.0855746
1516,-1.0855746
1517,-1.0855746
1518,-1.0855746
1519,-1.0855746
1520,-0.49436595
1521,-0.39425493
1522,-0.23549848
1523,-0.0045410965
1524,0.23994326
1525,0.47757852
1526,0.73227946
1527,0.85470713
1528,1.0394331
1529,1.2042396
1530,1.2789519
1531,1.3760093
1532,1.260973
1533,1.1431114
1534,0.98538227
1535,0.87939244
1536,0.61878415
1537,0.47569502
1538,0.31653904
1539,0.051307613
1540,-0.21640661
1541,-0.45780888
1542,-0.48229441
1543,-0.43212475
1544,-0.24226197
1545,-0.0141013
1546,0.20389987
1547,0.44681465
1548,0.69044287
1549,0.93233028
1550,1.1788979
1551,1.4234964
1552,1.4950695
1553,1.431858
1554,1.3594573
1555,1.3909917
1556,1.3816598
1557,1.3767228
1558,1.4381364
1559,1.5079401
1560,1.558652
1561,1.4946985
1562,1.2729589
1563,1.0311286
1564,0.77597101
1565,0.50722942
1566,0.2277005
1567,0.041690334
1568,-0.22493945
1569,-0.4454805
1570,-1.0819332
1571,-1.0819332
1572,-1.0819332
1573,-1.0819332
1574,-1.0819332
1575,-1.0819332
1576,-1.0819332
1577,-1.0819332
1578,-1.0819332
1579,-1.0819332
1580,-1.0819332
