Time,root.Plane.d0.s0
254,1.3239062
255,1.2420159
256,1.1227528
257,0.89563939
258,0.63477198
259,0.37818895
260,0.12493438
261,-0.12351292
262,-0.3654709
263,-0.59858812
264,-0.82646654
265,-1.0366718
266,-1.1646813
267,-1.111729
268,-1.0301836
269,-0.92715934
270,-0.79055987
271,-0.63538669
272,-0.46553638
273,-0.27997284
274,-0.064031295
275,0.011087294
276,-0.058283967
277,0.17414392
278,0.42727417
279,0.67606563
280,0.92129853
281,1.1717223
282,1.4188965
283,1.6636066
284,1.9158275
285,2.1624669
286,2.405276
287,2.6052935
288,2.7573213
289,2.5766667
290,2.3633233
291,2.1515785
292,1.9402183
293,1.7294275
294,1.5194285
295,1.3095473
296,1.1002525
297,0.89149301
298,0.68316216
299,0.48284239
300,0.29863458
301,0.13567193
302,-0.044849335
303,-0.23930663
304,-0.43152696
305,-0.62691339
306,-0.81397062
307,-0.99732558
308,-1.1813171
309,-1.3582881
310,-1.4659699
311,-1.5089486
312,-1.496861
313,-1.4782074
314,-1.412206
315,-1.3239231
316,-1.1918873
317,-1.0446514
318,-0.89704466
319,-0.71331836
320,-0.51601597
321,-0.30552019
322,-0.10625774
323,0.043619875
324,0.11029285
325,0.17195384
326,0.22452152
327,0.22648066
328,0.062473447
329,-0.097632138
330,-0.2533021
331,-0.40133812
332,-0.54069526
333,-0.66706632
334,-0.7787056
335,-0.88096129
336,-0.82291267
337,-0.669114
338,-0.42732211
339,-0.14667831
340,0.1195868
341,0.39611519
342,0.59019885
343,0.74991067
344,0.81105314
345,0.76421912
346,0.71206526
347,0.67934735
348,0.65764908
349,0.63866054
350,0.61240293
351,0.47354181
352,0.2713182
353,0.054451722
354,-0.19501709
355,-0.38211589
356,-0.53877968
357,-0.56113151
358,-0.72374251
359,-0.53509699
360,-0.62841542
361,-0.65160372
362,-0.56321382
363,-0.630903
364,-0.41540582
365,-0.24240349
366,-0.00983671
367,0.19852554
368,0.39902878
369,0.59817658
370,0.60695164
371,0.62597381
372,0.64696002
373,0.67587805
374,0.70706991
375,0.74846728
376,0.72461171
377,0.54673754
378,0.343734
379,0.086854673
380,-0.18082168
381,-0.42481027
382,-0.54121964
383,-0.6819262
384,-0.79595067
385,-0.67876866
386,-0.56063115
387,-0.42845587
388,-0.29259062
389,-0.14690512
390,0.0053845619
391,0.14490978
392,0.13407478
393,0.056756923
394,0.004181428
395,-0.13317056
396,-0.31691253
397,-0.50506161
398,-0.68332439
399,-0.86973579
400,-1.0241731
401,-1.1590032
402,-1.2774891
403,-1.3824549
404,-1.4621198
405,-1.5058779
406,-1.5212354
407,-1.5143435
408,-1.46524
409,-1.3537072
410,-1.1840088
411,-1.008923
412,-0.81948018
413,-0.63688168
414,-0.45116963
415,-0.27119595
416,-0.080203676
417,0.08335094
418,0.23370105
419,0.39512565
420,0.56127948
421,0.75014219
422,0.954268
423,1.1573429
424,1.3633172
425,1.5663255
426,1.7698597
427,1.9738637
428,2.1782898
429,2.3808412
430,2.5849446
431,2.7591348
432,0.91606299
433,0.72014528
434,0.52244461
435,0.32582622
436,0.13438136
437,-0.054011878
438,-0.2355249
439,-0.40960453
440,-0.57445324
441,-0.78235298
442,-1.0053181
443,-1.2279865
444,-1.4426934
445,-1.6448778
446,-1.8306562
447,-1.9195812
448,-1.8035386
449,-1.5759193
450,-1.3327683
451,-1.1173493
452,-0.89006866
453,-0.66137626
454,-0.42517777
455,-0.18591372
456,-0.10435763
457,0.021735391
458,0.091275387
459,0.017600571
460,0.18052724
461,0.16135838
462,0.10764222
463,0.037772054
464,-0.034970468
465,-0.12762121
466,-0.24167232
467,-0.34359306
468,-0.44914315
469,-0.5478897
470,-0.63057071
471,-0.68493276
472,-0.71865844
473,-0.73532153
474,-0.75234521
475,-0.75870643
476,-0.70580705
477,-0.52525895
478,-0.33631356
479,-0.1510211
480,0.040872718
481,0.22369447
482,0.44355768
483,0.61823605
484,0.80706577
485,0.98733899
486,1.1220905
487,1.1689947
488,1.3610857
489,1.5653551
490,1.7643122
491,1.9636992
492,2.1556791
493,2.3482909
494,2.5340629
495,2.6594837
496,2.4548075
497,2.2120803
498,1.9706545
499,1.7365198
500,1.5090857
501,1.2878235
502,1.1432854
503,1.1094216
504,0.92074988
505,0.70137421
506,0.48774783
507,0.27956361
508,0.074658763
509,-0.12875851
510,-0.32825562
511,-0.52414107
512,-0.65558425
513,-0.71192648
514,-0.72930398
515,-0.72464075
516,-0.71276777
517,-0.68129539
518,-0.62749044
519,-0.55814425
520,-0.45177128
521,-0.36019347
522,-0.25139058
523,-0.1459897
524,-0.066733697
525,-0.012289982
526,0.024303029
527,-0.11323945
528,-0.051202288
529,-0.079786945
530,-0.079004004
531,-0.22193899
532,-0.27954542
533,-0.42077272
534,-0.61980314
535,-0.81860353
536,-1.0177334
537,-1.2154573
538,-1.4124449
539,-1.6085724
540,-1.8007567
541,-1.8611144
542,-1.7842322
543,-1.6553383
544,-1.5051516
545,-1.3376503
546,-1.1623654
547,-0.97173711
548,-0.76477054
549,-0.56806157
550,-0.40704087
551,-0.22647154
552,-0.054443451
553,0.1341018
554,0.30159609
555,0.49390326
556,0.71009348
557,0.81340465
558,0.73430262
559,0.65673244
560,0.57647877
561,0.52269543
562,0.55843962
563,0.77278978
564,0.79409624
565,0.98773843
566,1.1333979
567,0.98435229
568,0.7606417
569,0.54150247
570,0.51734226
571,0.58283564
572,0.65864079
573,0.75790089
574,0.85340119
575,0.9162167
576,2.6561424
577,2.3881447
578,2.1185954
579,1.8496769
580,1.5765789
581,1.3101686
582,1.1096989
583,0.93099796
584,0.75066835
585,0.53933328
586,0.28010942
587,0.20276867
588,0.22508711
589,0.19042686
590,-0.063983696
591,-0.33168225
592,-0.60321886
593,-0.84843941
594,-1.0783631
595,-1.2734119
596,-1.4464942
597,-1.584146
598,-1.6670505
599,-1.7010557
600,-1.6188634
601,-1.407405
602,-1.2048674
603,-1.2931578
604,-1.3748465
605,-1.4656169
606,-1.3969527
607,-1.2215771
608,-1.0158346
609,-0.81734642
610,-0.65343779
611,-0.47411065
612,-0.65089252
613,-0.45514079
614,-0.1848143
615,0.086319579
616,0.041223182
617,0.22911957
618,0.35626216
619,0.48376702
620,0.55915696
621,0.68215232
622,0.81802635
623,0.94665626
624,0.98247826
625,0.76145863
626,0.55583395
627,0.34053026
628,0.43691517
629,0.6548992
630,0.60400866
631,0.40423586
632,0.16636472
633,-0.0067328717
634,-0.22974214
635,-0.4191685
636,-0.57361901
637,-0.72355107
638,-0.85571729
639,-0.96959724
640,-1.0566473
641,-0.81912106
642,-0.64609063
643,-0.57067292
644,-0.3055073
645,-0.038956282
646,0.14507293
647,0.13264647
648,0.2988537
649,0.55352964
650,0.84499197
651,1.1245126
652,1.3811789
653,1.3279455
654,1.0500021
655,0.79689538
656,0.52849205
657,0.25333286
658,0.0054081497
659,-0.23834057
660,-0.47698567
661,-0.7184891
662,-0.9563227
663,-0.87929187
664,-0.75035897
665,-0.60299275
666,-0.44525937
667,-0.27794037
668,-0.057522122
669,0.15638455
670,0.38883239
671,0.5575828
672,0.42467766
673,0.37679674
674,0.59789476
675,0.83371019
676,1.0412347
677,0.89298188
678,0.75637287
679,0.63250634
680,0.50049939
681,0.41597299
682,0.29535534
683,0.085225612
684,0.12257167
685,-0.16477177
686,-0.43478871
687,-0.53804395
688,-0.62052287
689,-0.78824635
690,-1.0386177
691,-1.2275941
692,-1.3667654
693,-1.3839437
694,-1.3008084
695,-1.2520141
696,-1.5050624
697,-1.5541004
698,-1.5145156
699,-1.406161
700,-1.259102
701,-1.0994038
702,-0.83572725
703,-0.57056235
704,-0.3043098
705,-0.045448721
706,0.21844501
707,0.18433708
708,0.19044472
709,0.40835279
710,0.63666299
711,0.79240251
712,0.98607156
713,1.1789434
714,1.3926792
715,1.6603249
716,1.9292371
717,2.1991619
718,2.4699927
719,2.6555235
720,2.7167978
721,2.5208585
722,2.3196204
723,2.1164411
724,1.9136371
725,1.7112498
726,1.5093279
727,1.3046473
728,1.103617
729,0.89958409
730,0.69586494
731,0.5034464
732,0.33700001
733,0.17465789
734,0.026847966
735,-0.14055976
736,-0.29680348
737,-0.484202
738,-0.6690474
739,-0.85084609
740,-1.0290017
741,-1.2111882
742,-1.3828843
743,-1.5582683
744,-1.6090677
745,-1.6304231
746,-1.6044642
747,-1.5823343
748,-1.4966254
749,-1.4022066
750,-1.2706389
751,-1.1293643
752,-0.99553878
753,-0.80857541
754,-0.62925941
755,-0.44001283
756,-0.24242964
757,-0.056332471
758,0.054336943
759,0.098968353
760,0.18922617
761,0.22161921
762,0.12435781
763,-0.034593277
764,-0.16796022
765,-0.30405343
766,-0.43233416
767,-0.55184901
768,-0.66160708
769,-0.76052585
770,-0.76044498
771,-0.59386008
772,-0.3979507
773,-0.12483583
774,0.13097825
775,0.373611
776,0.55899374
777,0.72297763
778,0.75814876
779,0.72297566
780,0.68426275
781,0.65528706
782,0.63626469
783,0.62730749
784,0.58985063
785,0.38339541
786,0.17836442
787,-0.049425002
788,-0.26874949
789,-0.45617825
790,-0.5469393
791,-0.44128281
792,-0.62345876
793,-0.53810461
794,-0.48372943
795,-0.59460601
796,-0.43119399
797,-0.57248662
798,-0.35509699
799,-0.1702752
800,0.062895792
801,0.28447507
802,0.48959807
803,0.62517469
804,0.64040725
805,0.6575601
806,0.68613577
807,0.72420454
808,0.761223
809,0.76752314
810,0.61122333
811,0.43316284
812,0.19026404
813,-0.089009429
814,-0.3397552
815,-0.4437233
816,-0.59805349
817,-0.70014872
818,-0.58512299
819,-0.45676835
820,-0.32194368
821,-0.18110449
822,-0.029765644
823,0.1317236
824,0.22917981
825,0.1755542
826,0.11302655
827,0.14095181
828,-0.0038375578
829,-0.18323565
830,-0.40019951
831,-0.60563899
832,-0.80091178
833,-0.97740921
834,-1.1381888
835,-1.2778094
836,-1.3836284
837,-1.4677431
838,-1.5198818
839,-1.5378407
840,-1.4935811
841,-1.4188485
842,-1.2449883
843,-1.0742513
844,-0.89368405
845,-0.71100209
846,-0.53094497
847,-0.34595477
848,-0.15597181
849,0.0216526
850,0.18870694
851,0.35917471
852,0.52598933
853,0.72980223
854,0.93622886
855,1.14319
856,1.3506284
857,1.5586054
858,1.7671641
859,1.9762411
860,2.1858814
861,2.3967625
862,2.608897
863,2.7148302
864,2.6822769
865,2.4972437
866,2.2947108
867,2.0925379
868,1.8906732
869,1.6896471
870,1.4879267
871,1.2871526
872,1.086839
873,0.886228
874,0.6863962
875,0.48931426
876,0.30831751
877,0.13832593
878,-0.01947787
879,-0.19188939
880,-0.3796431
881,-0.5628843
882,-0.74903226
883,-0.92222506
884,-1.0991233
885,-1.2809957
886,-1.4496814
887,-1.5911894
888,-1.6281555
889,-1.6417607
890,-1.6039197
891,-1.5472527
892,-1.4593045
893,-1.3244094
894,-1.164777
895,-1.0043685
896,-0.82726564
897,-0.62714429
898,-0.41442558
899,-0.20274831
900,-0.021691281
901,0.082824307
902,0.15202882
903,0.21992439
904,0.26069847
905,0.14560028
906,-0.0070349266
907,-0.14978334
908,-0.27849524
909,-0.40866347
910,-0.53161623
911,-0.6402558
912,-0.73781747
913,-0.83343368
914,-0.73519904
915,-0.56482287
916,-0.3388217
917,-0.055566073
918,0.17323973
919,0.42995314
920,0.60393344
921,0.75797342
922,0.78580279
923,0.73321789
924,0.69002867
925,0.67043231
926,0.65126995
927,0.63803879
928,0.58654284
929,0.44095653
930,0.24686624
931,0.079708319
932,-0.16810917
933,-0.35170279
934,-0.4972362
935,-0.4237635
936,-0.58202815
937,-0.43806479
938,-0.50696853
939,-0.43857827
940,-0.5101868
941,-0.28775071
942,-0.068827205
943,0.17700395
944,0.37718709
945,0.5776696
946,0.61652882
947,0.63662289
948,0.64683661
949,0.67699286
950,0.71283431
951,0.74113953
952,0.73884733
953,0.56613375
954,0.39045642
955,0.13934494
956,-0.12032244
957,-0.30398233
958,-0.4124573
959,-0.56362993
960,-0.64342837
961,-0.54575863
962,-0.42480915
963,-0.29521795
964,-0.15791834
965,-0.014856431
966,0.12753707
967,0.19081207
968,0.13228349
969,0.083664114
970,-0.019605067
971,-0.16886208
972,-0.36791495
973,-0.57421737
974,-0.76879261
975,-0.94506393
976,-1.0977423
977,-1.2327839
978,-1.3572277
979,-1.456463
980,-1.5199273
981,-1.5542581
982,-1.5711567
983,-1.5461397
984,-1.4559469
985,-1.2911716
986,-1.1211402
987,-0.94680684
988,-0.77800513
989,-0.6051071
990,-0.42085946
991,-0.24826688
992,-0.074507669
993,0.07136575
994,0.22793745
995,0.3895176
996,0.56683164
997,0.7613258
998,0.95905467
999,1.1572467
1000,1.3558483
1001,1.5548132
1002,1.7521574
1003,1.9501319
1004,2.1499168
1005,2.3484726
1006,2.5464249
1007,2.6828682
1008,2.4838312
1009,2.2688158
1010,2.0626299
1011,1.8713282
1012,1.6610729
1013,1.4608323
1014,1.2592238
1015,1.0642268
1016,0.86688651
1017,0.66794547
1018,0.48614002
1019,0.28845914
1020,0.090740957
1021,-0.11064428
1022,-0.24285618
1023,-0.32211282
1024,-0.51519993
1025,-0.70644822
1026,-0.86272
1027,-1.0079909
1028,-1.1408454
1029,-1.2434873
1030,-1.3139982
1031,-1.3623354
1032,-1.3157533
1033,-1.2046094
1034,-1.0599186
1035,-0.88602452
1036,-0.95360954
1037,-1.0523472
1038,-1.1325237
1039,-1.2055623
1040,-1.1946846
1041,-1.1487291
1042,-1.0905058
1043,-0.94752831
1044,-0.77998953
1045,-0.59695339
1046,-0.40026626
1047,-0.19169041
1048,0.023264901
1049,0.22839718
1050,0.37151653
1051,0.49744544
1052,0.6636862
1053,0.77709704
1054,0.78982942
1055,0.64513364
1056,0.49792102
1057,0.35684958
1058,0.22649724
1059,0.093265951
1060,-0.031831532
1061,-0.13975711
1062,-0.24872766
1063,-0.34337825
1064,-0.42544791
1065,-0.49477649
1066,-0.55029983
1067,-0.44531085
1068,-0.2703253
1069,-0.09854661
1070,0.077912487
1071,0.26239535
1072,0.45391547
1073,0.63964939
1074,0.80877444
1075,0.89297233
1076,0.90041154
1077,0.84656864
1078,0.99091732
1079,1.1705181
1080,1.3581081
1081,1.4584844
1082,1.5217953
1083,1.3477557
1084,1.1558648
1085,0.96263062
1086,0.76980375
1087,0.57737333
1088,0.3868657
1089,0.19547828
1090,0.0044235839
1091,-0.18623221
1092,-0.37725066
1093,-0.56871491
1094,-0.61213075
1095,-0.5782962
1096,-0.51266838
1097,-0.45170439
1098,-0.37838394
1099,-0.29371522
1100,-0.18817791
1101,-0.078496537
1102,0.033853878
1103,0.15373563
1104,0.26596013
1105,0.30797076
1106,0.18576479
1107,0.047241122
1108,-0.069056789
1109,-0.2500723
1110,-0.41159537
1111,-0.56778514
1112,-0.70217341
1113,-0.84368415
1114,-0.97529934
1115,-1.0894057
1116,-1.2046213
1117,-1.2965056
1118,-1.3700331
1119,-1.4227575
1120,-1.4348553
1121,-1.3376014
1122,-1.2239927
1123,-1.1291711
1124,-1.1140423
1125,-1.3102003
1126,-1.4374515
1127,-1.3746238
1128,-1.3067008
1129,-1.2198355
1130,-1.1219496
1131,-0.99993892
1132,-0.82164074
1133,-0.63183475
1134,-0.45912255
1135,-0.3130509
1136,-0.21744236
1137,-0.0089578006
1138,0.18310317
1139,0.37999555
1140,0.56330121
1141,0.7474535
1142,0.92603158
1143,1.1178591
1144,1.3039325
1145,1.4904919
1146,1.6774789
1147,1.8648473
1148,2.0534016
1149,2.2353795
1150,2.4170555
1151,2.4883959
1152,2.546714
1153,2.2531057
1154,1.9658541
1155,1.6824847
1156,1.405743
1157,1.1285275
1158,0.98866993
1159,0.83648479
1160,0.67847219
1161,0.55344663
1162,0.30010108
1163,0.16185385
1164,0.088628416
1165,0.10356522
1166,-0.0054858545
1167,-0.27634553
1168,-0.54368251
1169,-0.7437235
1170,-0.53187623
1171,-0.50933731
1172,-0.68617903
1173,-0.93993955
1174,-1.1080098
1175,-1.2921628
1176,-1.4212151
1177,-1.504236
1178,-1.5531786
1179,-1.5217152
1180,-1.3450132
1181,-1.1157309
1182,-1.0852542
1183,-1.1805177
1184,-1.2569657
1185,-1.2568636
1186,-1.0851518
1187,-0.88975838
1188,-0.69547754
1189,-0.52551162
1190,-0.45584933
1191,-0.43279749
1192,-0.17705799
1193,0.070965495
1194,0.087930247
1195,0.26038999
1196,0.38312006
1197,0.4578022
1198,0.55641841
1199,0.68966287
1200,0.79804886
1201,0.82477477
1202,0.55241868
1203,0.33329402
1204,0.44637147
1205,0.3891884
1206,0.16894117
1207,-0.11331882
1208,-0.30696138
1209,-0.46506018
1210,-0.61740808
1211,-0.7503554
1212,-0.85563231
1213,-0.7054237
1214,-0.54712634
1215,-0.32517969
1216,-0.081515061
1217,0.14365288
1218,0.13621575
1219,0.35136281
1220,0.59781393
1221,0.86000579
1222,1.1176534
1223,1.3753013
1224,1.6383028
1225,1.8755089
1226,2.0275559
1227,1.8097783
1228,1.5465753
1229,1.2735305
1230,1.016796
1231,0.75698633
1232,0.49037876
1233,0.23061821
1234,0.059688501
1235,-0.21702234
1236,-0.481509
1237,-0.74310288
1238,-0.93065617
1239,-0.85191774
1240,-0.74916196
1241,-0.61346439
1242,-0.38400638
1243,-0.10880553
1244,0.16004267
1245,0.019605521
1246,-0.097687477
1247,0.083183605
1248,0.022215543
1249,0.15748447
1250,0.3564154
1251,0.52854142
1252,0.42791617
1253,0.3028465
1254,0.17892429
1255,0.13399822
1256,-0.0056811954
1257,-0.22633294
1258,-0.19487425
1259,-0.39659347
1260,-0.61399016
1261,-0.76287062
1262,-0.6633419
1263,-0.81849733
1264,-1.0153385
1265,-1.2090894
1266,-1.3460971
1267,-1.4407447
1268,-1.357405
1269,-1.2641203
1270,-1.1967109
1271,-1.4460565
1272,-1.5727047
1273,-1.5376869
1274,-1.4624452
1275,-1.3514321
1276,-1.2101101
1277,-0.98189675
1278,-0.71884196
1279,-0.42174982
1280,-0.15941558
1281,0.037331202
1282,0.096133632
1283,0.091763288
1284,0.32889508
1285,0.51400382
1286,0.66477892
1287,0.8201667
1288,0.99008745
1289,1.195825
1290,1.4519438
1291,1.7087872
1292,1.9591914
1293,2.2038031
1294,2.4497553
1295,2.5540356
1296,2.7370103
1297,2.5098085
1298,2.2778408
1299,2.0491548
1300,1.8199174
1301,1.5951508
1302,1.3686333
1303,1.1422222
1304,0.91680399
1305,0.68219617
1306,0.52917469
1307,0.37555006
1308,0.23054933
1309,0.018565834
1310,-0.19151401
1311,-0.40042399
1312,-0.60528497
1313,-0.808822
1314,-1.0071932
1315,-1.2042311
1316,-1.3516513
1317,-1.3931712
1318,-1.41707
1319,-1.4276655
1320,-1.39273
1321,-1.3323304
1322,-1.2542197
1323,-1.1430334
1324,-1.0189239
1325,-0.88677317
1326,-0.73761435
1327,-0.56870445
1328,-0.3896981
1329,-0.2035322
1330,-0.0099850802
1331,0.070696378
1332,0.13113341
1333,0.20335919
1334,0.2231701
1335,0.10018913
1336,-0.086984433
1337,-0.26015568
1338,-0.42867759
1339,-0.58653501
1340,-0.72270213
1341,-0.8525852
1342,-0.95380944
1343,-1.0209458
1344,-0.77406171
1345,-0.53293257
1346,-0.28635501
1347,-0.039501568
1348,0.20757578
1349,0.46352338
1350,0.66112129
1351,0.79679878
1352,0.87451769
1353,0.81801939
1354,0.77311276
1355,0.73477501
1356,0.72725761
1357,0.71768537
1358,0.57843973
1359,0.35011111
1360,0.13512686
1361,-0.099903205
1362,-0.30730333
1363,-0.49886755
1364,-0.65900458
1365,-0.58605068
1366,-0.65106196
1367,-0.51232829
1368,-0.61813493
1369,-0.60956577
1370,-0.60030554
1371,-0.45024735
1372,-0.28243846
1373,-0.067807822
1374,0.14987865
1375,0.36235158
1376,0.5743465
1377,0.68048561
1378,0.69607502
1379,0.70531398
1380,0.72251935
1381,0.74998081
1382,0.78751117
1383,0.81449558
1384,0.65331094
1385,0.46408046
1386,0.23352553
1387,-0.0048299884
1388,-0.24450874
1389,-0.48340215
1390,-0.58960297
1391,-0.54986986
1392,-0.53593723
1393,-0.62054281
1394,-0.48474318
1395,-0.35651164
1396,-0.20490431
1397,-0.061375377
1398,0.075361534
1399,0.08129676
1400,-0.00028248029
1401,-0.051637607
1402,-0.18775972
1403,-0.35521812
1404,-0.53514509
1405,-0.69701018
1406,-0.85587672
1407,-0.9975323
1408,-1.1152284
1409,-1.2330477
1410,-1.3140215
1411,-1.3964329
1412,-1.448012
1413,-1.4719903
1414,-1.4704134
1415,-1.4545496
1416,-1.4129706
1417,-1.3046038
1418,-1.1230083
1419,-0.93618403
1420,-0.74511414
1421,-0.55840495
1422,-0.36575575
1423,-0.17591015
1424,0.013493393
1425,0.17411661
1426,0.31996108
1427,0.47341259
1428,0.63811951
1429,0.83141469
1430,1.0382807
1431,1.2458198
1432,1.4539515
1433,1.6626074
1434,1.871728
1435,2.0745124
1436,2.2845767
1437,2.4885876
1438,2.6871232
1439,2.7477457
1440,2.6730188
1441,2.4636704
1442,2.2573781
1443,2.0515759
1444,1.8463653
1445,1.6415576
1446,1.4370946
1447,1.2329647
1448,1.0292101
1449,0.82588045
1450,0.62388701
1451,0.42998029
1452,0.25049097
1453,0.080337595
1454,-0.093615501
1455,-0.27666976
1456,-0.46780061
1457,-0.6570906
1458,-0.83742786
1459,-1.0212988
1460,-1.2018972
1461,-1.3696056
1462,-1.5358887
1463,-1.5773853
1464,-1.5986941
1465,-1.5861988
1466,-1.5365074
1467,-1.4518593
1468,-1.3359593
1469,-1.188559
1470,-1.043815
1471,-0.86045647
1472,-0.66104354
1473,-0.44846672
1474,-0.22507123
1475,-0.031610877
1476,0.072485588
1477,0.14021591
1478,0.19858391
1479,0.22974867
1480,0.1502008
1481,-0.0058561599
1482,-0.15082084
1483,-0.29085456
1484,-0.43198248
1485,-0.55340524
1486,-0.66416717
1487,-0.76310518
1488,-0.82324358
1489,-0.68176784
1490,-0.49817762
1491,-0.23798882
1492,0.034870471
1493,0.32324232
1494,0.52683971
1495,0.69991467
1496,0.84116216
1497,0.80204199
1498,0.74811094
1499,0.70942168
1500,0.68614537
1501,0.65538147
1502,0.65313845
1503,0.58650761
1504,0.47667979
1505,0.26982665
1506,0.042337257
1507,-0.19381114
1508,-0.38549583
1509,-0.54175928
1510,-0.48367844
1511,-0.65425965
1512,-0.48723259
1513,-0.6090334
1514,-0.51609034
1515,-0.5242205
1516,-0.42285689
1517,-0.20590425
1518,0.03278341
1519,0.24128242
1520,0.43494564
1521,0.6125445
1522,0.63876898
1523,0.63969664
1524,0.66929931
1525,0.69063268
1526,0.72304962
1527,0.76357458
1528,0.67441448
1529,0.51557076
1530,0.29598988
1531,0.033346058
1532,-0.21790437
1533,-0.41743872
1534,-0.514562
1535,-0.65552593
1536,-0.66579186
1537,-0.55355815
1538,-0.43157297
1539,-0.30085653
1540,-0.16233948
1541,-0.015109054
1542,0.13289994
1543,0.165186
1544,0.10523871
1545,0.043305022
1546,-0.060196435
1547,-0.22706278
1548,-0.42940554
1549,-0.62284145
1550,-0.80561961
1551,-0.97568929
1552,-1.110994
1553,-1.259264
1554,-1.3646807
1555,-1.4572667
1556,-1.5055683
1557,-1.5439402
1558,-1.550878
1559,-1.5143171
1560,-1.4379482
1561,-1.2724325
1562,-1.1015377
1563,-0.92621082
1564,-0.74722115
1565,-0.57389718
1566,-0.38880838
1567,-0.20932091
1568,-0.035704853
1569,0.10849149
1570,0.26830537
1571,0.42849727
1572,0.60266545
1573,0.79997141
